cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[2],TempProf_cur[13],PresProf_cur[2],PresProf_cur[13]
6/10/2002 0:05,289.19,14.741,286.917,97510.833,289.656,288.517,98056.207,97928.731
6/10/2002 0:10,288.478,8.829,286.883,97511.667,288.823,288.001,98056.867,97929.08
6/10/2002 0:15,288.477,8.769,286.85,97512.5,288.793,288.039,98056.885,97929.1
6/10/2002 0:20,289.189,14.725,286.817,97513.333,289.674,288.531,98056.393,97928.905
6/10/2002 0:25,288.854,11.451,286.783,97514.167,289.166,288.411,98056.563,97928.947
6/10/2002 0:30,288.563,8.497,286.75,97515,288.94,288.056,98056.905,97929.152
6/10/2002 0:35,288.205,4.914,286.717,97515.833,288.507,287.792,98057.222,97929.317
6/10/2002 0:40,288.615,8.015,286.683,97516.667,289.019,288.066,98056.979,97929.245
6/10/2002 0:45,288.533,6.801,286.65,97517.5,288.874,288.064,98057.023,97929.26
6/10/2002 0:50,288.231,3.662,286.617,97518.333,288.578,287.767,98057.321,97929.423
6/10/2002 0:55,288.339,2.412,286.583,97519.167,288.693,287.851,98057.282,97929.431
6/10/2002 1:00,288.367,2.14,286.55,97520,288.73,287.88,98057.287,97929.447
6/10/2002 1:05,288.015,0.266,286.542,97522.5,288.336,287.587,98057.576,97929.584
6/10/2002 1:10,287.837,0.266,286.533,97525,288.129,287.442,98057.74,97929.671
6/10/2002 1:15,287.798,0.266,286.525,97527.5,288.084,287.409,98057.79,97929.705
6/10/2002 1:20,288.107,0.266,286.517,97530,288.464,287.619,98057.582,97929.627
6/10/2002 1:25,287.984,0.266,286.508,97532.5,288.28,287.579,98057.635,97929.632
6/10/2002 1:30,287.802,0.266,286.5,97535,288.094,287.409,98057.798,97929.714
6/10/2002 1:35,287.905,0.266,286.492,97537.5,288.216,287.479,98057.744,97929.705
6/10/2002 1:40,287.712,0.266,286.483,97540,287.98,287.351,98057.885,97929.764
6/10/2002 1:45,287.911,0.266,286.475,97542.5,288.238,287.461,98057.775,97929.736
6/10/2002 1:50,287.619,0.266,286.467,97545,287.852,287.297,98057.961,97929.802
6/10/2002 1:55,287.883,0.066,286.458,97547.5,288.216,287.424,98057.824,97929.772
6/10/2002 2:00,287.574,0.066,286.45,97550,287.784,287.277,98058.003,97929.826
6/10/2002 2:05,287.739,0.066,286.433,97552.5,288.037,287.331,98057.941,97929.829
6/10/2002 2:10,287.518,0.066,286.417,97555,287.74,287.21,98058.096,97929.893
6/10/2002 2:15,287.646,0.066,286.4,97557.5,287.93,287.259,98058.048,97929.895
6/10/2002 2:20,287.477,0.066,286.383,97560,287.706,287.163,98058.172,97929.949
6/10/2002 2:25,287.576,0.066,286.367,97562.5,287.849,287.204,98058.135,97929.952
6/10/2002 2:30,287.456,0.066,286.35,97565,287.692,287.135,98058.228,97929.996
6/10/2002 2:35,287.528,0.066,286.333,97567.5,287.798,287.162,98058.208,97930.004
6/10/2002 2:40,287.429,0.066,286.317,97570,287.668,287.103,98058.288,97930.043
6/10/2002 2:45,287.482,0.066,286.3,97572.5,287.749,287.121,98058.279,97930.054
6/10/2002 2:50,287.399,0.066,286.283,97575,287.641,287.071,98058.349,97930.09
6/10/2002 2:55,287.438,0.066,286.267,97577.5,287.702,287.081,98058.349,97930.104
6/10/2002 3:00,287.214,0.066,286.25,97580,287.431,286.922,98058.531,97930.191
6/10/2002 3:05,287.475,0.066,286.217,97582.5,287.77,287.069,98058.405,97930.174
6/10/2002 3:10,287.207,0.066,286.183,97585,287.407,286.931,98058.59,97930.25
6/10/2002 3:15,287.376,0.066,286.15,97587.5,287.657,286.994,98058.536,97930.263
6/10/2002 3:20,287.039,0.066,286.117,97590,287.231,286.776,98058.803,97930.388
6/10/2002 3:25,287.388,0.066,286.083,97592.5,287.703,286.956,98058.635,97930.363
