cur_datetime,canTemp,wallSun_K,wallShade_K,roof_K,sensWaste,Roof.SWRabsRoofImp,Roof.LWRabsRoofImp,Roof.LEfluxRoofImp,Roof.HfluxRoofImp,fluxRoof,hConv,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],VCEG_c,,,roof_Text_c
6/1/2004 0:00,296.075,300,300,300,74.936,0,-96.206,0,0,-6.636,2.462,287.334,99733.833,294.154,100084.385,26.85,,,14.89
6/1/2004 0:05,292.01,299.872,299.872,298.23,24.152,0,-86.162,0,40.116,-2.671,11.012,287.334,99731.472,290.171,100087.887,25.08,,,14.767
6/1/2004 0:10,290.885,299.604,299.604,295.929,10.06,0,-73.316,0,76.204,-2.592,13.914,287.334,99729.111,289.709,100088.121,22.779,,,14.89
6/1/2004 0:15,291.283,299.15,299.15,293.227,13.567,0,-58.592,0,37.226,-2.486,11.081,287.334,99726.75,289.72,100088.142,20.077,,,14.767
6/1/2004 0:20,291.656,298.728,298.728,291.544,16.888,0,-49.686,0,13.145,-2.357,8.032,287.334,99724.389,289.797,100088.085,18.394,,,14.635
6/1/2004 0:25,291.753,298.408,298.408,290.486,17.122,0,-44.229,0,2.307,-2.217,4.873,287.334,99722.028,289.825,100088.077,17.336,,,14.495
6/1/2004 0:30,291.757,298.168,298.168,289.739,16.355,0,-40.458,0,-0.101,-2.07,0.323,287.334,99719.667,289.846,100088.047,16.589,,,14.356
6/1/2004 0:35,291.643,297.975,297.975,289.113,14.312,0,-37.346,0,-0.077,-1.919,0.08,287.333,99717.306,289.75,100088.186,15.963,,,14.205
6/1/2004 0:40,291.444,297.81,297.81,288.55,11.355,0,-34.579,0,-0.069,-1.766,0.048,287.333,99714.944,289.575,100088.393,15.4,,,14.047
6/1/2004 0:45,291.208,297.662,297.662,288.042,8.034,0,-32.116,-0.005,-0.069,-1.611,0.039,287.333,99712.583,289.384,100088.606,14.892,,,13.889
6/1/2004 0:50,291.041,297.521,297.521,287.584,5.541,0,-29.921,-0.024,-0.072,-1.455,0.036,287.333,99710.222,289.234,100088.772,14.434,,,13.718
6/1/2004 0:55,290.926,297.384,297.384,287.17,1.985,0,-27.963,-0.04,-0.077,-1.299,0.034,287.333,99707.861,289.11,100088.92,14.02,,,13.538
6/1/2004 1:00,290.842,297.252,297.252,286.795,0.512,0,-26.215,-0.056,-0.088,-1.143,0.035,287.333,99705.5,289.009,100089.039,13.645,,,13.346
6/1/2004 1:05,290.769,297.129,297.129,286.456,0.239,0,-23.307,-0.077,-0.106,-0.987,0.039,287.342,99703.931,288.931,100089.132,13.306,,,13.218
6/1/2004 1:10,290.725,297.015,297.015,286.174,0.239,0,-20.689,-0.156,-0.199,-0.866,0.067,287.351,99702.361,288.872,100089.204,13.024,,,13.115
6/1/2004 1:15,290.658,296.908,296.908,285.943,0.239,0,-18.341,-0.258,-0.312,-0.743,0.1,287.36,99700.792,288.812,100089.282,12.793,,,13.031
6/1/2004 1:20,290.6,296.81,296.81,285.761,0.239,0,-16.237,-0.369,-0.433,-0.63,0.134,287.369,99699.222,288.755,100089.352,12.611,,,12.962
6/1/2004 1:25,290.522,296.718,296.718,285.623,0.239,0,-14.352,-0.46,-0.53,-0.516,0.159,287.378,99697.653,288.693,100089.428,12.473,,,12.905
6/1/2004 1:30,290.46,296.631,296.631,285.522,0.239,0,-12.658,-0.555,-0.602,-0.412,0.179,287.387,99696.083,288.635,100089.498,12.372,,,12.858
6/1/2004 1:35,290.389,296.549,296.549,285.454,0.239,0,-11.133,-0.608,-0.644,-0.304,0.191,287.396,99694.514,288.576,100089.571,12.304,,,12.819
6/1/2004 1:40,290.334,296.47,296.47,285.416,0.239,0,-9.751,-0.634,-0.667,-0.203,0.199,287.405,99692.944,288.521,100089.639,12.266,,,12.787
6/1/2004 1:45,290.27,296.395,296.395,285.402,0.239,0,-8.495,-0.639,-0.674,-0.099,0.204,287.414,99691.375,288.464,100089.708,12.252,,,12.761
6/1/2004 1:50,290.219,296.323,296.323,285.41,0.239,0,-7.348,-0.632,-0.671,-0.002,0.207,287.423,99689.806,288.412,100089.772,12.26,,,12.739
6/1/2004 1:55,290.159,296.254,296.254,285.437,0.06,0,-6.296,-0.616,-0.662,0.097,0.209,287.432,99688.236,288.358,100089.838,12.287,,,12.697
6/1/2004 2:00,290.112,296.188,296.188,285.481,0.06,0,-5.329,-0.596,-0.649,0.165,0.212,287.441,99686.667,288.308,100089.9,12.331,,,12.672
6/1/2004 2:05,290.075,296.125,296.125,285.54,0.06,0,-5.703,-0.571,-0.635,0.258,0.215,287.444,99685.875,288.286,100089.919,12.39,,,12.676
6/1/2004 2:10,290.073,296.062,296.062,285.589,0.06,0,-6.028,-0.576,-0.652,0.351,0.226,287.446,99685.083,288.279,100089.928,12.439,,,12.693
6/1/2004 2:15,290.061,296.001,296.001,285.63,0.06,0,-6.315,-0.595,-0.685,0.453,0.242,287.448,99684.292,288.272,100089.938,12.48,,,12.72
6/1/2004 2:20,290.054,295.942,295.942,285.665,0.06,0,-6.57,-0.637,-0.744,0.548,0.266,287.45,99683.5,288.265,100089.947,12.515,,,12.755
6/1/2004 2:25,290.027,295.885,295.885,285.695,0.06,0,-6.801,-0.694,-0.82,0.642,0.297,287.453,99682.708,288.255,100089.959,12.545,,,12.796
6/1/2004 2:30,290.012,295.831,295.831,285.722,0.06,0,-7.014,-0.715,-0.909,0.726,0.334,287.455,99681.917,288.246,100089.968,12.572,,,12.843
6/1/2004 2:35,289.985,295.777,295.777,285.745,0.06,0,-7.209,-0.76,-1.008,0.812,0.375,287.457,99681.125,288.236,100089.979,12.595,,,12.894
6/1/2004 2:40,289.972,295.725,295.725,285.766,0.06,0,-7.391,-0.823,-1.116,0.89,0.421,287.46,99680.333,288.228,100089.987,12.616,,,12.949
6/1/2004 2:45,289.947,295.673,295.673,285.784,0.06,0,-7.565,-0.896,-1.235,0.971,0.47,287.462,99679.542,288.219,100089.996,12.634,,,13.007
6/1/2004 2:50,289.936,295.622,295.622,285.802,0.06,0,-7.733,-0.978,-1.364,1.045,0.525,287.464,99678.75,288.212,100090.004,12.652,,,13.069
6/1/2004 2:55,289.911,295.573,295.573,285.819,0.06,0,-7.898,-1.065,-1.503,1.122,0.584,287.466,99677.958,288.205,100090.011,12.669,,,13.132
6/1/2004 3:00,289.901,295.524,295.524,285.836,0.06,0,-8.061,-1.158,-1.652,1.179,0.648,287.469,99677.167,288.198,100090.018,12.686,,,13.198
6/1/2004 3:05,289.888,295.477,295.477,285.852,0.06,0.812,-9.016,-1.255,-1.811,1.252,0.717,287.468,99678.042,288.208,100089.999,12.702,,,13.241
6/1/2004 3:10,289.903,295.432,295.429,285.87,0.06,0.875,-9.976,-1.355,-1.968,1.324,0.782,287.467,99678.917,288.229,100089.972,12.72,,,13.275
6/1/2004 3:15,289.907,295.388,295.382,285.875,0.06,0.938,-10.869,-1.46,-2.12,1.401,0.838,287.466,99679.792,288.25,100089.946,12.725,,,13.302
6/1/2004 3:20,289.921,295.345,295.337,285.867,0.06,1,-11.704,-1.459,-2.284,1.472,0.893,287.465,99680.667,288.27,100089.921,12.717,,,13.297
6/1/2004 3:25,289.915,295.302,295.292,285.848,0.06,1.062,-12.478,-1.532,-2.455,1.545,0.946,287.464,99681.542,288.286,100089.898,12.698,,,13.304
6/1/2004 3:30,289.922,295.26,295.249,285.819,0.06,1.125,-13.204,-1.649,-2.625,1.609,0.994,287.463,99682.417,288.303,100089.875,12.669,,,13.311
6/1/2004 3:35,289.914,295.219,295.206,285.783,0.06,1.188,-13.893,-1.786,-2.791,1.676,1.037,287.462,99683.292,288.317,100089.854,12.633,,,13.317
6/1/2004 3:40,289.922,295.178,295.163,285.741,0.06,1.25,-14.549,-1.937,-2.956,1.737,1.077,287.462,99684.167,288.333,100089.834,12.591,,,13.322
6/1/2004 3:45,289.914,295.137,295.121,285.692,0.06,1.312,-15.178,-2.097,-3.123,1.801,1.112,287.461,99685.042,288.346,100089.814,12.542,,,13.326
6/1/2004 3:50,289.921,295.097,295.08,285.64,0.06,1.375,-15.783,-2.268,-3.293,1.859,1.146,287.46,99685.917,288.36,100089.795,12.49,,,13.33
