,(m) canPres_1.5,(m) canPres_2.5,(m) canPres_3.5,(m) canPres_4.5,(m) canPres_5.5,(m) canPres_6.5,(m) canPres_7.5,(m) canPres_8.5,(m) canPres_9.5,(m) canPres_10.5,(m) canPres_11.5,(m) canPres_12.5,(m) canPres_13.5,(m) canPres_14.5
2002-06-10 00:00:00,98070.51783233325,98059.1898597964,98047.86192282943,98036.53346691327,98025.20396970335,98013.87293614045,98002.5398942616,97991.2043915904,97979.86599200947,97968.52427303487,97957.17882342899,97945.82924109776,97934.47513122864,97923.11583463605
2002-06-10 00:05:00,98079.283563903,98067.7134809738,98056.14207225225,98044.56861033196,98032.99251653111,98021.41336677244,98009.83089360008,97998.24497591103,97986.65559504431,97975.0627907627,97963.46663388539,97951.8672134156,97940.26463278897,97928.65883685785
2002-06-10 00:10:00,98080.37857730627,98068.75177469112,98057.12394153612,98045.49497057621,98033.8647853082,98022.23333082044,98010.60058115983,97998.96655857352,97987.33132365438,97975.69495572461,97964.05753809903,97952.41915045436,97940.77986905616,97929.13969011907
2002-06-10 00:15:00,98080.15378921125,98068.54253713047,98056.92944137541,98045.31447871757,98033.69764929001,98022.07896990933,98010.4584796513,97998.83625160916,97987.21238180494,97975.58697266396,97963.96012223994,97952.33191993633,97940.70244823703,97929.07169080069
2002-06-10 00:20:00,98079.833441175,98068.24416720537,98056.65216388309,98045.05740084122,98033.45987792492,98021.85961812039,98010.25667447883,97998.65114377408,97987.04315183764,97975.4328321077,97963.82031157991,97952.20570522256,97940.58911796172,97928.97052329125
2002-06-10 00:25:00,98079.8682213797,98068.27655292829,98056.6826118743,98045.08627050789,98033.48744833146,98021.8861112286,98010.28227624476,97998.67601348033,97987.06742334746,97975.45661267861,97963.84368135707,97952.22871816569,97940.61180276878,97928.99288337311
2002-06-10 00:30:00,98080.0100099755,98068.41329384963,98056.81432855512,98045.21300368545,98033.60924987949,98022.00303592971,98010.39437502189,97998.78333222843,97987.170005292,97975.55450144583,97963.93692330549,97952.31736364737,97940.69590686438,97929.07250889746
2002-06-10 00:35:00,98080.18478324843,98068.58006115588,98056.9733598705,98045.36456143648,98033.75359114991,98022.14041487931,98010.52504386718,97998.90753925813,97987.28799209352,97975.66650091688,97964.04315872752,97952.4180484812,97940.79124462347,97929.16270111322
2002-06-10 00:40:00,98080.28540197511,98068.67821767574,98057.06895805274,98045.45753206105,98033.84388738066,98022.22800648105,98010.60991173399,97998.98967211938,97987.36738501712,97975.74315459533,97964.11707886522,97952.48924504213,97940.85973108355,97929.22849442993
2002-06-10 00:45:00,98080.3867674987,98068.77578725555,98057.16288260261,98045.54795008611,98033.93092659157,98022.31178613506,98010.69054449408,97999.06726424626,97987.44203591712,97975.81495650488,97964.18611685888,97952.55559726374,97940.9234688947,97929.28968503319
