"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","KA1","KA2","OC1","OD1","REM","EQD"
"71833099999","2018-01-01T00:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","FM-12","99999","V020","290,1,N,0015,1","99999,9,9,N","999999,9,9,9","-0176,1","-0215,1","99999,9","06,9999,1,9","24,9999,1,9","120,M,-0138,1","120,N,-0287,1",,,"SYN05871833 46/// /2903 11176 21215 6///1 333 11138 21287 7////=",
"71833099999","2018-01-01T00:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","290,1,9,0015,1","99999,9,9,9","999999,9,9,9","-0176,1","-0215,1","99999,9",,,,,,,"AWY050TGT SA 0000 AUTO8 M M M M/-18/-22/2903/M/M M 65MM=",
"71833099999","2018-01-01T01:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","290,1,9,0010,1","99999,9,9,9","999999,9,9,9","-0201,1","-0230,1","99999,9",,,,,,,"AWY050TGT SA 0100 AUTO8 M M M M/-20/-23/2902/M/M M 10MM=",
"71833099999","2018-01-01T02:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","270,1,9,0010,1","99999,9,9,9","999999,9,9,9","-0211,1","-0240,1","99999,9",,,,,,,"AWY050TGT SA 0200 AUTO8 M M M M/-21/-24/2702/M/M M 10MM=",
"71833099999","2018-01-01T03:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","FM-12","99999","V020","290,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0207,1","-0227,1","99999,9","03,9999,9,9",,,,,,"SYN04071833 46/// /2902 11207 21227 333 6///7=",
"71833099999","2018-01-01T03:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","290,1,9,0010,1","99999,9,9,9","999999,9,9,9","-0207,1","-0227,1","99999,9",,,,,,,"AWY050TGT SA 0300 AUTO8 M M M M/-21/-23/2902/M/M M 77MM=",
"71833099999","2018-01-01T04:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","290,1,9,0010,1","99999,9,9,9","999999,9,9,9","-0219,1","-0237,1","99999,9",,,,,,,"AWY050TGT SA 0400 AUTO8 M M M M/-22/-24/2902/M/M M 97MM=",
"71833099999","2018-01-01T05:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","230,1,9,0005,1","99999,9,9,9","999999,9,9,9","-0253,1","-0278,1","99999,9",,,,,,,"AWY050TGT SA 0500 AUTO8 M M M M/-25/-28/2301/M/M M 38MM=",
"71833099999","2018-01-01T06:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","FM-12","99999","V020","240,1,N,0005,1","99999,9,9,N","999999,9,9,9","-0251,1","-0274,1","99999,9","06,9999,1,9","24,9999,1,9","240,M,-0138,1","240,N,-0287,1",,,"SYN05871833 46/// /2401 11251 21274 6///1 333 11138 21287 7////=",
"71833099999","2018-01-01T06:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","240,1,9,0005,1","99999,9,9,9","999999,9,9,9","-0251,1","-0274,1","99999,9",,,,,,,"AWY050TGT SA 0600 AUTO8 M M M M/-25/-27/2401/M/M M 14MM=",
"71833099999","2018-01-01T07:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","360,1,9,0000,1","99999,9,9,9","999999,9,9,9","-0257,1","-0282,1","99999,9",,,,,,,"AWY050TGT SA 0700 AUTO8 M M M M/-26/-28/0000/M/M M 72MM=",
"71833099999","2018-01-01T08:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","360,1,9,0000,1","99999,9,9,9","999999,9,9,9","-0261,1","-0287,1","99999,9",,,,,,,"AWY050TGT SA 0800 AUTO8 M M M M/-26/-29/0000/M/M M 17MM=",
"71833099999","2018-01-01T09:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","FM-12","99999","V020","070,1,N,0005,1","99999,9,9,N","999999,9,9,9","-0249,1","-0273,1","99999,9","03,9999,9,9",,,,,,"SYN04071833 46/// /0701 11249 21273 333 6///7=",
"71833099999","2018-01-01T09:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","070,1,9,0005,1","99999,9,9,9","999999,9,9,9","-0249,1","-0273,1","99999,9",,,,,,,"AWY050TGT SA 0900 AUTO8 M M M M/-25/-27/0701/M/M M 93MM=",
"71833099999","2018-01-01T10:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","360,1,9,0000,1","99999,9,9,9","999999,9,9,9","-0234,1","-0260,1","99999,9",,,,,,,"AWY050TGT SA 1000 AUTO8 M M M M/-23/-26/0000/M/M M 40MM=",
"71833099999","2018-01-01T11:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","360,1,9,0000,1","99999,9,9,9","999999,9,9,9","-0254,1","-0280,1","99999,9",,,,,,,"AWY050TGT SA 1100 AUTO8 M M M M/-25/-28/0000/M/M M 40MM=",
"71833099999","2018-01-01T12:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","FM-12","99999","V020","220,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0247,1","-0270,1","99999,9","06,9999,1,9","24,9999,1,9","240,M,-0138,1","240,N,-0264,1",,,"SYN05871833 46/// /2202 11247 21270 6///1 333 11138 21264 7////=",
"71833099999","2018-01-01T12:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","220,1,9,0010,1","99999,9,9,9","999999,9,9,9","-0247,1","-0270,1","99999,9",,,,,,,"AWY050TGT SA 1200 AUTO8 M M M M/-25/-27/2202/M/M M 70MM=",
"71833099999","2018-01-01T13:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","220,1,9,0005,1","99999,9,9,9","999999,9,9,9","-0235,1","-0257,1","99999,9",,,,,,,"AWY050TGT SA 1300 AUTO8 M M M M/-24/-26/2201/M/M M 57MM=",
"71833099999","2018-01-01T14:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","250,1,9,0015,1","99999,9,9,9","999999,9,9,9","-0178,1","-0195,1","99999,9",,,,,,,"AWY050TGT SA 1400 AUTO8 M M M M/-18/-20/2503/M/M M 85MM=",
"71833099999","2018-01-01T15:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","FM-12","99999","V020","240,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0141,1","-0162,1","99999,9","03,9999,9,9",,,,,,"SYN04071833 46/// /2406 11141 21162 333 6///7=",
"71833099999","2018-01-01T15:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","240,1,9,0031,1","99999,9,9,9","999999,9,9,9","-0141,1","-0162,1","99999,9",,,,,,,"AWY050TGT SA 1500 AUTO8 M M M M/-14/-16/2406/M/M M 12MM=",
"71833099999","2018-01-01T16:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","250,1,9,0051,1","99999,9,9,9","999999,9,9,9","-0124,1","-0162,1","99999,9",,,,,"0082,1",,"AWY053TGT SA 1600 AUTO8 M M M M/-12/-16/2510+16/M/M M 42MM=",
"71833099999","2018-01-01T17:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","SAO  ","99999","V020","250,1,9,0041,1","99999,9,9,9","999999,9,9,9","-0116,1","-0160,1","99999,9",,,,,,"3,01,0093,1,240","AWY068TGT SA 1700 AUTO8 M M M M/-12/-16/2508/M/M PK WND 2418 1649Z M 60MM=",
"71833099999","2018-01-01T18:00:00","4","43.55","-80.2166666","325.0","GUELPH TURFGRASS, CA","FM-12","99999","V020","250,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0110,1","-0152,1","99999,9","06,9999,1,9","24,9999,1,9","120,M,-0109,1","120,N,-0264,1",,,"SYN05871833 46/// /2509 11110 21152 6///1 333 11109 21264 7////=",
