date_time,'rft_time_campbel13_%60'_HHMMSS.SSS UTC,tpr_air2m_c13_cal_%60'_celsius,pre_air_c13_cal_%60'_hPa,'hum_relcapa_c13_cal_%60'_percent,prp_intensrr_c13_cal_%60'_millimeter/hour,'ven_ddmoy_c13_cal_%60'_degre,ven_ffmoy_c13_cal_%60'_m/s,flx_rvd_c13_cal_%60'_watt/m2,flx_rvm_c13_cal_%60'_watt/m2,flx_ird_c13_%60'_watt/m2,flx_irm_c13_%60'_watt/m2,'tpr_air6m_c13_cal_%60'_,'hum_relcapa6m_c13_cal_%60'_'
2004-06-01 00:00:00,200.0,14.175999999999998,997.4399999999999,95.0,0.0,69.2,0.6799999999999999,-0.096,0.0,378.082,386.986,9999.0,9999.0
2004-06-01 00:05:00,700.0,14.13,997.4,95.0,0.0,62.0,0.6,-0.154,0.0,377.272,387.15999999999997,9999.0,9999.0
2004-06-01 00:10:00,1200.0,14.148000000000001,997.3799999999999,95.0,0.0,52.6,0.6799999999999999,-0.02,0.0,377.254,387.046,9999.0,9999.0
2004-06-01 00:15:00,1700.0,14.12,997.3399999999999,95.6,0.0,59.0,0.52,-0.05800000000000001,0.0,377.838,387.006,9999.0,9999.0
2004-06-01 00:20:00,2200.0,14.126,997.3199999999999,96.0,0.0,94.4,0.13999999999999999,0.0,0.022,378.62600000000003,387.15999999999997,9999.0,9999.0
2004-06-01 00:25:00,2700.0,14.174000000000001,997.3399999999999,96.0,0.0,50.8,0.0,0.0,0.044,378.73400000000004,387.312,9999.0,9999.0
2004-06-01 00:30:00,3200.0,14.203999999999999,997.3399999999999,96.0,0.0,106.4,0.0,-0.096,0.088,378.552,387.38199999999995,9999.0,9999.0
2004-06-01 00:35:00,3700.0,14.23,997.3399999999999,96.0,0.0,264.0,0.0,-0.098,0.088,378.422,387.23,9999.0,9999.0
2004-06-01 00:40:00,4200.0,14.242,997.3,96.0,0.0,83.6,0.0,-0.06000000000000001,0.066,378.608,387.366,9999.0,9999.0
2004-06-01 00:45:00,4700.0,14.244,997.3,96.0,1.2,217.0,0.1,-0.06000000000000001,0.044,378.944,387.46799999999996,9999.0,9999.0
2004-06-01 00:50:00,5200.0,14.225999999999999,997.28,96.0,1.2,253.8,0.16,-0.154,0.0,379.206,387.338,9999.0,9999.0
