,(m) TempProfile_K_2.5,(m) TempProfile_K_15.5,(m) TempProfile_K_22.5,(m) TempProfile_K_27.5,(m) TempProfile_K_32.5
2002-06-10 01:00:00,15.2661297295557,14.274062485958837,13.964450581498454,13.840811276178272,13.7401798031417
2002-06-10 01:10:00,15.193850021921776,14.224452513962092,13.927518722423542,13.808963026432139,13.712526593657003
2002-06-10 01:20:00,15.135688968431623,14.18266404864437,13.896122415266746,13.781501281905264,13.68818337564744
2002-06-10 01:30:00,15.07873153966409,14.141537316411927,13.86482556385431,13.754050054125287,13.66383338552589
2002-06-10 01:40:00,15.027997375588939,14.10402426790381,13.835646388465364,13.728159292605028,13.640605920133112
2002-06-10 01:50:00,14.981603223002992,14.069082659308037,13.80803448246445,13.703442192646207,13.618233180943093
2002-06-10 02:00:00,14.935372141236257,14.032554702521168,13.77807623537683,13.675996035898436,13.592764320289064
2002-06-10 02:10:00,14.881001996727662,13.986669490707925,13.737163953866343,13.636958288036624,13.555200028382558
2002-06-10 02:20:00,14.818732120543473,13.939936629623617,13.695849102775014,13.597620587384256,13.517415231546352
2002-06-10 02:30:00,14.755183630730244,13.893558767825198,13.654929735853557,13.55863367398831,13.479917807655397
2002-06-10 02:40:00,14.691300919718515,13.847257364159475,13.61409859509115,13.519732978709044,13.442500652127478
2002-06-10 02:50:00,14.627902485442917,13.801250729345156,13.573459326788338,13.480987702293305,13.405209105400047
2002-06-10 03:00:00,14.562796235986411,13.752651422018971,13.52982794714626,13.439009979217985,13.364431020958591
2002-06-10 03:10:00,14.484263633789396,13.689460539182846,13.47174175098769,13.382653267942942,13.30934566643765
2002-06-10 03:20:00,14.408545355247156,13.625338089793672,13.412242980485757,13.324935915353535,13.253054106635489
2002-06-10 03:30:00,14.336927526890577,13.563005994937555,13.353767480467468,13.267912396656925,13.197177778946298
2002-06-10 03:40:00,14.265234280606137,13.500587154737673,13.29516266152541,13.210734230283606,13.141121254592804
2002-06-10 03:50:00,14.193573419176232,13.438091859680526,13.236403553648188,13.153377564234574,13.084868912363902
2002-06-10 04:00:00,14.12272092686851,13.376354530337665,13.178099530070767,13.09636842364256,13.028883698293043
2002-06-10 04:10:00,14.053868259718968,13.316892841806066,13.121727932061788,13.041130106468586,12.974532456865802
2002-06-10 04:20:00,13.97435105326906,13.252286377221822,13.060591691039235,12.981038700988393,12.91514023770759
2002-06-10 04:30:00,13.894732776922979,13.188772075501674,13.000578269668665,12.922216207753422,12.85721015103195
2002-06-10 04:40:00,13.816245319373479,13.125653920134141,12.940659471706624,12.863336459242191,12.799072390024435
2002-06-10 04:50:00,13.737807630462612,13.062055166785285,12.880135854198272,12.803827519831657,12.74029416112296
2002-06-10 05:00:00,13.666190501315214,13.005611545487,12.825347951063975,12.749616347661515,12.68653962519403
2002-06-10 05:10:00,13.61194457353406,12.963652507569464,12.785801490539484,12.71097504446817,12.648619349684395
2002-06-10 05:20:00,13.57310051651757,12.929152423017626,12.750690203431418,12.675503059284495,12.612796352313921
2002-06-10 05:30:00,13.805525946140278,13.01927606471736,12.782710617298449,12.68591854159763,12.606385287207786
2002-06-10 05:40:00,13.966011900325384,13.151298914571953,12.874072483450618,12.748766563662002,12.640459638299888
2002-06-10 05:50:00,13.92565644700693,13.090072274792988,12.818565165884479,12.69649104827431,12.58959568226578
2002-06-10 06:00:00,13.950824838681626,13.089775488299551,12.797249755334292,12.665513068891073,12.550249229141855
2002-06-10 06:10:00,13.93690520997427,13.049483333886485,12.747152384123751,12.610461663694423,12.490341706673178
2002-06-10 06:20:00,13.917652142348516,13.003446938609784,12.691116237857614,12.549932795386269,12.425866263707917
2002-06-10 06:30:00,13.885987830159308,12.950383100379213,12.631066839894743,12.486588382870195,12.359511563832768
2002-06-10 06:40:00,13.845363558635427,12.892183242915394,12.567495015865234,12.420537474309015,12.291226317460087
2002-06-10 06:50:00,13.79908977870059,12.830946024694242,12.502031204498621,12.353118518461088,12.222043021977356
2002-06-10 07:00:00,13.748193512769035,12.773054196079443,12.442210534914068,12.292643408721005,12.161151920248699
2002-06-10 07:10:00,13.73018293255518,12.749385339083517,12.417038230521825,12.267363310595442,12.136087650281581
2002-06-10 07:20:00,13.74609712493259,12.74717135913437,12.405825652840122,12.252362280972307,12.117882662027455
2002-06-10 07:30:00,13.780131091562339,12.755050923048543,12.400154592970694,12.240815898189965,12.101301843632655
2002-06-10 07:40:00,13.83124835891681,12.770135091076895,12.39815740499796,12.23136541212773,12.085447940664722
2002-06-10 07:50:00,13.892133004614493,12.789307367973493,12.397842158188496,12.222544527966704,12.069326679082337
