,(m) TempProfile_K_2.5,(m) TempProfile_K_13.5,(m) TempProfile_K_17.5,(m) TempProfile_K_21.5,(m) TempProfile_K_25.5,(m) TempProfile_K_31.5
2002-06-10 01:00:00,13.652749818998416,12.785760293653766,12.398140139070392,12.202170462381162,12.057913486138887,11.872346095193961
2002-06-10 01:10:00,13.581012869443214,12.730523300324023,12.353921227263584,12.164350220459824,12.02440618418143,11.844116591920681
2002-06-10 01:20:00,13.523215372258733,12.684406718700984,12.316605861710286,12.132249991618892,11.99569080405928,11.819374354794945
2002-06-10 01:30:00,13.466560758314756,12.639040506054073,12.279657658586245,12.10026996212406,11.967001711584658,11.794619594041023
2002-06-10 01:40:00,13.416214061560481,12.5980601201843,12.245723599102405,12.070547872337102,11.940084739002657,11.77107176030313
2002-06-10 01:50:00,13.3701147038891,12.560084643768676,12.213926382607212,12.042460656557182,11.914469393430466,11.74842516197657
2002-06-10 02:00:00,13.3241722476792,12.520967383510765,12.180275096940932,12.012122326249482,11.886293384873227,11.722776200298654
2002-06-10 02:10:00,13.270180638849013,12.473126401128809,12.136716811582573,11.971061453549396,11.846848008197696,11.685212589318496
2002-06-10 02:20:00,13.20826402270825,12.423205036063166,12.092524304833546,11.929562407490266,11.807059415470746,11.64740900929985
2002-06-10 02:30:00,13.145197745677024,12.373376305959027,12.048752841827138,11.888483127879965,11.76765723603745,11.609915612910356
2002-06-10 02:40:00,13.081733045709996,12.323487607625168,12.005046592951146,11.847478916681325,11.72833265467375,11.57249708874383
2002-06-10 02:50:00,13.018752251647811,12.27391895057741,11.961589515422418,11.80667387523323,11.68917586514334,11.535208733609409
2002-06-10 03:00:00,12.954079770026851,12.22199539175881,11.9154233868137,11.762945756287309,11.64690809814465,11.494511162803235
2002-06-10 03:10:00,12.876079532628466,12.155662958319056,11.854810315174063,11.704850220456194,11.590335368250805,11.43959475399015
2002-06-10 03:20:00,12.800880268994433,12.089130007029269,11.792993840753752,11.645361871396744,11.532374357658568,11.383444848354998
