,(m) TempProfile_K_2.5,(m) TempProfile_K_13.5,(m) TempProfile_K_17.5,(m) TempProfile_K_21.5,(m) TempProfile_K_25.5,(m) TempProfile_K_31.5
2002-06-10 01:00:00,15.266353427724937,14.50188988434087,14.151044596104157,13.992988033191295,13.886949886297543,13.758884598201462
2002-06-10 01:10:00,15.194151527058864,14.446283863357394,14.106523575299548,13.954905385668553,13.85320755446702,13.730454462865168
2002-06-10 01:20:00,15.135976561196458,14.39985764710599,14.068952047404366,13.922581349154427,13.824289847784257,13.705535788033103
2002-06-10 01:30:00,15.078951386100925,14.354186455989293,14.031749998939688,13.890378298172152,13.79539861951281,13.680604528529216
2002-06-10 01:40:00,15.028273435028495,14.312929231639089,13.997581907864571,13.860448310538118,13.768291552701271,13.656888556245235
2002-06-10 01:50:00,14.981869398403376,14.274696272006281,13.965564744330209,13.832164167674705,13.742494969183667,13.634080067193509
2002-06-10 02:00:00,14.935619293384889,14.235311017281674,13.931678686027226,13.801611622997655,13.714118472132384,13.608247086850724
2002-06-10 02:10:00,14.881257122452723,14.187135269367502,13.887811683422797,13.76025754193762,13.674390150200168,13.570412805147043
2002-06-10 02:20:00,14.818923055812775,14.136866258968553,13.843306308725005,13.71846235207505,13.63431627978514,13.532336895951175
2002-06-10 02:30:00,14.755432999394088,14.086690788176043,13.799224860543404,13.677089802153887,13.594631483964577,13.494573334364873
2002-06-10 02:40:00,14.6915422735035,14.036455074640628,13.755209104297649,13.63579285874016,13.555024839918246,13.456885180503036
2002-06-10 02:50:00,14.628138511368832,13.98654150705977,13.711444190561224,13.594696445524676,13.515587148759096,13.419328111357004
2002-06-10 03:00:00,14.56302854292096,13.934254663538809,13.664949707810479,13.550655110198818,13.47301544402842,13.378336847623189
2002-06-10 03:10:00,14.484492957502425,13.867454849482328,13.603903977108132,13.492142553876533,13.416035373910972,13.32302391124
2002-06-10 03:20:00,14.40877325473491,13.800452006981686,13.54164626734007,13.432227437269887,13.35765730738376,13.266468775060389
2002-06-10 03:30:00,14.337154398210203,13.735823902533866,13.480883056510265,13.373409513113472,13.300097588441758,13.210381288682697
2002-06-10 03:40:00,14.265460269192545,13.671106504781221,13.420018197269542,13.314467207638017,13.24239345103149,13.1541186829769
2002-06-10 03:50:00,14.193708162690882,13.606304438683821,13.359022086923915,13.255361380303043,13.184507595521382,13.09765552641079
2002-06-10 04:00:00,14.122929679798233,13.54239814312524,13.298693959370212,13.196761760064476,13.12702725419365,13.04148615275244
2002-06-10 04:10:00,14.054090163456976,13.480812699500916,13.24051207934474,13.140127292637771,13.071377527789423,12.986975971631864
2002-06-10 04:20:00,13.976113224996766,13.413511055065442,13.177676501118754,13.078912373301591,13.011068775880005,12.927561633981725
2002-06-10 04:30:00,13.899768781305283,13.347599498579768,13.116216165004403,13.019048892043827,12.952164262496694,12.869706595273328
2002-06-10 04:40:00,13.824073644145415,13.281997013534237,13.054860139153902,12.959174609348963,12.893154793444864,12.81160083397424
2002-06-10 04:50:00,13.746845994573619,13.215446611748575,12.992622754865579,12.898442686443104,12.833317679243692,12.752716435344666
2002-06-10 05:00:00,13.676175670261728,13.156254567798328,12.936913975447169,12.843542436280302,12.778915186626932,12.698890304937095
2002-06-10 05:10:00,13.62721379172865,13.113264250129305,12.896806690712936,12.80443627653392,12.740451163449166,12.66118018032671
2002-06-10 05:20:00,13.594428823070189,13.079844418861398,12.863008069543355,12.77009200991148,12.705674254074381,12.625801723412337
2002-06-10 05:30:00,13.850061911839077,13.219648168460424,12.934691493350272,12.810959937044288,12.72684262477469,12.62430378808682
2002-06-10 05:40:00,14.04413359286184,13.37384192733623,13.068738598998607,12.918902344319804,12.810352765069183,12.670519361224365
2002-06-10 05:50:00,14.006973605116116,13.309371505711965,13.0069966416238,12.861830190611613,12.756792394599927,12.619792868914715
2002-06-10 06:00:00,14.044806153125307,13.319852066125122,13.001171075873685,12.844271739427427,12.730714260097102,12.582803967669122
2002-06-10 06:10:00,14.020552524188588,13.277598101525484,12.9524993701001,12.791736435878875,12.674981183984528,12.522148172290258
2002-06-10 06:20:00,13.982573250795213,13.22508123398677,12.89381834270398,12.729467899320639,12.610175999210412,12.454117098324673
2002-06-10 06:30:00,13.937389911516448,13.168000685615311,12.832066805407464,12.665113469082485,12.543895534563148,12.38526081365876
2002-06-10 06:40:00,13.885494794211695,13.106362725327983,12.766839890123833,12.597975551295292,12.475370082087807,12.314911413332538
2002-06-10 06:50:00,13.829354816914474,13.042062577504623,12.699706127474428,12.529400505629269,12.405747548737622,12.243914033492842
2002-06-10 07:00:00,13.776844281887975,12.984101833705836,12.639867701300432,12.46866909217215,12.344528864051654,12.18231972184526
2002-06-10 07:10:00,13.768094968799062,12.964699861378449,12.617601095004716,12.445264037107904,12.320608289193672,12.158137373560066
2002-06-10 07:20:00,13.793838213387062,12.969530268731774,12.613288816253998,12.43604146760839,12.307970501572072,12.141199493632826
2002-06-10 07:30:00,13.836859031986819,12.986291526963782,12.61720271312032,12.432682043107945,12.299466480241279,12.126138570266448
2002-06-10 07:40:00,13.891621002037596,13.010993819958799,12.626406222232163,12.432905284072774,12.293313250547385,12.111831131247186
2002-06-10 07:50:00,13.954413504794275,13.040846773281942,12.63879501110057,12.435068612494092,12.288214245831568,12.097449684336198
2002-06-10 08:00:00,14.022031372801848,13.072692737519276,12.651690478363435,12.436864411385955,12.282111402935413,12.081232264731625
2002-06-10 08:10:00,14.165927445998932,13.165304187707193,12.709484561314184,12.473092536732167,12.303190170986511,12.083169648669468
2002-06-10 08:20:00,14.301292620370418,13.262620208507087,12.782181370787384,12.527371701707466,12.343207543111134,12.10310938519524
2002-06-10 08:30:00,14.403356326350718,13.338621360117372,12.839301128157615,12.569838708674979,12.37459409115911,12.118960673255572
2002-06-10 08:40:00,14.50145695357844,13.413361227766472,12.895966668096548,12.612510190765192,12.406762041581601,12.136624279840532
2002-06-10 08:50:00,14.596233599931793,13.486276844831536,12.95192490262616,12.65551962224663,12.440075876038122,12.156568854568661
2002-06-10 09:00:00,14.69956557137482,13.57095319909456,13.022482948903075,12.71538623820129,12.492228604638399,12.198572341415684
2002-06-10 09:10:00,14.806973394160764,13.673417651268096,13.126212067739914,12.819521976038175,12.596799482181382,12.30379793907747
