Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),WaterSystems:NaturalGas [J](Hourly) 
 06/01  01:00:00,156485607.03570434,0.0,0.0,15146841.559195077,64112400.0,77195981.13768573,0.0,30384.338823529408,72000.0,0.0,72000.0 
 06/01  02:00:00,156485607.03570434,0.0,0.0,15146841.559195077,64112400.0,77195981.13768573,0.0,30384.338823529408,72000.0,0.0,72000.0 
 06/01  03:00:00,156485607.03570434,0.0,0.0,15146841.559195077,64112400.0,77195981.13768573,0.0,30384.338823529408,4070301.886313746,0.0,4070301.886313746 
 06/01  04:00:00,156485607.03570434,0.0,0.0,15146841.559195077,64112400.0,77195981.13768573,0.0,30384.338823529408,72000.0,0.0,72000.0 
 06/01  05:00:00,171632448.59489948,0.0,0.0,30293683.118390154,64112400.0,77195981.13768573,0.0,30384.338823529408,4070215.390401408,0.0,4070215.390401408 
 06/01  06:00:00,242521197.6885448,62785465.88155353,32735085.31791094,30293683.118390154,26713500.0,77195981.13768573,12767097.894180873,30384.338823529408,72000.0,0.0,72000.0 
 06/01  07:00:00,315107504.22461754,61271640.800188996,32743107.33664085,90881049.35517044,0.0,117654442.67614728,12526879.717646288,30384.338823529408,4072539.1360938065,0.0,4072539.1360938065 
 06/01  08:00:00,588917855.3460592,12216660.656658506,36910767.95781796,272643148.0655114,0.0,253451924.59275988,13664969.734488094,30384.338823529408,8077649.37247397,0.0,8077649.37247397 
 06/01  09:00:00,553855508.2986802,2571532.9891374903,42007914.915837094,272643148.0655114,0.0,223397067.44990274,13205460.5394682,30384.338823529408,4075337.204668777,0.0,4075337.204668777 
 06/01  10:00:00,554220896.3325769,89185.79951668944,51822840.06191727,272643148.0655114,0.0,216461331.18616644,13174006.880641678,30384.338823529408,8078748.288167214,0.0,8078748.288167214 
 06/01  11:00:00,578071079.9817568,0.0,68345013.33712924,272643148.0655114,0.0,223397067.44990274,13655466.790390013,30384.338823529408,8081244.045377148,0.0,8081244.045377148 
 06/01  12:00:00,588307924.1210775,0.0,80274004.59561877,272643148.0655114,0.0,221437412.82482204,13922974.296301628,30384.338823529408,8084111.2584648635,0.0,8084111.2584648635 
 06/01  13:00:00,617935636.1866761,0.0,100919962.96793231,272643148.0655114,0.0,229176847.66968298,15165293.144726032,30384.338823529408,8083233.016688088,0.0,8083233.016688088 
 06/01  14:00:00,645159380.8531346,0.0,140467706.48628825,272643148.0655114,0.0,216461331.18616644,15556810.77634527,30384.338823529408,8077491.809283743,0.0,8077491.809283743 
 06/01  15:00:00,671954363.0890394,0.0,166416642.51010594,272643148.0655114,0.0,216461331.18616644,16402856.988432316,30384.338823529408,4074509.1245668917,0.0,4074509.1245668917 
 06/01  16:00:00,669557621.9441702,0.0,151871840.001733,272643148.0655114,0.0,226864935.58177087,18147313.95633168,30384.338823529408,8080338.145839003,0.0,8080338.145839003 
 06/01  17:00:00,566362765.9194953,0.0,110259990.39938165,212055781.82873115,0.0,226061237.00064614,17955372.351912715,30384.338823529408,4073524.7518523694,0.0,4073524.7518523694 
 06/01  18:00:00,377551473.30569947,0.0,82605553.54249579,151468415.59195086,0.0,129665444.23400117,13781675.598428207,30384.338823529408,4072934.617761313,0.0,4072934.617761313 
 06/01  19:00:00,351988931.6680659,0.0,67316550.50765187,151468415.59195086,0.0,120417795.88235287,12755785.347286936,30384.338823529408,4071764.4321657494,0.0,4071764.4321657494 
 06/01  20:00:00,263700215.12143636,258225.37972294248,58884875.73214178,90881049.35517044,0.0,101118800.59793137,12526879.717646288,30384.338823529408,4072474.3873756914,0.0,4072474.3873756914 
