cur_datetime,canTemp,wallSun_K,wallShade_K,roof_K,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:05:00,292.010,299.872,299.872,298.230,24.152,287.334,99731.472,290.171,100087.887,
2004-06-01 00:10:00,290.884,299.603,299.603,295.929,10.045,287.334,99729.111,289.709,100088.121,
2004-06-01 00:15:00,291.281,299.151,299.151,293.227,13.550,287.334,99726.750,289.720,100088.142,
2004-06-01 00:20:00,291.654,298.731,298.731,291.543,16.863,287.334,99724.389,289.796,100088.085,
2004-06-01 00:25:00,291.752,298.412,298.412,290.486,17.102,287.334,99722.028,289.825,100088.077,
2004-06-01 00:30:00,291.755,298.173,298.173,289.739,16.337,287.334,99719.667,289.846,100088.047,
2004-06-01 00:35:00,291.641,297.980,297.980,289.113,14.298,287.333,99717.306,289.750,100088.186,
2004-06-01 00:40:00,291.442,297.816,297.816,288.550,11.342,287.333,99714.944,289.575,100088.393,
2004-06-01 00:45:00,291.207,297.668,297.668,288.042,8.022,287.333,99712.583,289.384,100088.606,
2004-06-01 00:50:00,291.040,297.527,297.527,287.584,5.527,287.333,99710.222,289.234,100088.772,
2004-06-01 00:55:00,290.925,297.391,297.391,287.170,1.972,287.333,99707.861,289.110,100088.920,
2004-06-01 01:00:00,290.841,297.260,297.260,286.795,0.497,287.333,99705.500,289.008,100089.039,
2004-06-01 01:05:00,290.767,297.137,297.137,286.456,0.239,287.342,99703.931,288.930,100089.132,
2004-06-01 01:10:00,290.724,297.023,297.023,286.173,0.239,287.351,99702.361,288.872,100089.204,
2004-06-01 01:15:00,290.657,296.917,296.917,285.943,0.239,287.360,99700.792,288.812,100089.282,
2004-06-01 01:20:00,290.599,296.819,296.819,285.761,0.239,287.369,99699.222,288.755,100089.352,
2004-06-01 01:25:00,290.521,296.727,296.727,285.623,0.239,287.378,99697.653,288.693,100089.429,
2004-06-01 01:30:00,290.459,296.640,296.640,285.522,0.239,287.387,99696.083,288.635,100089.498,
2004-06-01 01:35:00,290.388,296.558,296.558,285.454,0.239,287.396,99694.514,288.576,100089.571,
2004-06-01 01:40:00,290.333,296.479,296.479,285.415,0.239,287.405,99692.944,288.521,100089.639,
2004-06-01 01:45:00,290.268,296.404,296.404,285.402,0.239,287.414,99691.375,288.464,100089.708,
2004-06-01 01:50:00,290.219,296.332,296.332,285.410,0.239,287.423,99689.806,288.412,100089.772,
2004-06-01 01:55:00,290.158,296.264,296.264,285.437,0.060,287.432,99688.236,288.358,100089.838,
2004-06-01 02:00:00,290.111,296.198,296.198,285.481,0.060,287.441,99686.667,288.308,100089.900,
2004-06-01 02:05:00,290.074,296.134,296.134,285.540,0.060,287.444,99685.875,288.286,100089.919,
2004-06-01 02:10:00,290.072,296.072,296.072,285.589,0.060,287.446,99685.083,288.279,100089.928,
2004-06-01 02:15:00,290.060,296.011,296.011,285.630,0.060,287.448,99684.292,288.272,100089.938,
2004-06-01 02:20:00,290.053,295.952,295.952,285.665,0.060,287.450,99683.500,288.265,100089.947,
2004-06-01 02:25:00,290.026,295.896,295.896,285.695,0.060,287.453,99682.708,288.255,100089.959,
2004-06-01 02:30:00,290.012,295.841,295.841,285.722,0.060,287.455,99681.917,288.246,100089.968,
2004-06-01 02:35:00,289.984,295.788,295.788,285.745,0.060,287.457,99681.125,288.236,100089.979,
2004-06-01 02:40:00,289.972,295.735,295.735,285.766,0.060,287.460,99680.333,288.228,100089.987,
2004-06-01 02:45:00,289.946,295.684,295.684,285.784,0.060,287.462,99679.542,288.219,100089.996,
2004-06-01 02:50:00,289.935,295.633,295.633,285.802,0.060,287.464,99678.750,288.212,100090.004,
2004-06-01 02:55:00,289.911,295.584,295.584,285.819,0.060,287.466,99677.958,288.205,100090.011,
2004-06-01 03:00:00,289.900,295.535,295.535,285.836,0.060,287.469,99677.167,288.198,100090.018,
2004-06-01 03:05:00,289.887,295.488,295.488,285.853,0.060,287.468,99678.042,288.208,100089.999,
2004-06-01 03:10:00,289.903,295.443,295.440,285.870,0.060,287.467,99678.917,288.229,100089.972,
2004-06-01 03:15:00,289.906,295.399,295.393,285.875,0.060,287.466,99679.792,288.249,100089.946,
2004-06-01 03:20:00,289.921,295.356,295.348,285.867,0.060,287.465,99680.667,288.269,100089.921,
2004-06-01 03:25:00,289.914,295.313,295.303,285.848,0.060,287.464,99681.542,288.286,100089.898,
2004-06-01 03:30:00,289.922,295.271,295.260,285.819,0.060,287.463,99682.417,288.303,100089.875,
2004-06-01 03:35:00,289.914,295.230,295.217,285.783,0.060,287.462,99683.292,288.317,100089.854,
2004-06-01 03:40:00,289.921,295.189,295.175,285.741,0.060,287.462,99684.167,288.333,100089.834,
2004-06-01 03:45:00,289.913,295.148,295.132,285.692,0.060,287.461,99685.042,288.346,100089.814,
