,tpr_air2m_c13_cal_%60'_celsius,pre_air_c13_cal_%60'_hPa,'hum_relcapa_c13_cal_%60'_percent,prp_intensrr_c13_cal_%60'_millimeter/hour,'ven_ddmoy_c13_cal_%60'_degre,ven_ffmoy_c13_cal_%60'_m/s,flx_rvd_c13_cal_%60'_watt/m2,flx_rvm_c13_cal_%60'_watt/m2,flx_ird_c13_%60'_watt/m2,flx_irm_c13_%60'_watt/m2
2004-01-01 00:00:00,0.7525,998.3533333333332,87.58333333333333,0.0,302.18333333333334,2.2933333333333334,-0.6601666666666667,0.0,250.668,313.23766666666666
2004-01-01 01:00:00,-0.08633333333333333,998.0483333333334,91.2,0.0,252.86666666666667,1.2966666666666666,-0.7118333333333333,0.036000000000000004,254.819,311.6988333333333
2004-01-01 02:00:00,0.26166666666666666,997.4283333333333,92.26666666666667,0.0,273.1,3.4733333333333336,-0.42533333333333334,0.06416666666666666,283.8991666666667,312.444
2004-01-01 03:00:00,0.287,997.0566666666667,92.21666666666667,0.0,281.55,2.5283333333333333,-0.19166666666666668,0.0,308.7566666666667,314.0588333333333
2004-01-01 04:00:00,-0.08033333333333334,996.3116666666666,93.95,0.0,290.0833333333333,2.2516666666666665,-0.19,0.0,307.9728333333333,313.54766666666666
2004-01-01 05:00:00,-0.2748333333333333,995.5983333333334,94.21666666666667,0.0,279.8333333333333,1.2583333333333333,-0.178,0.0,308.0928333333333,313.3188333333334
2004-01-01 06:00:00,-0.4096666666666666,994.955,95.0,0.0,150.25,0.43333333333333335,-0.1145,0.0,308.7203333333334,313.5433333333333
2004-01-01 07:00:00,-0.33049999999999996,994.4516666666666,95.13333333333334,0.0,129.55,0.88,5.128,0.9325,306.96866666666665,313.82016666666664
2004-01-01 08:00:00,-0.30733333333333335,993.8683333333333,95.08333333333333,0.0,89.15,1.2266666666666666,40.7815,7.424833333333334,304.48466666666667,314.4055
2004-01-01 09:00:00,-0.31016666666666665,993.4150000000001,95.3,0.0,81.36666666666666,1.7716666666666667,49.591499999999996,8.584166666666667,305.11350000000004,316.2056666666667
2004-01-01 10:00:00,-0.18266666666666667,992.2233333333334,94.61666666666666,0.0,96.85,1.6833333333333333,64.37433333333334,10.816166666666668,303.37166666666667,317.66700000000003
2004-01-01 11:00:00,0.4276666666666667,990.31,93.31666666666666,0.0,125.0,1.6416666666666666,84.24433333333333,14.192499999999999,304.5688333333334,320.4695
2004-01-01 12:00:00,1.0396666666666667,988.6166666666667,91.23333333333333,0.1,153.41666666666666,1.4133333333333333,83.09750000000001,13.929333333333334,308.6706666666667,322.3233333333334
2004-01-01 13:00:00,1.5756666666666668,987.2266666666667,90.86666666666666,0.1,104.48333333333333,1.8033333333333335,97.64666666666668,16.78783333333333,311.6671666666667,325.91966666666667
2004-01-01 14:00:00,2.0826666666666664,986.4383333333334,90.53333333333333,0.2,145.2,1.245,59.33683333333333,10.322166666666668,317.38666666666666,328.6105
2004-01-01 15:00:00,1.8773333333333333,985.7533333333333,93.63333333333334,1.0,123.93333333333334,1.4516666666666667,16.6005,2.8691666666666666,319.53816666666665,326.7563333333334
2004-01-01 16:00:00,1.694,986.1666666666666,96.0,0.3,204.15,1.0666666666666667,1.5913333333333335,0.2755,320.40866666666665,325.34383333333335
2004-01-01 17:00:00,2.1871666666666667,987.0966666666667,96.9,0.3,242.11666666666667,2.4483333333333333,0.0,0.0036666666666666666,324.53516666666667,327.0235
2004-01-01 18:00:00,3.8395,987.3033333333333,97.31666666666666,0.6,275.01666666666665,3.993333333333333,0.0,0.049499999999999995,332.51500000000004,331.74899999999997
2004-01-01 19:00:00,5.9590000000000005,988.3166666666667,89.6,0.1,308.03333333333336,6.841666666666667,0.016666666666666666,0.030333333333333334,334.6453333333333,339.10400000000004
2004-01-01 20:00:00,5.450166666666666,989.33,87.76666666666667,0.0,310.81666666666666,5.015,0.006666666666666667,0.0036666666666666666,329.8316666666667,337.1853333333333
