Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),WaterSystems:NaturalGas [J](Hourly) 
 06/10  01:00:00,65393641.29721611,0.0,0.0,14886432.881686116,23169600.0,25966257.157511864,1371351.257887363,0.0001307343658737476,39885331.09409416,36408775.11412106,3476555.979973091 
 06/10  02:00:00,64079218.52740942,0.0,0.0,14886432.881686116,23169600.0,24906552.848896295,1116632.7967943081,0.00003268334274505013,30702093.802986305,29043713.535370715,1658380.2676155884 
 06/10  03:00:00,63559599.719335385,0.0,0.0,14886432.881686116,23169600.0,24376700.694588512,1126866.143028064,0.000032683292917447424,31107791.87323467,29449412.529610965,1658379.3436237029 
 06/10  04:00:00,71021185.26501386,0.0,0.0,19471919.18365086,23169600.0,27266590.804478604,1113075.2767536533,0.00013073292024206944,32644127.265168183,29167537.630015682,3476589.635152499 
 06/10  05:00:00,77620578.18529326,0.0,0.0,27381883.054540057,13515600.0,35695631.79579778,1027463.3340729476,0.0008824459979270446,44417785.21088152,27001596.911080282,17416188.299801234 
 06/10  06:00:00,83079478.73386206,0.0,0.0,29139652.803626556,0.0,53083565.932743855,856259.9944194242,0.003072219211536446,80565691.44639878,22542839.952285938,58022851.494112834 
 06/10  07:00:00,93538781.93671788,0.0,0.0,27343670.668690357,0.0,65388425.55466861,806685.7100906405,0.0032683183101427904,82925240.69760151,21265971.51405558,61659269.183545925 
 06/10  08:00:00,93923749.76182167,0.0,0.0,23919589.281910922,0.0,67967412.13473806,2036748.3420351413,0.003137585577737081,87383537.6864762,28148546.962579776,59234990.72389644 
 06/10  09:00:00,83763619.03459704,0.0,0.0,21894332.83187648,0.0,59827593.95937547,2041692.240599726,0.002745387380519945,80237283.99434282,28275128.649395034,51962155.34494778 
 06/10  10:00:00,72990359.50229841,0.0,0.0,21894332.83187648,0.0,49327737.8284305,1768288.8395074992,0.0024839219157085216,67940478.62060942,20826880.19496066,47113598.42564876 
 06/10  11:00:00,73273785.5778819,0.0,0.0,21894332.83187648,0.0,49857589.98273835,1521862.7612733927,0.0019936741691871022,52204803.892418675,14182249.690455671,38022554.201963015 
 06/10  12:00:00,71708714.28748867,0.0,0.0,21196991.736597914,0.0,49081841.69733915,1429880.851819437,0.0017322087043756798,44899087.88311022,11725090.600446261,33173997.282663967 
 06/10  13:00:00,70897613.73064715,0.0,0.0,21894332.83187648,0.0,47738181.365507215,1265099.5317273336,0.001536109605767112,36977675.49586149,7440095.902671825,29537579.59318967 
 06/10  14:00:00,70224066.32878432,0.0,0.0,21894332.83187648,0.0,47208329.21119941,1121404.2843684517,0.0013400105071585443,29620087.27492335,3718925.3712079725,25901161.903715376 
 06/10  15:00:00,75043579.88838248,0.0,0.0,25218810.40080093,0.0,48797885.67412279,1026883.8119226887,0.001536109605767112,30832815.39503282,1295235.8018431452,29537579.59318967 
 06/10  16:00:00,101818682.81999159,0.0,0.0,34122296.30378249,0.0,66715671.965376586,980714.5490349375,0.0017975750705785361,34508768.714248665,122632.20175992868,34386136.51248873 
 06/10  17:00:00,119798283.67100175,0.0,0.0,35865032.71317486,0.0,83933250.95544095,0.0,0.0023858723664042392,45295389.58091164,0.0,45295389.58091164 
 06/10  18:00:00,127240816.15265502,0.0,0.0,44004270.89916226,0.0,83236545.25068206,0.0,0.0028107537467227995,53174294.574772574,0.0,53174294.574772574 
 06/10  19:00:00,123751415.43099362,0.0,0.0,50003615.477566205,0.0,73747799.95074739,0.0,0.0026800210143170886,50750016.11512306,0.0,50750016.11512306 
 06/10  20:00:00,122166980.21542941,0.0,0.0,50538588.87946201,0.0,71628391.33351626,0.0,0.0024512387326070945,46507528.81073639,0.0,46507528.81073639 
 06/10  21:00:00,119887259.851806,0.0,0.0,38769174.0377525,17377200.0,63729202.49650488,11683.315554979443,0.0019936741691871022,38320982.42399018,298428.2220271608,38022554.201963015 
