#Times in EST 
#0:Year 	 1:Month 	 2:Day 	 3:Hour 	 4:Min 	                 5:U (m s-1) 	 6:V (m s-1) 	 7:S (m s-1) 	 8:WD (deg) 	 9:W (m s-1) 	 10:Theta (K) 	                 11:u2 (m2 s-2) 	 12:v2 (m2 s-2) 	 13:w2 (m2 s-2) 	 14:k (m2 s-2) 	 15:theta2 (K2) 	                 16:uv (m2 s-2) 	 17:uw (m2 s-2) 	 18:vw (m2 s-2) 	 19:utheta (Km s-1) 	 20:vtheta (Km s-1) 	 21:wtheta (Km s-1) 	                 22:uuu (m3 s-3) 	 23:uvv (m3 s-3) 	 24:uww (m3 s-3) 	 25:vuu (m3 s-3) 	 26:vvv (m3 s-3) 	 27:vww (m3 s-3) 	 28:wuu (m3 s-3) 	 29:wvv (m3 s-3) 	 30:www 	                 31:uStar (m s-1) 	 32:L 	 (m) 33:zeta 	 34:WD (deg) 	 35:kappaMaxSWSSsmooth (m-1) 	 36:maxSSsmooth (m3 s-2) 	 37:epsilon (m2 s-3) 
2018 	 8 	 22 	 7 	 15 	                     -0.012286 	 0.107120 	 0.107822 	 173.457358 	 -0.003452 	 291.110804 	                     0.098139 	 0.292009 	 0.038097 	 0.214122 	 0.246921 	                     -0.081492 	 -0.012126 	 0.004903 	 -0.031928 	 0.113321 	 0.014136 	                     0.017787 	 0.035758 	 0.002183 	 -0.021755 	 -0.040707 	 -0.002091 	 -0.002656 	 -0.002402 	 -0.001653 	                     0.114366 	 -7.659248 	 -0.848647 	 173.457358 	 73.198097 	 0.000037 	 0.026667 
2018 	 7 	 25 	 7 	 45 	                     -0.135618 	 0.404386 	 0.426521 	 161.460238 	 0.018600 	 294.471320 	                     0.053371 	 0.140283 	 0.035046 	 0.114351 	 0.198704 	                     -0.005323 	 -0.010342 	 -0.004600 	 0.037629 	 -0.015377 	 0.002443 	                     0.001911 	 -0.005690 	 -0.000525 	 0.003066 	 0.008712 	 0.002237 	 -0.000020 	 0.002389 	 -0.000096 	                     0.106391 	 -36.087727 	 -0.180117 	 161.460238 	 17.268304 	 0.000164 	 0.006732 
2018 	 8 	 14 	 5 	 45 	                     -0.113643 	 -0.193955 	 0.224796 	 30.367094 	 -0.030926 	 291.889673 	                     0.012742 	 0.067783 	 0.010008 	 0.045267 	 0.110308 	                     -0.002783 	 -0.001748 	 0.006095 	 0.000880 	 0.060939 	 0.010381 	                     0.000169 	 -0.001000 	 -0.000234 	 0.001145 	 0.015438 	 0.000937 	 0.000173 	 0.001982 	 0.000377 	                     0.079628 	 -3.529718 	 -1.841507 	 30.367094 	 23.183479 	 0.000023 	 0.000760 
2018 	 8 	 31 	 11 	 15 	                     -0.248606 	 -0.080085 	 0.261187 	 72.144306 	 -0.025643 	 293.786961 	                     0.257067 	 0.431716 	 0.097874 	 0.393329 	 0.811271 	                     -0.189556 	 -0.050349 	 0.092261 	 0.002121 	 0.021011 	 0.084874 	                     0.024448 	 0.008675 	 0.012321 	 -0.019082 	 -0.057557 	 -0.017587 	 -0.019969 	 -0.012608 	 -0.006303 	                     0.324200 	 -29.325369 	 -0.221651 	 72.144306 	 53.017436 	 0.000115 	 0.065728 
2018 	 7 	 29 	 20 	 15 	                     0.362712 	 -0.685453 	 0.775504 	 332.114122 	 -0.112207 	 294.273069 	                     0.079107 	 0.109551 	 0.038978 	 0.113818 	 0.046804 	                     0.014793 	 -0.005659 	 0.014708 	 -0.001972 	 0.007482 	 -0.000474 	                     0.011822 	 0.002029 	 0.003473 	 0.002279 	 -0.001709 	 0.002304 	 -0.000375 	 -0.000053 	 0.002007 	                     0.125537 	 305.101280 	 0.021304 	 332.114122 	 22.375216 	 0.000055 	 0.002490 
2018 	 9 	 2 	 22 	 45 	                     0.420019 	 -0.529192 	 0.675618 	 321.561026 	 -0.055919 	 298.489602 	                     0.080123 	 0.104718 	 0.044458 	 0.114649 	 0.030081 	                     -0.000861 	 -0.005043 	 0.005985 	 0.001086 	 0.005816 	 0.001383 	                     0.011148 	 0.002578 	 0.003078 	 0.000673 	 0.002664 	 0.000696 	 -0.000504 	 -0.001425 	 0.002755 	                     0.088465 	 -37.157700 	 -0.174930 	 321.561026 	 15.489509 	 0.000156 	 0.004758 
2018 	 8 	 18 	 22 	 15 	                     -0.267025 	 0.431316 	 0.507283 	 148.238564 	 0.029875 	 292.599235 	                     0.045855 	 0.071759 	 0.022794 	 0.070204 	 0.513387 	                     -0.003282 	 -0.002175 	 -0.000857 	 0.094595 	 0.022456 	 0.006016 	                     0.000956 	 0.000145 	 -0.000977 	 0.002624 	 -0.004316 	 0.001222 	 -0.000424 	 0.000089 	 0.000137 	                     0.048354 	 -1.367175 	 -4.754329 	 148.238564 	 3.908459 	 0.001650 	 0.005246 
2018 	 8 	 7 	 13 	 45 	                     0.223857 	 -0.270166 	 0.350859 	 320.355154 	 -0.089913 	 302.643703 	                     0.195149 	 0.467306 	 0.083276 	 0.372865 	 0.593496 	                     -0.111818 	 -0.031950 	 0.018733 	 -0.037895 	 0.190166 	 0.063217 	                     0.032498 	 0.011696 	 0.009690 	 -0.011717 	 -0.041146 	 -0.000511 	 -0.008847 	 -0.030482 	 -0.002399 	                     0.192449 	 -8.483773 	 -0.766169 	 320.355154 	 47.078159 	 0.000061 	 0.018607 
2018 	 8 	 31 	 18 	 45 	                     0.022965 	 -0.493613 	 0.494147 	 357.336220 	 -0.135032 	 292.482012 	                     0.107985 	 0.186413 	 0.074612 	 0.184505 	 0.097347 	                     -0.017654 	 -0.003149 	 0.029187 	 0.011850 	 0.017587 	 0.022467 	                     -0.002599 	 -0.004667 	 0.000182 	 0.003298 	 -0.007394 	 -0.008205 	 -0.007115 	 -0.016068 	 -0.010209 	                     0.171338 	 -16.280089 	 -0.399261 	 357.336220 	 31.978743 	 0.000070 	 0.008814 
2018 	 9 	 1 	 13 	 45 	                     0.744666 	 -1.046375 	 1.284301 	 324.561963 	 -0.074609 	 303.910283 	                     0.390459 	 0.712787 	 0.171316 	 0.637281 	 0.489181 	                     -0.033145 	 -0.039560 	 0.043902 	 -0.096283 	 0.124149 	 0.046371 	                     0.125260 	 0.028696 	 0.034018 	 -0.024755 	 -0.054828 	 0.008265 	 -0.007924 	 -0.047927 	 0.008770 	                     0.243098 	 -23.409235 	 -0.277668 	 324.561963 	 30.226255 	 0.000151 	 0.024203 
2018 	 8 	 4 	 22 	 45 	                     0.082516 	 -0.299257 	 0.310425 	 344.584558 	 -0.113952 	 296.471170 	                     0.027031 	 0.038852 	 0.012809 	 0.039346 	 0.074197 	                     -0.004485 	 -0.003860 	 0.004856 	 -0.011724 	 0.024119 	 0.012480 	                     0.003032 	 0.000622 	 0.000588 	 -0.000680 	 0.000065 	 -0.000147 	 -0.000166 	 -0.000702 	 -0.000305 	                     0.078758 	 -2.885284 	 -2.252811 	 344.584558 	 20.105637 	 0.000032 	 0.000869 
2018 	 7 	 31 	 2 	 15 	                     -0.137614 	 -0.024281 	 0.139739 	 79.993459 	 -0.009459 	 291.548631 	                     0.025838 	 0.087547 	 0.013964 	 0.063675 	 0.208158 	                     -0.010769 	 -0.000656 	 0.008270 	 0.023154 	 0.063991 	 0.013986 	                     -0.002257 	 -0.000130 	 -0.000441 	 0.004946 	 0.010017 	 0.000522 	 -0.000071 	 0.001218 	 0.000424 	                     0.091082 	 -3.916300 	 -1.659730 	 79.993459 	 19.334365 	 0.000088 	 0.003515 
2018 	 8 	 13 	 16 	 15 	                     -0.424847 	 0.321501 	 0.532783 	 127.116441 	 0.074347 	 299.944364 	                     0.074446 	 0.156058 	 0.046229 	 0.138366 	 0.068672 	                     -0.006340 	 0.000558 	 -0.003950 	 0.025711 	 -0.007412 	 0.005388 	                     -0.008466 	 0.001709 	 -0.002967 	 0.000923 	 -0.002514 	 0.000520 	 -0.002515 	 0.005369 	 0.003096 	                     0.063162 	 -3.487356 	 -1.863876 	 127.116441 	 25.505922 	 0.000072 	 0.005167 
2018 	 8 	 8 	 5 	 15 	                     -0.071438 	 -0.171426 	 0.185716 	 22.622926 	 -0.055287 	 292.334494 	                     0.011479 	 0.037472 	 0.009994 	 0.029473 	 0.126594 	                     -0.002663 	 -0.001628 	 0.003058 	 -0.002357 	 0.038733 	 0.016767 	                     -0.000338 	 -0.000917 	 -0.000151 	 0.000591 	 0.006188 	 0.000611 	 0.000017 	 0.000964 	 0.000144 	                     0.058861 	 -0.884013 	 -7.352831 	 22.622926 	 28.475473 	 0.000015 	 0.000649 
2018 	 7 	 14 	 16 	 45 	                     0.693014 	 -0.694865 	 0.981379 	 315.076412 	 -0.066451 	 300.070289 	                     0.295756 	 0.484532 	 0.122996 	 0.451642 	 0.066901 	                     -0.067217 	 -0.025794 	 0.009450 	 -0.032604 	 0.010511 	 0.002583 	                     0.096880 	 0.068192 	 0.025479 	 -0.032939 	 -0.103504 	 -0.003178 	 -0.000068 	 -0.033607 	 0.000229 	                     0.165741 	 -131.501886 	 -0.049429 	 315.076412 	 20.324075 	 0.000284 	 0.023158 
