cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[2],TempProf_cur[13],TempProf_cur[17],TempProf_cur[21],TempProf_cur[25],TempProf_cur[31],PresProf_cur[2],PresProf_cur[13],PresProf_cur[17],PresProf_cur[21],PresProf_cur[25],PresProf_cur[31],
2002-06-10 00:05:00,289.189,14.734,286.917,97510.833,289.655,288.516,288.025,287.792,287.618,287.392,98056.207,97928.731,97882.264,97835.761,97789.243,97719.446,
2002-06-10 00:10:00,288.475,8.805,286.883,97511.667,288.819,287.999,287.608,287.428,287.310,287.169,98056.869,97929.081,97882.540,97835.974,97789.400,97719.537,
2002-06-10 00:15:00,288.474,8.743,286.850,97512.500,288.789,288.037,287.622,287.426,287.299,287.150,98056.887,97929.101,97882.565,97835.999,97789.424,97719.557,
2002-06-10 00:20:00,289.183,14.679,286.817,97513.333,289.667,288.528,287.938,287.655,287.471,287.255,98056.397,97928.907,97882.434,97835.912,97789.369,97719.535,
2002-06-10 00:25:00,288.850,11.411,286.783,97514.167,289.160,288.408,287.899,287.633,287.453,287.236,98056.566,97928.948,97882.465,97835.937,97789.392,97719.554,
2002-06-10 00:30:00,288.561,8.475,286.750,97515.000,288.936,288.055,287.634,287.430,287.290,287.117,98056.907,97929.152,97882.618,97836.054,97789.478,97719.606,
2002-06-10 00:35:00,288.203,4.904,286.717,97515.833,288.505,287.792,287.439,287.271,287.156,287.015,98057.223,97929.317,97882.747,97836.154,97789.555,97719.654,
2002-06-10 00:40:00,288.611,7.982,286.683,97516.667,289.013,288.064,287.589,287.366,287.219,287.044,98056.981,97929.246,97882.709,97836.135,97789.548,97719.658,
2002-06-10 00:45:00,288.528,6.761,286.650,97517.500,288.868,288.061,287.600,287.371,287.218,287.033,98057.026,97929.261,97882.725,97836.152,97789.566,97719.675,
2002-06-10 00:50:00,288.228,3.639,286.617,97518.333,288.575,287.766,287.393,287.215,287.093,286.941,98057.323,97929.423,97882.846,97836.245,97789.636,97719.719,
2002-06-10 00:55:00,288.335,2.381,286.583,97519.167,288.688,287.849,287.425,287.225,287.090,286.927,98057.284,97929.432,97882.864,97836.265,97789.657,97719.737,
2002-06-10 01:00:00,288.363,2.103,286.550,97520.000,288.724,287.877,287.439,287.227,287.084,286.911,98057.290,97929.448,97882.884,97836.286,97789.678,97719.755,
2002-06-10 01:05:00,288.012,0.266,286.542,97522.500,288.332,287.585,287.246,287.086,286.974,286.836,98057.578,97929.585,97882.981,97836.358,97789.728,97719.784,
2002-06-10 01:10:00,287.836,0.266,286.533,97525.000,288.127,287.442,287.135,286.996,286.901,286.784,98057.740,97929.672,97883.048,97836.408,97789.765,97719.805,
2002-06-10 01:15:00,287.797,0.266,286.525,97527.500,288.082,287.408,287.102,286.965,286.873,286.760,98057.790,97929.705,97883.076,97836.430,97789.783,97719.817,
2002-06-10 01:20:00,288.103,0.266,286.517,97530.000,288.459,287.617,287.226,287.052,286.937,286.799,98057.585,97929.628,97883.025,97836.396,97789.761,97719.807,
