cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[2],TempProf_cur[13],TempProf_cur[17],TempProf_cur[21],TempProf_cur[25],TempProf_cur[31],PresProf_cur[2],PresProf_cur[13],PresProf_cur[17],PresProf_cur[21],PresProf_cur[25],PresProf_cur[31],
2002-06-10 00:05:00,289.262,15.373,286.917,97510.833,289.727,288.592,288.102,287.870,287.696,287.471,98056.059,97928.616,97882.161,97835.671,97789.165,97719.388,
2002-06-10 00:10:00,288.030,4.918,286.883,97511.667,288.272,287.700,287.445,287.328,287.251,287.158,98057.106,97929.130,97882.554,97835.966,97789.379,97719.508,
2002-06-10 00:15:00,288.310,7.313,286.850,97512.500,288.607,287.911,287.572,287.412,287.308,287.184,98056.929,97929.070,97882.521,97835.950,97789.374,97719.513,
2002-06-10 00:20:00,288.733,10.763,286.817,97513.333,289.123,288.209,287.756,287.542,287.402,287.237,98056.647,97928.966,97882.455,97835.909,97789.351,97719.508,
2002-06-10 00:25:00,288.724,10.346,286.783,97514.167,289.097,288.216,287.762,287.545,287.400,287.227,98056.663,97928.982,97882.471,97835.926,97789.368,97719.523,
2002-06-10 00:30:00,288.605,8.906,286.750,97515.000,288.973,288.104,287.678,287.477,287.341,287.178,98056.795,97929.061,97882.535,97835.977,97789.410,97719.552,
2002-06-10 00:35:00,288.437,7.003,286.717,97515.833,288.778,287.972,287.579,287.394,287.270,287.120,98056.961,97929.155,97882.610,97836.038,97789.458,97719.584,
2002-06-10 00:40:00,288.364,5.900,286.683,97516.667,288.706,287.899,287.515,287.337,287.218,287.074,98057.064,97929.225,97882.669,97836.087,97789.498,97719.612,
2002-06-10 00:45:00,288.285,4.732,286.650,97517.500,288.615,287.833,287.460,287.288,287.172,287.033,98057.161,97929.288,97882.722,97836.132,97789.535,97719.639,
2002-06-10 00:50:00,288.243,3.878,286.617,97518.333,288.578,287.786,287.416,287.247,287.133,286.996,98057.235,97929.343,97882.770,97836.173,97789.570,97719.664,
2002-06-10 00:55:00,288.172,1.097,286.583,97519.167,288.498,287.727,287.366,287.201,287.091,286.957,98057.325,97929.403,97882.820,97836.216,97789.605,97719.690,
2002-06-10 01:00:00,288.121,0.266,286.550,97520.000,288.450,287.674,287.318,287.157,287.049,286.919,98057.406,97929.461,97882.870,97836.258,97789.640,97719.715,
2002-06-10 01:05:00,288.067,0.266,286.542,97522.500,288.386,287.631,287.285,287.129,287.025,286.899,98057.460,97929.492,97882.895,97836.278,97789.656,97719.725,
2002-06-10 01:10:00,288.046,0.266,286.533,97525.000,288.366,287.609,287.267,287.113,287.011,286.887,98057.489,97929.511,97882.911,97836.291,97789.667,97719.733,
2002-06-10 01:15:00,288.012,0.266,286.525,97527.500,288.325,287.584,287.247,287.097,286.996,286.874,98057.523,97929.531,97882.927,97836.304,97789.678,97719.740,
