cur_datetime,canTemp,wallSun_K,wallShade_K,roof_K,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19]
6/1/2004 0:05,292.01,299.872,299.872,298.23,24.157,287.334,99731.472,290.171,100087.887
6/1/2004 0:10,290.886,299.603,299.603,295.929,10.064,287.334,99729.111,289.709,100088.121
6/1/2004 0:15,291.284,299.148,299.148,293.227,13.579,287.334,99726.75,289.721,100088.142
6/1/2004 0:20,291.657,298.726,298.726,291.544,16.896,287.334,99724.389,289.797,100088.085
6/1/2004 0:25,291.755,298.404,298.404,290.486,17.135,287.334,99722.028,289.825,100088.077
6/1/2004 0:30,291.757,298.164,298.164,289.739,16.361,287.334,99719.667,289.847,100088.047
6/1/2004 0:35,291.644,297.971,297.971,289.113,14.324,287.333,99717.306,289.75,100088.186
6/1/2004 0:40,291.444,297.806,297.806,288.55,11.364,287.333,99714.944,289.575,100088.393
6/1/2004 0:45,291.209,297.657,297.657,288.042,8.046,287.333,99712.583,289.384,100088.606
6/1/2004 0:50,291.042,297.516,297.516,287.584,5.547,287.333,99710.222,289.234,100088.772
6/1/2004 0:55,290.927,297.379,297.379,287.17,1.998,287.333,99707.861,289.11,100088.92
6/1/2004 1:00,290.843,297.247,297.247,286.796,0.518,287.333,99705.5,289.009,100089.039
6/1/2004 1:05,290.77,297.124,297.124,286.456,0.239,287.342,99703.931,288.931,100089.131
6/1/2004 1:10,290.725,297.01,297.01,286.174,0.239,287.351,99702.361,288.872,100089.204
6/1/2004 1:15,290.659,296.903,296.903,285.944,0.239,287.36,99700.792,288.812,100089.282
6/1/2004 1:20,290.6,296.805,296.805,285.761,0.239,287.369,99699.222,288.755,100089.352
6/1/2004 1:25,290.523,296.713,296.713,285.623,0.239,287.378,99697.653,288.693,100089.428
6/1/2004 1:30,290.461,296.626,296.626,285.522,0.239,287.387,99696.083,288.635,100089.498
6/1/2004 1:35,290.39,296.543,296.543,285.454,0.239,287.396,99694.514,288.576,100089.571
6/1/2004 1:40,290.335,296.464,296.464,285.416,0.239,287.405,99692.944,288.521,100089.639
6/1/2004 1:45,290.271,296.389,296.389,285.402,0.239,287.414,99691.375,288.464,100089.708
6/1/2004 1:50,290.22,296.317,296.317,285.41,0.239,287.423,99689.806,288.412,100089.772
6/1/2004 1:55,290.16,296.248,296.248,285.437,0.06,287.432,99688.236,288.358,100089.838
6/1/2004 2:00,290.113,296.182,296.182,285.481,0.06,287.441,99686.667,288.308,100089.9
6/1/2004 2:05,290.076,296.119,296.119,285.54,0.06,287.444,99685.875,288.286,100089.919
6/1/2004 2:10,290.073,296.056,296.056,285.589,0.06,287.446,99685.083,288.279,100089.928
6/1/2004 2:15,290.062,295.995,295.995,285.63,0.06,287.448,99684.292,288.272,100089.938
6/1/2004 2:20,290.054,295.936,295.936,285.665,0.06,287.45,99683.5,288.265,100089.947
6/1/2004 2:25,290.028,295.88,295.88,285.695,0.06,287.453,99682.708,288.255,100089.958
6/1/2004 2:30,290.013,295.825,295.825,285.722,0.06,287.455,99681.917,288.246,100089.968
6/1/2004 2:35,289.986,295.771,295.771,285.745,0.06,287.457,99681.125,288.236,100089.978
6/1/2004 2:40,289.973,295.719,295.719,285.766,0.06,287.46,99680.333,288.228,100089.987
6/1/2004 2:45,289.948,295.667,295.667,285.784,0.06,287.462,99679.542,288.219,100089.996
6/1/2004 2:50,289.937,295.617,295.617,285.802,0.06,287.464,99678.75,288.213,100090.003
6/1/2004 2:55,289.912,295.567,295.567,285.819,0.06,287.466,99677.958,288.205,100090.011
6/1/2004 3:00,289.902,295.518,295.518,285.836,0.06,287.469,99677.167,288.198,100090.018
6/1/2004 3:05,289.889,295.471,295.471,285.852,0.06,287.468,99678.042,288.208,100089.999
6/1/2004 3:10,289.904,295.426,295.423,285.87,0.06,287.467,99678.917,288.229,100089.972
6/1/2004 3:15,289.908,295.382,295.376,285.875,0.06,287.466,99679.792,288.25,100089.946
6/1/2004 3:20,289.922,295.338,295.331,285.867,0.06,287.465,99680.667,288.27,100089.921
6/1/2004 3:25,289.916,295.296,295.286,285.848,0.06,287.464,99681.542,288.286,100089.898
6/1/2004 3:30,289.923,295.254,295.243,285.819,0.06,287.463,99682.417,288.303,100089.875
6/1/2004 3:35,289.915,295.213,295.2,285.783,0.06,287.462,99683.292,288.317,100089.854
6/1/2004 3:40,289.922,295.172,295.157,285.741,0.06,287.462,99684.167,288.333,100089.834
6/1/2004 3:45,289.915,295.131,295.115,285.692,0.06,287.461,99685.042,288.346,100089.814
6/1/2004 3:50,289.922,295.091,295.073,285.639,0.06,287.46,99685.917,288.36,100089.795
6/1/2004 3:55,289.914,295.051,295.032,285.583,0.239,287.459,99686.792,288.373,100089.777
6/1/2004 4:00,289.92,295.012,294.992,285.522,0.239,287.458,99687.667,288.387,100089.759
6/1/2004 4:05,289.89,294.973,294.951,285.457,0.239,287.467,99687.667,288.367,100089.79
6/1/2004 4:10,289.855,294.936,294.914,285.415,0.239,287.476,99687.667,288.335,100089.827
6/1/2004 4:15,289.801,294.901,294.877,285.396,0.239,287.486,99687.667,288.302,100089.863
6/1/2004 4:20,289.774,294.866,294.84,285.402,0.239,287.495,99687.667,288.276,100089.893
6/1/2004 4:25,289.74,294.83,294.803,285.427,0.239,287.504,99687.667,288.253,100089.92
6/1/2004 4:30,289.724,294.795,294.766,285.468,0.239,287.513,99687.667,288.234,100089.943
6/1/2004 4:35,289.693,294.76,294.73,285.523,0.239,287.523,99687.667,288.215,100089.965
6/1/2004 4:40,289.678,294.727,294.695,285.591,0.239,287.532,99687.667,288.199,100089.984
6/1/2004 4:45,289.648,294.694,294.661,285.67,0.239,287.541,99687.667,288.183,100090.002
6/1/2004 4:50,289.634,294.662,294.628,285.758,0.239,287.55,99687.667,288.17,100090.018
6/1/2004 4:55,289.606,294.63,294.595,285.86,1.615,287.559,99687.667,288.156,100090.033
6/1/2004 5:00,289.599,294.6,294.563,285.97,1.615,287.569,99687.667,288.149,100090.044
6/1/2004 5:05,289.574,294.57,294.531,286.084,1.615,287.585,99689.319,288.139,100090.055
6/1/2004 5:10,289.562,294.543,294.501,286.213,1.615,287.6,99690.972,288.131,100090.065
6/1/2004 5:15,289.542,294.52,294.472,286.347,1.615,287.616,99692.625,288.122,100090.075
6/1/2004 5:20,289.537,294.5,294.444,286.482,1.615,287.632,99694.278,288.114,100090.084
6/1/2004 5:25,289.521,294.482,294.417,286.622,1.615,287.648,99695.931,288.106,100090.094
6/1/2004 5:30,289.52,294.466,294.391,286.76,1.615,287.664,99697.583,288.1,100090.103
6/1/2004 5:35,289.506,294.451,294.367,286.891,1.615,287.68,99699.236,288.093,100090.112
6/1/2004 5:40,289.506,294.439,294.343,287.014,1.615,287.695,99700.889,288.087,100090.119
6/1/2004 5:45,289.493,294.427,294.321,287.129,1.615,287.711,99702.542,288.08,100090.128
6/1/2004 5:50,289.495,294.416,294.299,287.247,1.615,287.727,99704.194,288.076,100090.135
6/1/2004 5:55,289.482,294.406,294.279,287.36,5.623,287.743,99705.847,288.069,100090.143
6/1/2004 6:00,289.534,294.395,294.259,287.464,5.623,287.759,99707.5,288.074,100090.148
6/1/2004 6:05,289.35,294.378,294.232,287.564,5.623,287.805,99709,288.072,100090.141
6/1/2004 6:10,289.413,294.37,294.212,287.68,5.623,287.85,99710.5,288.083,100090.127
6/1/2004 6:15,289.27,294.351,294.18,287.77,5.623,287.896,99712,288.084,100090.117
6/1/2004 6:20,289.35,294.341,294.156,287.839,5.623,287.942,99713.5,288.1,100090.098
6/1/2004 6:25,289.239,294.324,294.124,287.886,5.623,287.988,99715,288.104,100090.084
6/1/2004 6:30,289.319,294.315,294.1,287.973,5.623,288.033,99716.5,288.125,100090.062
6/1/2004 6:35,289.227,294.301,294.072,288.029,5.623,288.079,99718,288.132,100090.046
6/1/2004 6:40,289.307,294.291,294.05,288.228,5.623,288.125,99719.5,288.16,100090.019
6/1/2004 6:45,289.244,294.276,294.024,288.595,5.623,288.17,99721,288.183,100089.994
6/1/2004 6:50,289.325,294.266,294.004,288.861,5.623,288.216,99722.5,288.217,100089.962
6/1/2004 6:55,289.262,294.251,293.982,289.056,5.982,288.262,99724,288.234,100089.939
6/1/2004 7:00,289.332,294.241,293.965,289.215,5.982,288.308,99725.5,288.264,100089.91
6/1/2004 7:05,289.28,294.226,293.945,289.339,5.982,288.37,99729.069,288.287,100089.876
6/1/2004 7:10,289.35,294.214,293.93,289.457,5.982,288.432,99732.639,288.324,100089.835
6/1/2004 7:15,289.32,294.2,293.913,289.567,5.982,288.495,99736.208,288.35,100089.798
6/1/2004 7:20,289.398,294.189,293.9,289.685,5.982,288.557,99739.778,288.389,100089.756
