cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.0],TempProf_cur[15.8],TempProf_cur[22.9],TempProf_cur[27.8],TempProf_cur[32.9],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],
2002-06-10 02:55:00,287.663,0.057,286.267,97577.500,287.963,286.857,286.644,286.540,286.454,97941.163,97789.805,97708.187,97649.888,97591.595,
2002-06-10 03:00:00,287.795,0.057,286.250,97580.000,288.160,286.869,286.643,286.533,286.442,97941.127,97789.810,97708.194,97649.894,97591.599,
2002-06-10 03:05:00,287.593,0.057,286.217,97582.500,287.885,286.805,286.597,286.495,286.410,97941.242,97789.849,97708.218,97649.910,97591.608,
2002-06-10 03:10:00,287.718,0.057,286.183,97585.000,288.078,286.808,286.586,286.478,286.388,97941.219,97789.865,97708.232,97649.921,97591.614,
2002-06-10 03:15:00,287.510,0.057,286.150,97587.500,287.796,286.740,286.537,286.437,286.355,97941.339,97789.906,97708.257,97649.937,97591.623,
2002-06-10 03:20:00,287.644,0.057,286.117,97590.000,288.001,286.746,286.527,286.421,286.333,97941.312,97789.921,97708.270,97649.948,97591.630,
2002-06-10 03:25:00,287.434,0.057,286.083,97592.500,287.715,286.678,286.479,286.381,286.299,97941.433,97789.962,97708.296,97649.964,97591.639,
2002-06-10 03:30:00,287.575,0.057,286.050,97595.000,287.929,286.685,286.470,286.365,286.278,97941.403,97789.976,97708.309,97649.975,97591.646,
2002-06-10 03:35:00,287.359,0.057,286.017,97597.500,287.636,286.615,286.420,286.324,286.244,97941.527,97790.018,97708.334,97649.991,97591.654,
2002-06-10 03:40:00,287.506,0.057,285.983,97600.000,287.857,286.624,286.412,286.308,286.223,97941.494,97790.032,97708.348,97650.002,97591.661,
2002-06-10 03:45:00,287.284,0.057,285.950,97602.500,287.556,286.553,286.361,286.267,286.188,97941.621,97790.075,97708.373,97650.018,97591.670,
