cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.0],TempProf_cur[15.8],TempProf_cur[22.9],TempProf_cur[27.8],TempProf_cur[32.9],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],
2002-06-10 00:00:00,293.914,50.875,286.950,97510.000,294.286,292.179,290.999,289.988,288.834,97934.301,97786.265,97706.116,97648.680,97591.053,
2002-06-10 00:05:00,289.069,11.716,286.917,97510.833,289.560,287.809,287.454,287.270,287.119,97939.771,97789.073,97707.706,97649.565,97591.414,
2002-06-10 00:10:00,288.392,6.907,286.883,97511.667,288.756,287.471,287.229,287.116,287.025,97940.236,97789.238,97707.790,97649.609,97591.433,
2002-06-10 00:15:00,288.848,10.246,286.850,97512.500,289.285,287.671,287.326,287.166,287.037,97939.979,97789.180,97707.773,97649.607,97591.436,
2002-06-10 00:20:00,289.286,13.274,286.817,97513.333,289.819,287.839,287.408,287.206,287.043,97939.748,97789.133,97707.759,97649.606,97591.440,
2002-06-10 00:25:00,289.012,10.897,286.783,97514.167,289.459,287.751,287.352,287.160,287.004,97939.903,97789.181,97707.788,97649.625,97591.450,
2002-06-10 00:30:00,288.920,9.823,286.750,97515.000,289.391,287.655,287.284,287.105,286.959,97940.014,97789.238,97707.822,97649.646,97591.461,
2002-06-10 00:35:00,288.686,7.658,286.717,97515.833,289.101,287.551,287.211,287.047,286.912,97940.172,97789.298,97707.857,97649.668,97591.473,
2002-06-10 00:40:00,288.714,7.419,286.683,97516.667,289.166,287.515,287.175,287.012,286.878,97940.207,97789.332,97707.881,97649.684,97591.482,
2002-06-10 00:45:00,288.552,5.753,286.650,97517.500,288.957,287.447,287.123,286.967,286.839,97940.317,97789.377,97707.910,97649.703,97591.492,
2002-06-10 00:50:00,288.583,5.516,286.617,97518.333,289.026,287.416,287.090,286.934,286.806,97940.348,97789.409,97707.932,97649.719,97591.502,
2002-06-10 00:55:00,288.416,2.363,286.583,97519.167,288.811,287.346,287.037,286.889,286.767,97940.461,97789.455,97707.961,97649.738,97591.512,
2002-06-10 01:00:00,288.446,2.100,286.550,97520.000,288.879,287.312,287.004,286.855,286.734,97940.494,97789.488,97707.984,97649.754,97591.521,
2002-06-10 01:05:00,288.299,0.516,286.542,97522.500,288.683,287.263,286.972,286.831,286.717,97940.575,97789.512,97707.998,97649.762,97591.525,
2002-06-10 01:10:00,288.364,0.518,286.533,97525.000,288.788,287.261,286.967,286.825,286.709,97940.562,97789.518,97708.002,97649.765,97591.527,
2002-06-10 01:15:00,288.228,0.228,286.525,97527.500,288.603,287.220,286.941,286.806,286.695,97940.634,97789.539,97708.014,97649.772,97591.531,
2002-06-10 01:20:00,288.304,0.228,286.517,97530.000,288.721,287.222,286.937,286.800,286.688,97940.616,97789.543,97708.018,97649.776,97591.533,
2002-06-10 01:25:00,288.162,0.228,286.508,97532.500,288.528,287.179,286.910,286.780,286.673,97940.691,97789.564,97708.030,97649.782,97591.536,
2002-06-10 01:30:00,288.246,0.228,286.500,97535.000,288.657,287.183,286.908,286.775,286.667,97940.669,97789.568,97708.034,97649.786,97591.538,
2002-06-10 01:35:00,288.102,0.228,286.492,97537.500,288.460,287.141,286.881,286.756,286.653,97940.743,97789.589,97708.045,97649.792,97591.541,
