cur_datetime,canTemp,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.0],TempProf_cur[15.8],TempProf_cur[22.9],TempProf_cur[27.8],TempProf_cur[32.9],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],PresProf_cur[{_temp_height}],
2002-06-10 00:00:00,293.896,50.738,286.950,97510.000,294.269,292.156,290.972,289.958,288.801,97934.339,97786.294,97706.138,97648.696,97591.063,
2002-06-10 00:05:00,289.037,11.477,286.917,97510.833,289.529,287.774,287.418,287.234,287.083,97939.823,97789.108,97707.731,97649.582,97591.425,
2002-06-10 00:10:00,289.176,12.763,286.883,97511.667,289.714,287.756,287.367,287.189,287.046,97939.825,97789.153,97707.762,97649.603,97591.436,
2002-06-10 00:15:00,288.948,10.986,286.850,97512.500,289.319,287.771,287.364,287.175,287.024,97939.895,97789.165,97707.775,97649.614,97591.444,
2002-06-10 00:20:00,290.056,19.010,286.817,97513.333,290.771,288.119,287.547,287.280,287.065,97939.348,97789.048,97707.731,97649.599,97591.443,
2002-06-10 00:25:00,288.952,10.422,286.783,97514.167,289.237,287.895,287.428,287.197,287.006,97939.837,97789.141,97707.778,97649.626,97591.456,
2002-06-10 00:30:00,289.032,10.614,286.750,97515.000,289.573,287.666,287.281,287.091,286.934,97939.996,97789.251,97707.837,97649.659,97591.471,
2002-06-10 00:35:00,288.329,4.926,286.717,97515.833,288.641,287.423,287.125,286.979,286.858,97940.386,97789.368,97707.898,97649.693,97591.486,
2002-06-10 00:40:00,289.407,12.514,286.683,97516.667,290.049,287.732,287.272,287.057,286.884,97939.876,97789.276,97707.867,97649.684,97591.487,
2002-06-10 00:45:00,288.609,6.083,286.650,97517.500,288.907,287.601,287.197,287.000,286.838,97940.212,97789.337,97707.901,97649.706,97591.498,
2002-06-10 00:50:00,288.683,6.140,286.617,97518.333,289.185,287.435,287.093,286.923,286.782,97940.328,97789.419,97707.946,97649.732,97591.511,
2002-06-10 00:55:00,288.454,2.510,286.583,97519.167,288.806,287.403,287.055,286.886,286.746,97940.429,97789.455,97707.971,97649.749,97591.521,
2002-06-10 01:00:00,289.017,6.200,286.550,97520.000,289.578,287.553,287.121,286.914,286.745,97940.185,97789.419,97707.964,97649.752,97591.526,
2002-06-10 01:05:00,288.109,0.228,286.542,97522.500,288.415,287.243,286.954,286.807,286.685,97940.664,97789.537,97708.018,97649.778,97591.535,
2002-06-10 01:10:00,288.328,0.228,286.533,97525.000,288.782,287.206,286.922,286.782,286.667,97940.635,97789.562,97708.032,97649.786,97591.539,
2002-06-10 01:15:00,287.896,0.228,286.525,97527.500,288.177,287.092,286.852,286.734,286.638,97940.842,97789.612,97708.057,97649.799,97591.545,
2002-06-10 01:20:00,288.844,2.849,286.517,97530.000,289.435,287.360,286.991,286.818,286.678,97940.385,97789.518,97708.018,97649.783,97591.540,
2002-06-10 01:25:00,287.960,0.228,286.508,97532.500,288.201,287.188,286.905,286.763,286.646,97940.763,97789.580,97708.046,97649.797,97591.546,
2002-06-10 01:30:00,288.240,0.228,286.500,97535.000,288.682,287.159,286.884,286.747,286.633,97940.711,97789.597,97708.056,97649.803,97591.549,
2002-06-10 01:35:00,287.910,0.228,286.492,97537.500,288.187,287.092,286.839,286.714,286.612,97940.853,97789.631,97708.074,97649.812,97591.553,
2002-06-10 01:40:00,288.177,0.228,286.483,97540.000,288.599,287.129,286.855,286.721,286.611,97940.760,97789.622,97708.072,97649.813,97591.554,
2002-06-10 01:45:00,287.951,0.228,286.475,97542.500,288.251,287.081,286.824,286.699,286.596,97940.857,97789.645,97708.084,97649.820,97591.558,
2002-06-10 01:50:00,287.987,0.228,286.467,97545.000,288.331,287.078,286.821,286.694,286.589,97940.858,97789.650,97708.088,97649.823,97591.560,
2002-06-10 01:55:00,287.977,0.057,286.458,97547.500,288.303,287.061,286.805,286.680,286.578,97940.871,97789.663,97708.097,97649.829,97591.563,
2002-06-10 02:00:00,287.893,0.057,286.450,97550.000,288.185,287.062,286.806,286.679,286.573,97940.904,97789.665,97708.100,97649.831,97591.565,
2002-06-10 02:05:00,287.826,0.057,286.433,97552.500,288.121,287.003,286.765,286.647,286.549,97940.971,97789.698,97708.118,97649.843,97591.570,
2002-06-10 02:10:00,287.856,0.057,286.417,97555.000,288.171,287.003,286.758,286.636,286.535,97940.973,97789.708,97708.127,97649.850,97591.575,
2002-06-10 02:15:00,287.715,0.057,286.400,97557.500,287.992,286.942,286.716,286.603,286.510,97941.064,97789.742,97708.147,97649.862,97591.581,
2002-06-10 02:20:00,287.840,0.057,286.383,97560.000,288.174,286.965,286.721,286.600,286.500,97941.023,97789.743,97708.151,97649.867,97591.584,
2002-06-10 02:25:00,287.626,0.057,286.367,97562.500,287.885,286.892,286.674,286.565,286.474,97941.143,97789.781,97708.172,97649.879,97591.591,
2002-06-10 02:30:00,287.845,0.057,286.350,97565.000,288.197,286.938,286.692,286.570,286.468,97941.058,97789.773,97708.173,97649.882,97591.594,
2002-06-10 02:35:00,287.555,0.057,286.333,97567.500,287.804,286.849,286.636,286.529,286.439,97941.211,97789.816,97708.197,97649.896,97591.600,
2002-06-10 02:40:00,287.836,0.057,286.317,97570.000,288.201,286.910,286.662,286.539,286.436,97941.098,97789.803,97708.195,97649.898,97591.603,
2002-06-10 02:45:00,287.489,0.057,286.300,97572.500,287.729,286.807,286.599,286.493,286.405,97941.277,97789.852,97708.221,97649.913,97591.610,
2002-06-10 02:50:00,287.824,0.057,286.283,97575.000,288.199,286.881,286.632,286.508,286.404,97941.139,97789.834,97708.217,97649.914,97591.612,
2002-06-10 02:55:00,287.424,0.057,286.267,97577.500,287.656,286.765,286.562,286.458,286.370,97941.342,97789.887,97708.245,97649.929,97591.620,
2002-06-10 03:00:00,287.553,0.057,286.250,97580.000,287.884,286.747,286.542,286.439,286.352,97941.331,97789.905,97708.258,97649.938,97591.625,
2002-06-10 03:05:00,287.518,0.057,286.217,97582.500,287.793,286.738,286.520,286.412,286.322,97941.357,97789.930,97708.278,97649.953,97591.634,
2002-06-10 03:10:00,287.553,0.057,286.183,97585.000,287.848,286.758,286.521,286.401,286.301,97941.355,97789.940,97708.290,97649.964,97591.641,
2002-06-10 03:15:00,287.417,0.057,286.150,97587.500,287.683,286.680,286.464,286.354,286.260,97941.462,97789.988,97708.320,97649.984,97591.652,
2002-06-10 03:20:00,287.312,0.057,286.117,97590.000,287.587,286.602,286.405,286.304,286.218,97941.569,97790.039,97708.351,97650.004,97591.663,
2002-06-10 03:25:00,287.506,0.057,286.083,97592.500,287.826,286.633,286.402,286.288,286.194,97941.503,97790.050,97708.365,97650.016,97591.671,
2002-06-10 03:30:00,287.158,0.057,286.050,97595.000,287.372,286.541,286.343,286.240,286.153,97941.690,97790.101,97708.396,97650.036,97591.682,
2002-06-10 03:35:00,287.665,0.057,286.017,97597.500,288.056,286.628,286.370,286.244,286.139,97941.492,97790.091,97708.401,97650.044,97591.688,
2002-06-10 03:40:00,286.995,0.057,285.983,97600.000,287.154,286.480,286.283,286.178,286.089,97941.815,97790.162,97708.440,97650.067,97591.700,
2002-06-10 03:45:00,287.509,0.057,285.950,97602.500,287.881,286.545,286.300,286.176,286.072,97941.632,97790.160,97708.448,97650.077,97591.707,
2002-06-10 03:50:00,286.912,0.057,285.917,97605.000,287.074,286.391,286.202,286.103,286.018,97941.936,97790.237,97708.491,97650.102,97591.720,
2002-06-10 03:55:00,287.376,0.228,285.883,97607.500,287.738,286.448,286.215,286.098,286.000,97941.775,97790.238,97708.500,97650.112,97591.727,
