,wallSun_Text_K,wallShade_Text_K,roof_Text_K,sensWaste_w_footprint_m2,canTemp_K
2004-06-01 00:00:00,300.0,300.0,300.0,68.05995123873004,295.48286463892424
2004-06-01 00:05:00,299.8712167463161,299.8712167463161,298.23048282336276,10.353139483090084,290.809382294367
2004-06-01 00:10:00,299.5714604357822,299.5714604357822,295.5897528943728,0.47857425309487234,289.6435438019608
2004-06-01 00:15:00,299.0427059493473,299.0427059493473,292.2774936894404,0.47857425309487234,290.07039750082856
2004-06-01 00:20:00,298.5659187746965,298.5659187746965,290.44571079422235,3.9424373957742853,290.54112024841737
2004-06-01 00:25:00,298.2018056982415,298.2018056982415,289.3803598330903,3.117265912925628,290.5474953099054
2004-06-01 00:30:00,297.93590564849706,297.93590564849706,288.68729636699766,2.9724143072684797,290.6051002771111
2004-06-01 00:35:00,297.7181966586489,297.7181966586489,288.17286745655207,1.1781983922495467,290.5129528746791
2004-06-01 00:40:00,297.5358598865985,297.5358598865985,287.73614554265896,0.95018806385021,290.55214724010534
2004-06-01 00:45:00,297.3742278769255,297.3742278769255,287.34402620611047,0.47857425309487234,290.5185828288614
2004-06-01 00:50:00,297.2330777919705,297.2330777919705,286.9835019198634,0.47857425309487234,290.58939954582434
2004-06-01 00:55:00,297.10665747017595,297.10665747017595,286.65485173446297,0.23928712654743617,290.5879635612307
2004-06-01 01:00:00,296.9949548564705,296.9949548564705,286.35158272070373,0.23928712654743617,290.67290328189654
2004-06-01 01:05:00,296.8938510120942,296.8938510120942,286.0703460162599,0.23928712654743617,290.6218632323006
2004-06-01 01:10:00,296.80503103295916,296.80503103295916,285.83411281851284,0.23928712654743617,290.58156602764063
2004-06-01 01:15:00,296.7201566355432,296.7201566355432,285.64749165643786,0.23928712654743617,290.41282718628264
2004-06-01 01:20:00,296.63748226795315,296.63748226795315,285.50841769632757,0.23928712654743617,290.36530814289375
2004-06-01 01:25:00,296.55312054967965,296.55312054967965,285.41329143025854,0.23928712654743617,290.25846338178224
2004-06-01 01:30:00,296.47139237442616,296.47139237442616,285.35525979604415,0.23928712654743617,290.2474020639711
2004-06-01 01:35:00,296.392087690352,296.392087690352,285.330723936849,0.23928712654743617,290.1525432644894
2004-06-01 01:40:00,296.3173688745686,296.3173688745686,285.3340166304798,0.23928712654743617,290.14412177574746
2004-06-01 01:45:00,296.2453200741787,296.2453200741786,285.36125960002846,0.23928712654743617,290.0522300364822
2004-06-01 01:50:00,296.177028357349,296.17702835734895,285.40855845711474,0.23928712654743617,290.0497744978373
2004-06-01 01:55:00,296.1108446209175,296.1108446209174,285.4732708498007,0.05982178163685904,289.96319179504167
2004-06-01 02:00:00,296.048129329115,296.048129329115,285.552762214127,0.05982178163685904,289.9673001373306
2004-06-01 02:05:00,295.9872533161476,295.9872533161476,285.6452545232081,0.05982178163685904,289.90288481768096
