,s_wall_Text_K,n_wall_Text_K
2004-06-01 00:00:00,300.0,300.0
2004-06-01 00:05:00,299.8712167463161,299.8712167463161
2004-06-01 00:10:00,299.5714604357822,299.5714604357822
2004-06-01 00:15:00,299.0427059493473,299.0427059493473
2004-06-01 00:20:00,298.5659187746965,298.5659187746965
2004-06-01 00:25:00,298.2018056982415,298.2018056982415
2004-06-01 00:30:00,297.93590564849706,297.93590564849706
2004-06-01 00:35:00,297.7181966586489,297.7181966586489
2004-06-01 00:40:00,297.5358598865985,297.5358598865985
2004-06-01 00:45:00,297.3742278769255,297.3742278769255
2004-06-01 00:50:00,297.2330777919705,297.2330777919705
2004-06-01 00:55:00,297.10665747017595,297.10665747017595
2004-06-01 01:00:00,296.9949548564705,296.9949548564705
2004-06-01 01:05:00,296.8938510120942,296.8938510120942
2004-06-01 01:10:00,296.80503103295916,296.80503103295916
2004-06-01 01:15:00,296.7201566355432,296.7201566355432
2004-06-01 01:20:00,296.63748226795315,296.63748226795315
2004-06-01 01:25:00,296.55312054967965,296.55312054967965
2004-06-01 01:30:00,296.47139237442616,296.47139237442616
2004-06-01 01:35:00,296.392087690352,296.392087690352
2004-06-01 01:40:00,296.3173688745686,296.3173688745686
2004-06-01 01:45:00,296.2453200741787,296.2453200741786
2004-06-01 01:50:00,296.177028357349,296.17702835734895
2004-06-01 01:55:00,296.1108446209175,296.1108446209174
2004-06-01 02:00:00,296.048129329115,296.048129329115
2004-06-01 02:05:00,295.9872533161476,295.9872533161476
2004-06-01 02:10:00,295.9277521748694,295.9277521748694
2004-06-01 02:15:00,295.8692434126904,295.8692434126904
2004-06-01 02:20:00,295.8140318795117,295.8140318795117
2004-06-01 02:25:00,295.76061017206894,295.76061017206894
2004-06-01 02:30:00,295.7097445974888,295.7097445974888
2004-06-01 02:35:00,295.6594464822074,295.6594464822074
2004-06-01 02:40:00,295.6111240759626,295.6111240759626
2004-06-01 02:45:00,295.5631731886485,295.5631731886485
2004-06-01 02:50:00,295.5171280913652,295.5171280913652
2004-06-01 02:55:00,295.4714398209551,295.4714398209551
2004-06-01 03:00:00,295.42766358263356,295.4276635826335
2004-06-01 03:05:00,295.38418621116716,295.3841862111671
2004-06-01 03:10:00,295.34138887116535,295.34138887116524
2004-06-01 03:15:00,295.2982956975259,295.2982956975258
2004-06-01 03:20:00,295.2572776705327,295.2572776705327
2004-06-01 03:25:00,295.21691628257093,295.216916282571
2004-06-01 03:30:00,295.17834851668454,295.17834851668454
2004-06-01 03:35:00,295.1396233054837,295.1396233054837
2004-06-01 03:40:00,295.1023417407838,295.10234174078374
2004-06-01 03:45:00,295.06488438431813,295.064884384318
2004-06-01 03:50:00,295.02895314938155,295.02895314938144
2004-06-01 03:55:00,294.99301879562404,294.9930187956239
2004-06-01 04:00:00,294.9586020158065,294.95860201580643
2004-06-01 04:05:00,294.9240160159871,294.92401601598704
2004-06-01 04:10:00,294.893077045422,294.89307704542193
2004-06-01 04:15:00,294.8610416622629,294.86104166226283
2004-06-01 04:20:00,294.82686590944,294.8268659094399
2004-06-01 04:25:00,294.78894464320666,294.78894464320655
2004-06-01 04:30:00,294.7510308212481,294.751030821248
2004-06-01 04:35:00,294.7130012359497,294.7130012359495
2004-06-01 04:40:00,294.67696281241086,294.67696281241064
2004-06-01 04:45:00,294.6408554657867,294.6408554657865
2004-06-01 04:50:00,294.6061109696987,294.60611096969853
2004-06-01 04:55:00,294.5709445685745,294.57094456857436
2004-06-01 05:00:00,294.53703283352695,294.5370328335268
2004-06-01 05:05:00,294.50286157189163,294.50286157189146
2004-06-01 05:10:00,294.47331573807503,294.47331573807486
2004-06-01 05:15:00,294.4455705863136,294.44557058631347
2004-06-01 05:20:00,294.41961871001956,294.41961871001945
2004-06-01 05:25:00,294.3935106733182,294.39351067331813
2004-06-01 05:30:00,294.36922416105295,294.36922416105284
2004-06-01 05:35:00,294.33327154433124,294.3332715443311
2004-06-01 05:40:00,294.31019997585224,294.31019997585213
2004-06-01 05:45:00,294.2630559593717,294.26305595937157
2004-06-01 05:50:00,294.23207623962224,294.23207623962213
2004-06-01 05:55:00,294.1863823123409,294.18638231234087
2004-06-01 06:00:00,294.15998360756475,294.15998360756475
2004-06-01 06:05:00,294.12278642839385,294.12278642839385
2004-06-01 06:10:00,294.11454734226527,294.1131113386523
2004-06-01 06:15:00,294.09599157579436,294.0921476622266
2004-06-01 06:20:00,294.09764619996525,294.09073288686386
2004-06-01 06:25:00,294.0921229593722,294.08170996858155
2004-06-01 06:30:00,294.1111680641125,294.0969504458291
2004-06-01 06:35:00,294.1199101329214,294.1018687407846
2004-06-01 06:40:00,294.14709989241607,294.1253343966777
2004-06-01 06:45:00,294.1626972585458,294.1374262863114
2004-06-01 06:50:00,294.195072482614,294.1664800748525
2004-06-01 06:55:00,294.21506856118566,294.1834507680343
2004-06-01 07:00:00,294.25038996304477,294.21597430655777
2004-06-01 07:05:00,294.27358435122164,294.2367088816859
2004-06-01 07:10:00,294.314786700442,294.27272390061574
2004-06-01 07:15:00,294.3464112368024,294.29775472464866
2004-06-01 07:20:00,294.39598153836744,294.3400473819732
2004-06-01 07:25:00,294.437372427972,294.3741821512909
2004-06-01 07:30:00,294.4944959085127,294.4243475422017
2004-06-01 07:35:00,294.5414573187146,294.4650763504549
2004-06-01 07:40:00,294.6024949083316,294.52066776280486
2004-06-01 07:45:00,294.6526419792229,294.5664516533693
2004-06-01 07:50:00,294.7152574464927,294.62574700509185
2004-06-01 07:55:00,294.76666347776927,294.67510254269854
2004-06-01 08:00:00,294.82981461622506,294.737389311798
2004-06-01 08:05:00,294.8812239387978,294.7902263532432
2004-06-01 08:10:00,294.9428663767391,294.85678702643605
2004-06-01 08:15:00,294.99348615709744,294.91477197164426
2004-06-01 08:20:00,295.05800377027646,294.98818987633183
2004-06-01 08:25:00,295.1134326184598,295.0535826237086
2004-06-01 08:30:00,295.18589508130947,295.1332837672111
2004-06-01 08:35:00,295.25548666742435,295.2052084120994
2004-06-01 08:40:00,295.34206975098806,295.2907792962212
2004-06-01 08:45:00,295.4225515912771,295.36805386599974
2004-06-01 08:50:00,295.51679934638213,295.4576208427955
2004-06-01 08:55:00,295.6046515018321,295.5398930231888
2004-06-01 09:00:00,295.70425768716365,295.6337408980602
2004-06-01 09:05:00,295.7962550692136,295.7202638402265
2004-06-01 09:10:00,295.89549800563583,295.81171750098076
2004-06-01 09:15:00,295.985960201151,295.8923988091983
2004-06-01 09:20:00,296.08795099872964,295.9827389844375
2004-06-01 09:25:00,296.1837355074659,296.065197853317
2004-06-01 09:30:00,296.29007930728767,296.1565589906953
2004-06-01 09:35:00,296.3894249628813,296.23940593165656
2004-06-01 09:40:00,296.49861139036256,296.33053620192464
2004-06-01 09:45:00,296.60188494067353,296.414321424396
2004-06-01 09:50:00,296.7140011372555,296.5054450186844
2004-06-01 09:55:00,296.8203670703249,296.5894441252782
2004-06-01 10:00:00,296.93464423694894,296.679877073396
2004-06-01 10:05:00,297.04382095653943,296.7638761663111
2004-06-01 10:10:00,297.1566933500115,296.853541634582
2004-06-01 10:15:00,297.26062160624207,296.9356515797543
2004-06-01 10:20:00,297.36450707793534,297.0185748219429
2004-06-01 10:25:00,297.45981109749783,297.09353718640455
2004-06-01 10:30:00,297.5570167488269,297.17073599127264
2004-06-01 10:35:00,297.64828958002397,297.2422763000871
2004-06-01 10:40:00,297.74334553400416,297.31769517496497
2004-06-01 10:45:00,297.8333443923185,297.38817394827214
2004-06-01 10:50:00,297.92742301573634,297.4627098204952
2004-06-01 10:55:00,298.01698903304265,297.5327734751165
