Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),WaterSystems:NaturalGas [J](Hourly) 
 06/09  01:00:00,71675579.2424902,0.0,0.0,14886432.881686116,23169600.0,25966257.157511864,7653289.203161368,0.00013082115374323194,203855232.8233978,200374339.92646897,3480892.8969288124 
 06/09  02:00:00,69981792.82769936,0.0,0.0,14886432.881686116,23169600.0,24906552.848896295,7019207.097084228,0.000032705039947244805,183724919.08675495,182065454.6029476,1659464.4838073687 
 06/09  03:00:00,69632203.67515455,0.0,0.0,14886432.881686116,23169600.0,24376700.694588523,7199470.098847237,0.00003270499019718212,188763419.9246042,187103956.36438808,1659463.5602161272 
 06/09  04:00:00,76963720.27918209,0.0,0.0,19471919.183650862,23169600.0,27266590.80447863,7055610.2909218,0.00013081970985792153,186618790.60035843,183137864.09485325,3480926.505505183 
 06/09  05:00:00,73638201.27172479,0.0,0.0,27381883.054540057,3861600.0,35695631.795797795,6699086.420503916,0.0008830318312539424,191043621.973342,173598159.76047564,17445462.212866332 
 06/09  06:00:00,88433791.13130312,0.0,0.0,29139652.803626556,0.0,53083565.932743855,6210572.391858456,0.003074258780201519,218986121.3394282,160861353.24842566,58124768.09100253 
 06/09  07:00:00,97973200.62445153,0.0,0.0,27343670.668690365,0.0,64691719.84990964,5937810.102581039,0.0032704880640418298,215380685.43235806,153612994.33722693,61767691.09513111 
 06/09  08:00:00,90126292.9727031,0.0,0.0,18898733.395905286,0.0,65221572.0042175,6005987.56944066,0.0031396685414801554,214346786.71002752,155007710.95100936,59339075.759018175 
 06/09  09:00:00,79741918.20691463,0.0,0.0,16873476.945870843,0.0,57081753.82885495,5786687.429441708,0.0027472099737951353,200936695.02158883,148883465.2709095,52053229.75067935 
 06/09  10:00:00,69074562.31774455,0.0,0.0,16873476.945870843,0.0,46581897.69790999,5619187.671478142,0.002485570928671791,191501057.25752285,144305058.1790693,47195999.07845351 
 06/09  11:00:00,69846208.748872,0.0,0.0,16873476.945870843,0.0,47111749.85221782,5860981.948788342,0.001994997719065516,189309445.82232863,151220754.2542987,38088691.568029955 
 06/09  12:00:00,69426459.12228759,0.0,0.0,16873476.945870843,0.0,46581897.69790999,5971084.476773402,0.0017333586739421705,188067166.58336228,154835705.6875582,33231460.89580412 
 06/09  13:00:00,67706615.53312355,0.0,0.0,16873476.945870843,0.0,44992341.23498666,5840797.350728897,0.0015371293900996606,180873995.66909042,151285457.77745575,29588537.89163472 
 06/09  14:00:00,67425220.08334902,0.0,0.0,16873476.945870843,0.0,44462489.08067886,6089254.055458424,0.00134090010625715,183956034.9007341,158010420.01326883,25945614.887465283 
 06/09  15:00:00,72612094.05951698,0.0,0.0,20197954.514795292,0.0,46052045.54360223,6362093.999582362,0.0015371293900996606,195377332.88213757,165788794.9905028,29588537.89163472 
 06/09  16:00:00,99212194.59590037,0.0,0.0,29101440.417776853,0.0,63969831.834856056,6140922.341468697,0.0017987684352230064,194540934.84795612,160095166.2840955,34445768.56386057 
