last_time_in_seconds,curr_sim_time_in_seconds,coordination.ep_accumulated_waste_heat
300.0,300.0,900857.5088966032
600.0,600.0,914069.469263072
900.0,900.0,924016.2773286458
1200.0,1200.0,934053.2507573412
1499.9999999999998,1499.9999999999998,944015.1128233613
1800.0,1800.0,953904.7418555126
2099.9999999999995,2099.9999999999995,963732.5432674314
2400.0,2400.0,973460.9596557632
2700.0,2700.0,983127.7089463326
2999.9999999999995,2999.9999999999995,992695.4350884741
3300.0,3300.0,1002188.1599373989
3600.0,3600.0,1011644.7446527872
3899.9999999999995,3899.9999999999995,1022886.4216192372
4200.0,4200.0,1030672.3930140142
4500.0,4500.0,1035882.4107677056
4800.0,4800.0,1040973.4722049757
5099.999999999999,5099.999999999999,1045919.5128433288
5400.0,5400.0,1050827.797683928
5700.0,5700.0,1055626.7591759516
5999.999999999999,5999.999999999999,1060328.4352228846
6300.0,6300.0,1064936.9841938384
6600.0,6600.0,1069507.3774725606
6899.999999999999,6899.999999999999,1074006.0219243192
7200.0,7200.0,1078427.9159524576
7500.000000000001,7500.000000000001,1085956.1114787683
7799.999999999999,7799.999999999999,1090596.658148499
8100.0,8100.0,1095136.870592367
8400.0,8400.0,1099625.0000369065
8700.0,8700.0,1104080.386284201
9000.0,9000.0,1108487.1441051
9299.999999999998,9299.999999999998,1112848.0136536711
9600.0,9600.0,1117166.4175103665
9900.0,9900.0,1121433.4581145062
10199.999999999998,10199.999999999998,1125631.7536804264
10500.0,10500.0,1129802.5852761734
10800.0,10800.0,1133939.8655349733
11100.0,11100.0,1129464.4259655722
11400.0,11400.0,1128286.1364564318
11700.0,11700.0,1130143.0228715986
12000.0,12000.0,1132122.503857385
12300.0,12300.0,1134141.2826259462
12600.0,12600.0,1136186.8777548017
12899.999999999998,12899.999999999998,1138257.8332144357
13200.0,13200.0,1140335.549542306
13500.0,13500.0,1142405.4037456799
13799.999999999998,13799.999999999998,1144502.8580916056
14100.0,14100.0,1146619.9858703588
14400.0,14400.0,1148735.5179710658
14699.999999999998,14699.999999999998,1130967.518349193
15000.000000000002,15000.000000000002,1118914.1721979494
15300.0,15300.0,1126716.328178917
15599.999999999998,15599.999999999998,1134784.0902129808
15900.000000000002,15900.000000000002,1143004.5125496048
16200.0,16200.0,1151364.4371371227
16500.0,16500.0,1159836.1290699714
16800.0,16800.0,1167382.5688068098
17100.0,17100.0,1176163.4109846395
17400.0,17400.0,1184774.3612183128
17700.0,17700.0,1193379.155798811
18000.0,18000.0,1202000.8657199156
18300.0,18300.0,1156214.26512067
18600.0,18600.0,1095580.0890748142
18900.0,18900.0,1089622.0897538047
19200.0,19200.0,1083761.9471245785
19500.0,19500.0,1077941.6657082902
19800.0,19800.0,1072157.289697742
20100.0,20100.0,1065631.1883762577
20400.0,20400.0,1058921.6108970635
20700.0,20700.0,1052099.5413796757
21000.0,21000.0,1045233.2352421999
21300.0,21300.0,1038332.0288701552
21600.0,21600.0,1031384.1799303862
21900.0,21900.0,1011391.0775554228
22200.0,22200.0,990026.2004006077
22500.0,22500.0,973473.5591150466
22800.0,22800.0,956790.3109910905
23100.0,23100.0,939925.7133248965
23400.0,23400.0,923084.4068050965
23700.0,23700.0,908405.5171827716
24000.0,24000.0,893795.7171320663
24300.0,24300.0,879432.4562704959
24600.0,24600.0,865060.4164690757
24900.0,24900.0,851271.0814904592
25200.0,25200.0,837426.303599922
25500.0,25500.0,916416.8154540559
25800.0,25800.0,921131.7304856174
26100.0,26100.0,918139.792557933
26400.0,26400.0,914741.5556852506
26700.0,26700.0,911136.1047709276
27000.0,27000.0,907287.8180032722
27300.0,27300.0,902589.7894263053
27600.0,27600.0,897631.3093729675
