Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),WaterSystems:NaturalGas [J](Hourly) 
 06/09  01:00:00,66292160.08934987,0.0,0.0,14886432.881686116,23169600.0,25966257.157511864,2269870.050021044,0.00013082115374323194,60974926.11711937,57494033.220190555,3480892.8969288124 
 06/09  02:00:00,65449179.87665877,0.0,0.0,14886432.881686116,23169600.0,24906552.8488963,2486594.1460436396,0.000032705039947244805,64814183.9040873,63154719.420279935,1659464.4838073687 
 06/09  03:00:00,65052635.83644283,0.0,0.0,14886432.881686116,23169600.0,24376700.694588516,2619902.260135493,0.00003270499019718212,68287117.14435688,66627653.58414074,1659463.5602161272 
 06/09  04:00:00,72591207.62947008,0.0,0.0,19471919.183650862,23169600.0,27266590.80447861,2683097.64120979,0.00013081970985792153,71740700.2182153,68259773.71271013,3480926.505505183 
 06/09  05:00:00,79319800.5874517,0.0,0.0,27381883.054540064,13515600.0,35695631.79579779,2726685.736230805,0.0008830318312539424,86895953.2117911,69450490.99892476,17445462.212866332 
 06/09  06:00:00,84755376.53250669,0.0,0.0,29139652.803626563,0.0,53083565.932743855,2532157.7930620294,0.003074258780201519,122462567.1293078,64337799.03830527,58124768.09100253 
 06/09  07:00:00,94221301.78508359,0.0,0.0,27343670.668690365,0.0,64691719.84990964,2185911.2632131022,0.0032704880640418298,116920662.59560701,55152971.5004759,61767691.09513111 
 06/09  08:00:00,86270164.48687035,0.0,0.0,18898733.39590529,0.0,65221572.0042175,2149859.0836078674,0.0031396685414801554,113476788.56706779,54137712.80804963,59339075.759018175 
 06/09  09:00:00,76034422.53221631,0.0,0.0,16873476.945870843,0.0,57081753.82885495,2079191.7547433653,0.0027472099737951353,104332403.5875318,52279173.836852446,52053229.75067935 
 06/09  10:00:00,65292714.915341005,0.0,0.0,16873476.945870843,0.0,46581897.69790999,1837340.2690746132,0.002485570928671791,93179219.75630914,45983220.67785561,47195999.07845351 
 06/09  11:00:00,65479765.96264093,0.0,0.0,16873476.945870843,0.0,47111749.852217786,1494539.1625572708,0.001994997719065516,75257983.02605404,37169291.45802407,38088691.568029955 
 06/09  12:00:00,64421122.7718599,0.0,0.0,16873476.945870843,0.0,46581897.69790999,965748.1263457094,0.0017333586739421705,57044132.20392274,23812671.30811862,33231460.89580412 
 06/09  13:00:00,62276704.64347159,0.0,0.0,16873476.945870843,0.0,44992341.23498666,410886.46107694245,0.0015371293900996606,39631878.83435701,10043340.942722294,29588537.89163472 
 06/09  14:00:00,61472149.72826672,0.0,54882.83081370162,16873476.945870843,0.0,44462489.08067886,81300.86956242763,0.00134090010625715,27562622.77943632,1617007.8919710277,25945614.887465283 
 06/09  15:00:00,67185508.6084327,0.0,736720.1381072185,20197954.514795292,0.0,46052045.54360223,198788.41039085164,0.0015371293900996606,29598236.30062692,9698.408992199069,29588537.89163472 
 06/09  16:00:00,93825401.17972223,0.0,589535.5296408366,29101440.417776857,0.0,63969831.834856056,164593.39564969638,0.0017987684352230064,34523762.56208738,77993.9982268071,34445768.56386057 
 06/09  17:00:00,120009686.84306167,0.0,707557.6643535611,35865032.71317486,0.0,83236545.25068206,200551.2124637619,0.002387456286750535,45442061.7777325,67524.20136372143,45374537.57636879 
 06/09  18:00:00,128414820.39457771,0.0,913523.7516537098,44004270.89916226,0.0,83236545.25068206,260480.490267116,0.0028126197350759746,53360603.93134451,93066.51260865002,53267537.41873587 
 06/09  19:00:00,124881504.64039402,0.0,850641.265673945,50003615.47756619,0.0,73747799.95074739,279447.9437246877,0.0026818002125143,51802632.13957314,963710.0569502453,50838922.08262289 
 06/09  20:00:00,123075280.69979346,0.0,564193.9497483175,50538588.879462026,0.0,71628391.33351626,344106.53461399203,0.002452866048031372,51103516.785094425,4514671.540669176,46588845.244425245 
 06/09  21:00:00,120643887.25952807,0.0,137340.32346688263,38769174.03775253,17377200.0,63729202.49650488,630970.3998088025,0.001994997719065516,52759847.307973035,14671155.739943076,38088691.568029955 
 06/09  22:00:00,101837624.65121816,0.0,0.0,26999759.19604302,23169600.0,50531492.11641569,1136773.337026115,0.0017333586739421705,61657651.26326378,28426190.367459647,33231460.89580412 
 06/09  23:00:00,81072992.27636579,0.0,0.0,18440184.765708826,23169600.0,37863633.89063428,1599573.6190742513,0.000948441538572131,58844278.138803475,40184509.25967698,18659768.879126493 
 06/09  24:00:00,68145761.10715523,0.0,0.0,14886432.881686116,23169600.0,28085665.774742994,2004062.4504644885,0.00026163904512334634,56495801.432624795,50586263.06809121,5909538.36453357 
 06/10  01:00:00,66393898.22555546,0.0,0.0,14886432.881686116,23169600.0,25966257.157511864,2371608.186226721,0.00013073212804738565,63582186.017386094,60104197.578658685,3477988.438727416 
 06/10  02:00:00,65607222.37235302,0.0,0.0,14886432.881686116,23169600.0,24906552.8488963,2644636.641737908,0.000032683128681492076,68885175.69671255,67226672.1199177,1658503.5767948625 
 06/10  03:00:00,65397191.86930222,0.0,0.0,14886432.881686116,23169600.0,24376700.694588516,2964458.292994908,0.00003268314566678299,77356286.90763925,75697822.74154772,1658464.166091528 
 06/10  04:00:00,73114555.61274411,0.0,0.0,19471919.183650862,23169600.0,27266590.80447861,3206445.6244839104,0.0001307326683748404,85647904.65972388,82171169.93827999,3476734.7214438855 
 06/10  05:00:00,79792438.06952439,0.0,0.0,27381883.054540064,13515600.0,35695631.79579779,3199323.2183040814,0.0008824459252663708,99481942.1648958,82065712.00935595,17416230.155539867 
 06/10  06:00:00,85294105.2748636,0.0,0.0,29139652.803626563,0.0,53083565.932743855,3070886.535420972,0.0030722192115334663,136721517.97669464,78698666.48086512,58022851.49582952 
 06/10  07:00:00,95725443.62114069,0.0,0.0,27343670.668690365,0.0,65388425.55466861,2993347.3945134673,0.0032683183101427904,138268590.54287496,76609321.35932906,61659269.183545925 
 06/10  08:00:00,96287648.47331452,0.0,0.0,23919589.28191093,0.0,67967412.13473806,4400647.05352797,0.003137585577737081,140625540.8383191,81390550.1144227,59234990.72389644 
