**ACTUATORS**
Actuator,Material,Surface Property Thermal Absorptance,HW CONCRETE;
Actuator,Material,Surface Property Visible Absorptance,HW CONCRETE;
Actuator,Material,Surface Property Solar Absorptance,ROOF MEMBRANE;
Actuator,Material,Surface Property Thermal Absorptance,ROOF MEMBRANE;
Actuator,Material,Surface Property Visible Absorptance,ROOF MEMBRANE;
Actuator,Material,Surface Property Solar Absorptance,METAL DECKING;
Actuator,Material,Surface Property Thermal Absorptance,METAL DECKING;
Actuator,Material,Surface Property Visible Absorptance,METAL DECKING;
Actuator,Material,Surface Property Solar Absorptance,METAL ROOFING;
Actuator,Material,Surface Property Thermal Absorptance,METAL ROOFING;
Actuator,Material,Surface Property Visible Absorptance,METAL ROOFING;
Actuator,Material,Surface Property Solar Absorptance,MAT-CC05 4 HW CONCRETE;
Actuator,Material,Surface Property Thermal Absorptance,MAT-CC05 4 HW CONCRETE;
Actuator,Material,Surface Property Visible Absorptance,MAT-CC05 4 HW CONCRETE;
Actuator,Material,Surface Property Solar Absorptance,STD AC02;
Actuator,Material,Surface Property Thermal Absorptance,STD AC02;
Actuator,Material,Surface Property Visible Absorptance,STD AC02;
Actuator,Material,Surface Property Solar Absorptance,CP02 CARPET PAD;
Actuator,Material,Surface Property Thermal Absorptance,CP02 CARPET PAD;
Actuator,Material,Surface Property Visible Absorptance,CP02 CARPET PAD;
Actuator,Material,Surface Property Solar Absorptance,MAT-AIR-WALL;
Actuator,Material,Surface Property Thermal Absorptance,MAT-AIR-WALL;
Actuator,Material,Surface Property Visible Absorptance,MAT-AIR-WALL;
Actuator,People,Number of People,CORE_BOTTOM PEOPLE;
Actuator,People,Number of People,CORE_MID PEOPLE;
Actuator,People,Number of People,CORE_TOP PEOPLE;
Actuator,People,Number of People,PERIMETER_BOT_ZN_1 PEOPLE;
Actuator,People,Number of People,PERIMETER_BOT_ZN_2 PEOPLE;
Actuator,People,Number of People,PERIMETER_BOT_ZN_3 PEOPLE;
Actuator,People,Number of People,PERIMETER_BOT_ZN_4 PEOPLE;
Actuator,People,Number of People,PERIMETER_MID_ZN_1 PEOPLE;
Actuator,People,Number of People,PERIMETER_MID_ZN_2 PEOPLE;
Actuator,People,Number of People,PERIMETER_MID_ZN_3 PEOPLE;
Actuator,People,Number of People,PERIMETER_MID_ZN_4 PEOPLE;
Actuator,People,Number of People,PERIMETER_TOP_ZN_1 PEOPLE;
Actuator,People,Number of People,PERIMETER_TOP_ZN_2 PEOPLE;
Actuator,People,Number of People,PERIMETER_TOP_ZN_3 PEOPLE;
Actuator,People,Number of People,PERIMETER_TOP_ZN_4 PEOPLE;
Actuator,Lights,Electricity Rate,CORE_BOTTOM_LIGHTS;
Actuator,Lights,Electricity Rate,CORE_MID_LIGHTS;
Actuator,Lights,Electricity Rate,CORE_TOP_LIGHTS;
Actuator,Lights,Electricity Rate,PERIMETER_BOT_ZN_1_LIGHTS;
Actuator,Lights,Electricity Rate,PERIMETER_BOT_ZN_2_LIGHTS;
Actuator,Lights,Electricity Rate,PERIMETER_BOT_ZN_3_LIGHTS;
Actuator,Lights,Electricity Rate,PERIMETER_BOT_ZN_4_LIGHTS;
Actuator,Lights,Electricity Rate,PERIMETER_MID_ZN_1_LIGHTS;
Actuator,Lights,Electricity Rate,PERIMETER_MID_ZN_2_LIGHTS;
Actuator,Lights,Electricity Rate,PERIMETER_MID_ZN_3_LIGHTS;
Actuator,Lights,Electricity Rate,PERIMETER_MID_ZN_4_LIGHTS;
Actuator,Lights,Electricity Rate,PERIMETER_TOP_ZN_1_LIGHTS;
Actuator,Lights,Electricity Rate,PERIMETER_TOP_ZN_2_LIGHTS;
Actuator,Lights,Electricity Rate,PERIMETER_TOP_ZN_3_LIGHTS;
Actuator,Lights,Electricity Rate,PERIMETER_TOP_ZN_4_LIGHTS;
Actuator,ElectricEquipment,Electricity Rate,CORE_BOTTOM_PLUGMISC_EQUIP;
Actuator,ElectricEquipment,Electricity Rate,CORE_MID_PLUGMISC_EQUIP;
Actuator,ElectricEquipment,Electricity Rate,CORE_TOP_PLUGMISC_EQUIP;
Actuator,ElectricEquipment,Electricity Rate,PERIMETER_BOT_ZN_1_PLUGMISC_EQUIP;
Actuator,ElectricEquipment,Electricity Rate,PERIMETER_BOT_ZN_2_PLUGMISC_EQUIP;
Actuator,ElectricEquipment,Electricity Rate,PERIMETER_BOT_ZN_3_PLUGMISC_EQUIP;
Actuator,ElectricEquipment,Electricity Rate,PERIMETER_BOT_ZN_4_PLUGMISC_EQUIP;
Actuator,ElectricEquipment,Electricity Rate,PERIMETER_MID_ZN_1_PLUGMISC_EQUIP;
Actuator,ElectricEquipment,Electricity Rate,PERIMETER_MID_ZN_2_PLUGMISC_EQUIP;
Actuator,ElectricEquipment,Electricity Rate,PERIMETER_MID_ZN_3_PLUGMISC_EQUIP;
Actuator,ElectricEquipment,Electricity Rate,PERIMETER_MID_ZN_4_PLUGMISC_EQUIP;
Actuator,ElectricEquipment,Electricity Rate,PERIMETER_TOP_ZN_1_PLUGMISC_EQUIP;
Actuator,ElectricEquipment,Electricity Rate,PERIMETER_TOP_ZN_2_PLUGMISC_EQUIP;
Actuator,ElectricEquipment,Electricity Rate,PERIMETER_TOP_ZN_3_PLUGMISC_EQUIP;
Actuator,ElectricEquipment,Electricity Rate,PERIMETER_TOP_ZN_4_PLUGMISC_EQUIP;
Actuator,ElectricEquipment,Electricity Rate,CORE_BOTTOM_ELEVATORS_EQUIP;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_BOT_ZN_5_WALL_EAST;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_BOT_ZN_5_WALL_EAST;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_BOT_ZN_5_WALL_NORTH;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_BOT_ZN_5_WALL_NORTH;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_BOT_ZN_5_WALL_SOUTH;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_BOT_ZN_5_WALL_SOUTH;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_BOT_ZN_5_WALL_WEST;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_BOT_ZN_5_WALL_WEST;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_BOT_ZN_5_FLOOR;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_BOT_ZN_5_FLOOR;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_BOTTOM_CEILING;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_BOTTOM_CEILING;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_BOTTOM INTERNAL MASS;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_BOTTOM INTERNAL MASS;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_MID_ZN_5_WALL_EAST;
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,CORE_MID_ZN_5_WALL_EAST;
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,CORE_MID_ZN_5_WALL_NORTH;
