cur_datetime,WallshadeT,WalllitT,RoofT,canTemp,senWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19]
2004-06-01 00:05:00,293.250,291.976,291.316,290.814,0.000,287.334,99731.472,288.671,100089.704,
2004-06-01 00:10:00,293.166,291.888,291.161,289.755,0.000,287.334,99729.111,288.272,100089.919,
2004-06-01 00:15:00,293.207,291.940,291.329,290.231,0.000,287.334,99726.750,288.336,100089.879,
2004-06-01 00:20:00,293.250,291.993,291.499,290.731,0.000,287.334,99724.389,288.417,100089.817,
2004-06-01 00:25:00,293.222,291.972,291.397,290.698,0.000,287.334,99722.028,288.441,100089.785,
2004-06-01 00:30:00,293.216,291.973,291.311,290.768,0.000,287.334,99719.667,288.466,100089.745,
2004-06-01 00:35:00,293.175,291.939,291.194,290.669,0.000,287.333,99717.306,288.481,100089.713,
2004-06-01 00:40:00,293.166,291.936,291.103,290.728,0.000,287.333,99714.944,288.520,100089.660,
2004-06-01 00:45:00,293.137,291.913,291.007,290.689,0.000,287.333,99712.583,288.556,100089.608,
2004-06-01 00:50:00,293.129,291.910,290.928,290.765,0.000,287.333,99710.222,288.612,100089.536,
2004-06-01 00:55:00,293.107,291.892,290.835,290.756,0.000,287.333,99707.861,288.667,100089.462,
2004-06-01 01:00:00,293.108,291.899,290.785,290.845,0.000,287.333,99705.500,288.742,100089.366,
2004-06-01 01:05:00,293.085,291.882,290.715,290.790,0.000,287.342,99703.931,288.716,100089.421,
2004-06-01 01:10:00,293.065,291.868,290.649,290.753,0.000,287.351,99702.361,288.651,100089.498,
2004-06-01 01:15:00,293.018,291.828,290.560,290.575,0.000,287.360,99700.792,288.569,100089.584,
2004-06-01 01:20:00,292.996,291.812,290.493,290.531,0.000,287.369,99699.222,288.509,100089.654,
2004-06-01 01:25:00,292.958,291.780,290.418,290.418,0.000,287.378,99697.653,288.450,100089.723,
2004-06-01 01:30:00,292.940,291.767,290.358,290.411,0.000,287.387,99696.083,288.405,100089.780,
2004-06-01 01:35:00,292.905,291.738,290.284,290.310,0.000,287.396,99694.514,288.354,100089.841,
2004-06-01 01:40:00,292.886,291.724,290.224,290.306,0.000,287.405,99692.944,288.314,100089.892,
2004-06-01 01:45:00,292.852,291.696,290.154,290.208,0.000,287.414,99691.375,288.267,100089.947,
2004-06-01 01:50:00,292.836,291.684,290.097,290.210,0.000,287.423,99689.806,288.232,100089.993,
2004-06-01 01:55:00,292.803,291.657,290.028,290.118,0.000,287.432,99688.236,288.190,100090.041,
2004-06-01 02:00:00,292.791,291.651,289.997,290.127,0.000,287.441,99686.667,288.159,100090.081,
2004-06-01 02:05:00,292.766,291.633,289.962,290.057,0.000,287.444,99685.875,288.148,100090.084,
2004-06-01 02:10:00,292.762,291.634,289.941,290.109,0.000,287.446,99685.083,288.158,100090.074,
2004-06-01 02:15:00,292.743,291.623,289.909,290.060,0.000,287.448,99684.292,288.162,100090.068,
2004-06-01 02:20:00,292.741,291.626,289.888,290.110,0.000,287.450,99683.500,288.171,100090.060,
2004-06-01 02:25:00,292.722,291.614,289.868,290.045,0.000,287.453,99682.708,288.169,100090.057,
2004-06-01 02:30:00,292.722,291.619,289.861,290.090,0.000,287.455,99681.917,288.176,100090.050,
2004-06-01 02:35:00,292.704,291.608,289.841,290.024,0.000,287.457,99681.125,288.174,100090.047,
2004-06-01 02:40:00,292.705,291.615,289.835,290.072,0.000,287.460,99680.333,288.181,100090.041,
2004-06-01 02:45:00,292.689,291.606,289.826,290.006,0.000,287.462,99679.542,288.178,100090.038,
2004-06-01 02:50:00,292.692,291.614,289.831,290.057,0.000,287.464,99678.750,288.186,100090.031,
2004-06-01 02:55:00,292.676,291.606,289.822,289.990,0.000,287.466,99677.958,288.183,100090.029,
2004-06-01 03:00:00,292.672,291.607,289.803,290.043,0.000,287.469,99677.167,288.191,100090.023,
2004-06-01 03:05:00,292.650,291.591,289.778,289.988,0.000,287.468,99678.042,288.207,100089.992,
2004-06-01 03:10:00,292.651,291.597,289.770,290.068,0.000,287.467,99678.917,288.241,100089.952,
