,tpr_air2m_c13_cal_%60'_celsius,pre_air_c13_cal_%60'_hPa,'hum_relcapa_c13_cal_%60'_percent,prp_intensrr_c13_cal_%60'_millimeter/hour,'ven_ddmoy_c13_cal_%60'_degre,ven_ffmoy_c13_cal_%60'_m/s,flx_rvd_c13_cal_%60'_watt/m2,flx_rvm_c13_cal_%60'_watt/m2,flx_ird_c13_%60'_watt/m2,flx_irm_c13_%60'_watt/m2
1/2/2004 13:00,7.142666667,988.8733333,76.15,0,310.45,5.686666667,126.4916667,22.406,320.9281667,345.5145
1/2/2004 14:00,6.219166667,988.9866667,82.8,0.9,313.9666667,4.826666667,37.10583333,5.7615,325.0021667,343.9635
1/2/2004 15:00,6.3865,989.405,81.1,0,310.6,4.79,51.36016667,8.920166667,314.1243333,342.8086667
1/2/2004 16:00,6.321833333,989.8133333,80.23333333,0.1,320.2833333,4.043333333,3.685833333,0.658833333,330.4745,342.2645
1/2/2004 17:00,5.7105,990.2766667,85.7,0.5,321.6833333,3.9,-0.1115,0.014666667,332.9408333,340.4483333
1/2/2004 18:00,5.759833333,990.8083333,84.43333333,0,307.6666667,3.975,-0.16,0.084333333,328.7756667,339.8501667
1/2/2004 19:00,5.5905,991.345,84.6,0,305.0833333,4.425,-0.1255,0.053166667,330.2663333,339.1621667
1/2/2004 20:00,5.294,991.9033333,86.98333333,0.2,304.9333333,4.363333333,-0.106,0.025666667,330.5648333,338.3555
1/2/2004 21:00,5.3495,992.2716667,86.06666667,0,301.3333333,4.33,-0.120833333,0.0275,329.5918333,338.1466667
1/2/2004 22:00,4.904833333,992.93,86.46666667,0.5,304.8833333,4.558333333,-0.073333333,-0.022833333,330.0006667,336.7243333
1/2/2004 23:00,3.807,993.135,88.98333333,0.4,323.5833333,4.063333333,-0.026666667,0,326.5711667,333.251
1/3/2004 0:00,3.949333333,993.5633333,85.9,0,326.9666667,3.728333333,-0.03,0,324.5801667,333.15
1/3/2004 1:00,3.5135,993.9616667,82.13333333,0,324.35,4.026666667,-0.109833333,0,308.0501667,329.4466667
1/3/2004 2:00,2.648333333,994.9966667,80.85,0,315.75,3.031666667,-0.303666667,0.020166667,284.6878333,323.4781667
1/3/2004 3:00,2.228333333,995.4083333,82.8,0,305.8,2.853333333,-0.184,0.018333333,304.5556667,323.254
1/3/2004 4:00,1.912,995.325,81.96666667,0,317.8333333,3.245,-0.308666667,0.018166667,277.5633333,319.6166667
1/3/2004 5:00,1.728166667,995.6783333,82.98333333,0,312.15,2.943333333,-0.084666667,0,309.7735,321.1265
1/3/2004 6:00,1.752166667,996.0866667,81.23333333,0,325.75,3.09,0,0,312.4823333,321.7153333
1/3/2004 7:00,1.5935,996.5366667,77.93333333,0,332.1833333,4.301666667,3.586,0.5685,310.207,320.6171667
1/3/2004 8:00,1.427,997.1933333,77.4,0,320.2666667,3.31,23.80816667,4.032166667,307.8271667,320.4015
1/3/2004 9:00,1.481333333,997.6933333,77.91666667,0,330.75,3.025,64.1465,11.26316667,304.434,321.5566667
1/3/2004 10:00,1.556,997.845,77.01666667,0,330.9333333,3.285,94.73983333,16.62016667,302.171,323.3605
1/3/2004 11:00,1.739833333,997.3016667,76.38333333,0,309.25,3.225,127.7771667,22.493,298.281,324.8206667
1/3/2004 12:00,1.812166667,996.8233333,76.65,0,311.1166667,3.238333333,140.0475,24.953,296.9291667,326.2663333
1/3/2004 13:00,1.823,996.4816667,77.13333333,0,323.4833333,3.145,162.5416667,29.65433333,291.2058333,327.4041667
1/3/2004 14:00,1.9795,996.41,75,0,317.9666667,2.883333333,177.0823333,33.90916667,265.3961667,327.8341667
1/3/2004 15:00,1.497,996.4433333,75.68333333,0,319.5333333,3.3,76.25833333,14.67233333,272.722,323.7623333
1/3/2004 16:00,0.736,996.5266667,77.65,0,326.8666667,2.215,5.880166667,1.086,263.3458333,317.0276667
1/3/2004 17:00,0.3805,996.6566667,80.63333333,0,315.8333333,0.95,-0.161333333,0.096833333,300.5865,317.0998333
1/3/2004 18:00,0.427833333,996.6833333,81.4,0,326.85,1.486666667,-0.161166667,0,300.1073333,317.6033333
1/3/2004 19:00,0.138833333,996.72,82.5,0,328.45,2.073333333,-0.299666667,0,276.311,314.1791667
1/3/2004 20:00,-0.4855,996.6033333,84.53333333,0,296.5,1.416666667,-0.673833333,0,253.876,310.1716667
1/3/2004 21:00,-0.861,996.8183333,88.88333333,0,272.65,1.81,-0.2965,0.053,293.1578333,311.543
1/3/2004 22:00,-0.399166667,996.83,87.15,0,279.3166667,2.338333333,-0.055,0,304.5176667,313.383
1/3/2004 23:00,-0.4115,996.5716667,84.98333333,0,321.45,2.185,-0.279833333,0,274.586,312.311
1/4/2004 0:00,-0.621166667,996.4633333,85.18333333,0,309.0166667,1.946666667,-0.091333333,0.022,300.6953333,312.3108333
1/4/2004 1:00,-0.782333333,996.5566667,81.35,0,316.7666667,2.288333333,-0.025,0,302.9175,312.2828333
1/4/2004 2:00,-1.050833333,996.8983333,78.23333333,0,331,2.478333333,-0.093166667,0,297.1633333,311.4351667
1/4/2004 3:00,-1.450666667,996.9683333,79.48333333,0,320.0333333,2.44,-0.2655,0,271.8425,309.812
1/4/2004 4:00,-2.148833333,997.0083333,79.8,0,326.5833333,2.246666667,-0.513833333,0.051333333,236.2921667,306.834
1/4/2004 5:00,-2.684666667,997.205,82.23333333,0,321.1666667,1.405,-0.792166667,0.157666667,231.8746667,304.922
1/4/2004 6:00,-3.141166667,997.59,84.43333333,0,305.7166667,1.056666667,-0.917166667,0.201666667,230.6403333,303.4913333
1/4/2004 7:00,-3.612833333,997.975,87.48333333,0,276.4166667,1.075,10.02416667,1.9515,228.4976667,302.235
1/4/2004 8:00,-2.656333333,998.685,85.15,0,274.0333333,1.171666667,150.5681667,24.43566667,181.0271667,305.9993333
1/4/2004 9:00,-1.3945,999.08,78.8,0,295.45,1.48,295.7788333,50.5505,164.779,309.6761667
1/4/2004 10:00,-0.604333333,999.1166667,75.46666667,0,298.4666667,1.715,366.422,66.206,187.0943333,311.5238333
1/4/2004 11:00,0.057666667,998.81,73.55,0,307.35,2.423333333,402.76,73.95983333,205.3073333,315.4076667
1/4/2004 12:00,0.715833333,998.4283333,72.71666667,0,290.3,2.788333333,397.6985,72.77816667,208.6695,321.1563333
1/4/2004 13:00,1.453666667,998.34,69.1,0,317.45,2.791666667,353.424,65.5595,212.3721667,325.5555
1/4/2004 14:00,2.016666667,998.6466667,68.86666667,0,304.1,2.361666667,250.131,47.80966667,224.2953333,327.7348333
1/4/2004 15:00,1.653666667,999.3766667,68.46666667,0,315.05,2.468333333,116.4755,22.78866667,235.9305,322.7626667
1/4/2004 16:00,0.733666667,999.5383333,75.08333333,0,297.0666667,1.855,10.60766667,2.077333333,246.9955,314.3676667
1/4/2004 17:00,-0.0605,1000.006,80.08333333,0,316.15,1.22,-0.852833333,0.130166667,246.3026667,311.7016667
1/4/2004 18:00,-0.446,1000.398,82.15,0,329.6666667,1.271666667,-0.868,0.185,247.2381667,311.209
1/4/2004 19:00,-0.9515,1001.038333,83.43333333,0,292.4,0.651666667,-0.977166667,0.098333333,245.8908333,310.2658333
1/4/2004 20:00,-1.847,1001.696667,88.21666667,0,279.1833333,1.46,-0.902166667,0.1155,245.652,307.6436667
1/4/2004 21:00,-1.948333333,1001.965,89.48333333,0,280.3166667,1.861666667,-0.855,0.1095,250.2746667,306.8166667
1/4/2004 22:00,-2.134333333,1001.918333,91.06666667,0,284.2666667,1.376666667,-0.5615,0.129666667,263.8731667,306.5861667
1/4/2004 23:00,-1.822,1001.35,89.45,0,212.2333333,1.515,-0.557333333,0.039833333,264.1046667,307.1996667
1/5/2004 0:00,-2.594333333,1001.053333,92.4,0,226.6333333,1.285,-0.57,0.056333333,257.1255,304.9263333
1/5/2004 1:00,-2.429833333,1000.803333,91.61666667,0,228.5166667,1.816666667,-0.490833333,0.053833333,260.2126667,304.3643333
1/5/2004 2:00,-2.528666667,1000.703333,91.18333333,0,107.8833333,0.596666667,-0.36,0.060333333,262.6326667,304.5983333
1/5/2004 3:00,-2.722,1000.463333,91.75,0,121.7333333,0.746666667,-0.375,0.095333333,274.5048333,304.0786667
1/5/2004 4:00,-2.539,1000.463333,93.35,0,159.2333333,0.293333333,-0.030666667,0.060166667,300.5788333,307.193
1/5/2004 5:00,-1.907666667,1000.785,93.46666667,0,114.5166667,0.605,-0.024666667,0.001833333,305.3638333,309.0866667
1/5/2004 6:00,-1.391333333,1001.071667,91.5,0,183.0833333,0.745,-0.084166667,0,309.3693333,310.4051667
1/5/2004 7:00,-1.03,1001.385,89.58333333,0,217.8166667,1.376666667,4.7045,0.908,311.9038333,311.0395
1/5/2004 8:00,-0.512333333,1001.658333,87.88333333,0,218.9666667,1.183333333,39.14466667,7.2135,310.3505,311.6548333
