last_time_in_seconds,curr_sim_time_in_seconds,coordination.ep_accumulated_waste_heat
300.0,300.0,900948.9319320425
600.0,600.0,914159.5127371962
900.0,900.0,924106.0472206612
1200.0,1200.0,934141.9243776993
1499.9999999999998,1499.9999999999998,944102.9068774409
1800.0,1800.0,953991.6889712953
2099.9999999999995,2099.9999999999995,963818.6889804038
2400.0,2400.0,973546.3358262929
2700.0,2700.0,983212.3559746353
2999.9999999999995,2999.9999999999995,992779.3815201526
3300.0,3300.0,1002271.442825686
3600.0,3600.0,1011727.4267946042
3899.9999999999995,3899.9999999999995,1022968.4687398394
4200.0,4200.0,1030753.836009453
4500.0,4500.0,1035963.2951892582
4800.0,4800.0,1041053.8342013148
5099.999999999999,5099.999999999999,1045999.3644184498
5400.0,5400.0,1050907.230396452
5700.0,5700.0,1055705.9581449276
5999.999999999999,5999.999999999999,1060407.3382055666
6300.0,6300.0,1065014.0987980878
6600.0,6600.0,1069584.4311568136
6899.999999999999,6899.999999999999,1074082.321999239
7200.0,7200.0,1078503.7067965826
7500.000000000001,7500.000000000001,1086030.6659613831
7799.999999999999,7799.999999999999,1090670.1183328521
8100.0,8100.0,1095209.5661096324
8400.0,8400.0,1099696.6615293773
8700.0,8700.0,1104150.998381889
9000.0,9000.0,1108556.8016796126
9299.999999999998,9299.999999999998,1112916.3799934164
9600.0,9600.0,1117233.5616123904
9900.0,9900.0,1121499.0954379975
10199.999999999998,10199.999999999998,1125696.2414802748
10500.0,10500.0,1129867.1366830033
10800.0,10800.0,1134003.4896263168
11100.0,11100.0,1129527.3465344035
11400.0,11400.0,1128347.7870263697
11700.0,11700.0,1130206.1376640084
12000.0,12000.0,1132185.4150004613
12300.0,12300.0,1134203.651706693
12600.0,12600.0,1136249.928636016
12899.999999999998,12899.999999999998,1138321.0759616287
13200.0,13200.0,1140399.2765461334
13500.0,13500.0,1142468.5509731593
13799.999999999998,13799.999999999998,1144565.5720433376
14100.0,14100.0,1146682.3243628961
14400.0,14400.0,1148797.6760869147
14699.999999999998,14699.999999999998,1131030.5435833398
15000.000000000002,15000.000000000002,1118975.9864262927
15300.0,15300.0,1126777.944211632
15599.999999999998,15599.999999999998,1134845.5158329988
15900.000000000002,15900.000000000002,1143065.8951734542
16200.0,16200.0,1151426.050503364
16500.0,16500.0,1159896.6060580197
16800.0,16800.0,1167467.6206479995
17100.0,17100.0,1176238.3429576037
17400.0,17400.0,1184848.1478869566
17700.0,17700.0,1193452.2441365682
18000.0,18000.0,1202073.3023667203
18300.0,18300.0,1156272.5840720974
18600.0,18600.0,1095638.2160383114
18900.0,18900.0,1089679.874382801
19200.0,19200.0,1083819.3861330268
19500.0,19500.0,1077998.764213992
19800.0,19800.0,1072213.9534616529
20100.0,20100.0,1065687.497771341
20400.0,20400.0,1058977.6742057872
20700.0,20700.0,1052155.4323171787
21000.0,21000.0,1045289.0051492564
21300.0,21300.0,1038387.6879809701
21600.0,21600.0,1031439.7319346374
21900.0,21900.0,1011446.4444138191
22200.0,22200.0,990081.9179603187
22500.0,22500.0,973529.3379554527
22800.0,22800.0,956846.2175193264
23100.0,23100.0,939979.8277040909
23400.0,23400.0,923136.1787410581
23700.0,23700.0,908456.9566414971
24000.0,24000.0,893833.7672067363
24300.0,24300.0,879456.2461578122
24600.0,24600.0,865083.8501187656
24900.0,24900.0,851294.2844306773
25200.0,25200.0,837449.2712456228
25500.0,25500.0,916512.3935138409
25800.0,25800.0,921182.4374114072
26100.0,26100.0,918190.4622775629
26400.0,26400.0,914791.9345457822
26700.0,26700.0,911186.3012580788
27000.0,27000.0,907337.6959132376
27300.0,27300.0,902639.3697179115
27600.0,27600.0,897680.570076094
27900.0,27900.0,892568.9961470566
28200.0,28200.0,887273.0831582695
28500.0,28500.0,881865.6761548144
28800.0,28800.0,876313.6414358676
29100.000000000004,29100.000000000004,893156.2971283542
29399.999999999996,29399.999999999996,897812.2563956566
29700.0,29700.0,892631.2611155543
30000.000000000004,30000.000000000004,887337.3986249955
30299.999999999996,30299.999999999996,881977.0637709107
30600.0,30600.0,876517.3137712051
30900.000000000004,30900.000000000004,870447.9941078416
31199.999999999996,31199.999999999996,864140.317315435
31500.0,31500.0,857767.1743539176
31800.000000000004,31800.000000000004,851280.1039186565
32099.999999999996,32099.999999999996,844715.7360913593
32400.0,32400.0,838051.8507766004
32700.000000000004,32700.000000000004,821658.9007574867
33000.0,33000.0,817117.470073618
33300.0,33300.0,806347.376885378
33600.0,33600.0,795557.4916752799
33900.0,33900.0,784762.3328001895
34200.0,34200.0,773929.3747788388
34500.0,34500.0,762296.6476667488
34800.0,34800.0,750584.7147813056
