cur_datetime,WallshadeT,WalllitT,RoofT,canTemp_K,rh_%,vcwg_canPress_Pa,sensWaste,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[19],PresProf_cur[19],
2004-06-01 00:00:00,300.000,300.000,300.000,295.483,58.803,100225.130,68.060,287.334,99733.833,293.272,100085.823,
2004-06-01 00:05:00,299.872,299.872,298.230,290.809,78.669,100231.517,10.351,287.334,99731.472,288.757,100089.666,
2004-06-01 00:10:00,299.572,299.572,295.590,289.646,84.439,100232.178,0.479,287.334,99729.111,288.283,100089.913,
2004-06-01 00:15:00,299.041,299.041,292.277,290.073,82.325,100232.031,0.479,287.334,99726.750,288.336,100089.879,
2004-06-01 00:20:00,298.561,298.561,290.446,290.545,80.158,100231.832,3.993,287.334,99724.389,288.420,100089.815,
2004-06-01 00:25:00,298.194,298.194,289.381,290.550,80.331,100231.775,3.148,287.334,99722.028,288.457,100089.777,
2004-06-01 00:30:00,297.927,297.927,288.688,290.608,80.209,100231.716,3.003,287.334,99719.667,288.483,100089.737,
2004-06-01 00:35:00,297.708,297.708,288.173,290.515,80.818,100231.702,1.201,287.333,99717.306,288.497,100089.705,
2004-06-01 00:40:00,297.525,297.525,287.736,290.554,80.775,100231.637,0.976,287.333,99714.944,288.529,100089.655,
2004-06-01 00:45:00,297.362,297.362,287.344,290.520,81.119,100231.584,0.479,287.333,99712.583,288.563,100089.604,
2004-06-01 00:50:00,297.221,297.221,286.984,290.591,80.965,100231.483,0.479,287.333,99710.222,288.617,100089.533,
2004-06-01 00:55:00,297.094,297.094,286.655,290.589,81.203,100231.394,0.239,287.333,99707.861,288.672,100089.459,
2004-06-01 01:00:00,296.982,296.982,286.352,290.674,81.047,100231.259,0.239,287.333,99705.500,288.747,100089.363,
2004-06-01 01:05:00,296.881,296.881,286.070,290.623,81.375,100231.331,0.239,287.342,99703.931,288.720,100089.419,
2004-06-01 01:10:00,296.791,296.791,285.834,290.583,81.481,100231.437,0.239,287.351,99702.361,288.655,100089.496,
2004-06-01 01:15:00,296.706,296.706,285.648,290.414,82.146,100231.584,0.239,287.360,99700.792,288.574,100089.582,
2004-06-01 01:20:00,296.624,296.624,285.509,290.367,82.156,100231.682,0.239,287.369,99699.222,288.514,100089.651,
2004-06-01 01:25:00,296.539,296.539,285.413,290.260,82.804,100231.790,0.239,287.378,99697.653,288.455,100089.720,
2004-06-01 01:30:00,296.457,296.457,285.355,290.249,82.868,100231.863,0.239,287.387,99696.083,288.410,100089.778,
2004-06-01 01:35:00,296.377,296.377,285.331,290.154,83.268,100231.957,0.239,287.396,99694.514,288.359,100089.838,
2004-06-01 01:40:00,296.303,296.303,285.334,290.145,83.163,100232.023,0.239,287.405,99692.944,288.319,100089.890,
2004-06-01 01:45:00,296.230,296.230,285.361,290.053,83.472,100232.109,0.239,287.414,99691.375,288.272,100089.944,
2004-06-01 01:50:00,296.162,296.162,285.409,290.051,83.308,100232.166,0.239,287.423,99689.806,288.236,100089.990,
2004-06-01 01:55:00,296.095,296.095,285.473,289.964,83.589,100232.244,0.060,287.432,99688.236,288.195,100090.038,
2004-06-01 02:00:00,296.033,296.033,285.553,289.968,83.398,100232.294,0.060,287.441,99686.667,288.163,100090.079,
2004-06-01 02:05:00,295.972,295.972,285.645,289.904,83.648,100232.313,0.060,287.444,99685.875,288.152,100090.081,
2004-06-01 02:10:00,295.912,295.912,285.726,289.950,83.364,100232.291,0.060,287.446,99685.083,288.162,100090.072,
2004-06-01 02:15:00,295.853,295.853,285.795,289.908,83.578,100232.292,0.060,287.448,99684.292,288.166,100090.066,
2004-06-01 02:20:00,295.798,295.798,285.854,289.952,83.348,100232.272,0.060,287.450,99683.500,288.175,100090.057,
2004-06-01 02:25:00,295.744,295.744,285.905,289.894,83.332,100232.281,0.060,287.453,99682.708,288.173,100090.054,
2004-06-01 02:30:00,295.693,295.693,285.948,289.934,82.897,100232.266,0.060,287.455,99681.917,288.180,100090.048,
2004-06-01 02:35:00,295.643,295.643,285.982,289.874,83.084,100232.276,0.060,287.457,99681.125,288.177,100090.045,
2004-06-01 02:40:00,295.595,295.595,286.010,289.916,82.810,100232.260,0.060,287.460,99680.333,288.184,100090.039,
2004-06-01 02:45:00,295.547,295.547,286.031,289.858,83.097,100232.270,0.060,287.462,99679.542,288.182,100090.036,
2004-06-01 02:50:00,295.500,295.500,286.048,289.902,82.853,100232.253,0.060,287.464,99678.750,288.189,100090.030,
2004-06-01 02:55:00,295.455,295.455,286.060,289.843,83.164,100232.263,0.060,287.466,99677.958,288.187,100090.027,
2004-06-01 03:00:00,295.411,295.411,286.068,289.889,82.928,100232.246,0.060,287.469,99677.167,288.194,100090.021,
2004-06-01 03:05:00,295.367,295.367,286.074,289.841,83.226,100232.221,0.060,287.468,99678.042,288.210,100089.991,
2004-06-01 03:10:00,295.324,295.324,286.061,289.915,82.925,100232.156,0.060,287.467,99678.917,288.244,100089.950,
2004-06-01 03:15:00,295.281,295.281,286.034,289.883,82.879,100232.117,0.060,287.466,99679.792,288.271,100089.913,
2004-06-01 03:20:00,295.240,295.240,285.993,289.958,82.369,100232.050,0.060,287.465,99680.667,288.307,100089.871,
2004-06-01 03:25:00,295.200,295.200,285.939,289.917,82.565,100232.013,0.060,287.464,99681.542,288.332,100089.834,
2004-06-01 03:30:00,295.161,295.161,285.873,289.989,82.249,100231.948,0.060,287.463,99682.417,288.368,100089.792,
2004-06-01 03:35:00,295.122,295.122,285.799,289.948,82.554,100231.910,0.060,287.462,99683.292,288.393,100089.753,
2004-06-01 03:40:00,295.085,295.085,285.717,290.023,82.277,100231.842,0.060,287.462,99684.167,288.430,100089.710,
2004-06-01 03:45:00,295.048,295.048,285.628,289.984,82.596,100231.802,0.060,287.461,99685.042,288.457,100089.670,
2004-06-01 03:50:00,295.012,295.012,285.532,290.061,82.324,100231.731,0.060,287.460,99685.917,288.495,100089.625,
2004-06-01 03:55:00,294.976,294.976,285.430,290.022,82.348,100231.689,0.239,287.459,99686.792,288.523,100089.584,
2004-06-01 04:00:00,294.941,294.941,285.322,290.101,81.846,100231.616,0.239,287.458,99687.667,288.563,100089.537,
2004-06-01 04:05:00,294.907,294.907,285.208,290.008,82.130,100231.730,0.239,287.467,99687.667,288.511,100089.619,
2004-06-01 04:10:00,294.876,294.876,285.118,289.983,82.301,100231.849,0.239,287.476,99687.667,288.438,100089.710,
2004-06-01 04:15:00,294.843,294.843,285.056,289.828,83.042,100231.989,0.239,287.486,99687.667,288.358,100089.793,
2004-06-01 04:20:00,294.809,294.809,285.026,289.823,82.917,100232.067,0.239,287.495,99687.667,288.308,100089.854,
2004-06-01 04:25:00,294.771,294.771,285.023,289.723,83.260,100232.153,0.239,287.504,99687.667,288.262,100089.907,
2004-06-01 04:30:00,294.733,294.733,285.046,289.753,82.925,100232.194,0.239,287.513,99687.667,288.234,100089.946,
2004-06-01 04:35:00,294.695,294.695,285.096,289.659,83.243,100232.260,0.239,287.523,99687.667,288.200,100089.983,
2004-06-01 04:40:00,294.659,294.659,285.172,289.687,82.936,100232.289,0.239,287.532,99687.667,288.180,100090.011,
2004-06-01 04:45:00,294.623,294.623,285.276,289.591,83.623,100232.345,0.239,287.541,99687.667,288.151,100090.039,
2004-06-01 04:50:00,294.588,294.588,285.404,289.621,83.573,100232.364,0.239,287.550,99687.667,288.137,100090.059,
2004-06-01 04:55:00,294.553,294.553,285.559,289.527,84.074,100232.412,1.615,287.559,99687.667,288.113,100090.081,
2004-06-01 05:00:00,294.519,294.519,285.734,289.565,83.832,100232.420,1.615,287.569,99687.667,288.108,100090.094,
2004-06-01 05:05:00,294.485,294.485,285.922,289.457,84.286,100232.504,1.615,287.585,99689.319,288.066,100090.144,
2004-06-01 05:10:00,294.455,294.455,286.150,289.468,84.092,100232.558,1.615,287.600,99690.972,288.032,100090.189,
2004-06-01 05:15:00,294.427,294.427,286.400,289.353,84.932,100232.637,1.615,287.616,99692.625,287.990,100090.232,
2004-06-01 05:20:00,294.401,294.401,286.651,289.376,84.959,100232.670,1.615,287.632,99694.278,287.969,100090.262,
2004-06-01 05:25:00,294.375,294.375,286.899,289.275,85.539,100232.735,1.615,287.648,99695.931,287.937,100090.299,
2004-06-01 05:30:00,294.351,294.351,287.119,289.354,85.139,100232.757,1.615,287.664,99697.583,287.916,100090.330,
2004-06-01 05:35:00,294.315,294.315,287.355,288.965,87.177,100232.893,1.615,287.680,99699.236,287.872,100090.368,
2004-06-01 05:40:00,294.292,294.292,287.453,289.072,86.950,100232.907,1.615,287.695,99700.889,287.854,100090.394,
2004-06-01 05:45:00,294.244,294.244,287.481,288.770,88.709,100233.027,1.615,287.711,99702.542,287.800,100090.436,
2004-06-01 05:50:00,294.213,294.213,287.572,288.962,87.693,100233.005,1.615,287.727,99704.194,287.800,100090.452,
2004-06-01 05:55:00,294.167,294.167,287.592,288.707,89.047,100233.102,5.623,287.743,99705.847,287.759,100090.485,
2004-06-01 06:00:00,294.141,294.141,287.645,289.008,87.794,100233.024,5.623,287.759,99707.500,287.794,100090.481,
2004-06-01 06:05:00,294.104,294.104,287.722,288.704,89.364,100233.153,5.623,287.805,99709.000,287.738,100090.530,
2004-06-01 06:10:00,294.095,294.096,288.244,288.932,87.932,100233.108,5.623,287.850,99710.500,287.762,100090.542,
2004-06-01 06:15:00,294.073,294.077,288.568,288.705,88.959,100233.206,5.623,287.896,99712.000,287.723,100090.583,
2004-06-01 06:20:00,294.072,294.079,288.851,289.058,87.278,100233.116,5.623,287.942,99713.500,287.768,100090.583,
2004-06-01 06:25:00,294.063,294.074,289.064,288.808,88.683,100233.219,5.623,287.988,99715.000,287.727,100090.624,
2004-06-01 06:30:00,294.080,294.094,289.308,289.130,86.868,100233.141,5.623,288.033,99716.500,287.765,100090.627,
2004-06-01 06:35:00,294.084,294.102,289.491,288.866,88.521,100233.248,5.623,288.079,99718.000,287.722,100090.668,
2004-06-01 06:40:00,294.108,294.130,289.719,289.199,86.823,100233.172,5.623,288.125,99719.500,287.757,100090.672,
2004-06-01 06:45:00,294.120,294.146,289.893,288.904,88.316,100233.286,5.623,288.170,99721.000,287.711,100090.715,
2004-06-01 06:50:00,294.150,294.179,290.120,289.248,86.364,100233.209,5.623,288.216,99722.500,287.745,100090.719,
2004-06-01 06:55:00,294.166,294.198,290.293,288.938,88.181,100233.327,5.982,288.262,99724.000,287.697,100090.762,
2004-06-01 07:00:00,294.200,294.235,290.525,289.283,86.415,100233.250,5.982,288.308,99725.500,287.731,100090.767,
2004-06-01 07:05:00,294.220,294.258,290.701,288.967,87.989,100233.357,5.982,288.370,99729.069,287.687,100090.799,
2004-06-01 07:10:00,294.257,294.300,290.974,289.374,86.127,100233.235,5.982,288.432,99732.639,287.748,100090.781,
2004-06-01 07:15:00,294.283,294.332,291.191,289.094,87.682,100233.308,5.982,288.495,99736.208,287.732,100090.798,
2004-06-01 07:20:00,294.325,294.382,291.477,289.530,85.481,100233.170,5.982,288.557,99739.778,287.805,100090.771,
2004-06-01 07:25:00,294.359,294.423,291.695,289.234,87.245,100233.239,5.982,288.620,99743.347,287.794,100090.783,
2004-06-01 07:30:00,294.410,294.481,291.971,289.682,85.151,100233.098,5.982,288.682,99746.917,287.868,100090.755,
2004-06-01 07:35:00,294.451,294.528,292.175,289.372,86.717,100233.165,5.982,288.745,99750.486,287.859,100090.763,
2004-06-01 07:40:00,294.507,294.590,292.441,289.832,84.710,100233.021,7.390,288.807,99754.056,287.933,100090.733,
2004-06-01 07:45:00,294.553,294.641,292.635,289.508,86.444,100233.085,5.982,288.869,99757.625,287.928,100090.739,
2004-06-01 07:50:00,294.614,294.705,292.896,289.971,84.213,100232.945,10.187,288.932,99761.194,287.999,100090.710,
2004-06-01 07:55:00,294.665,294.758,293.087,289.644,86.029,100233.000,5.743,288.994,99764.764,288.002,100090.710,
2004-06-01 08:00:00,294.729,294.822,293.342,290.102,83.969,100232.869,5.743,289.057,99768.333,288.063,100090.684,
2004-06-01 08:05:00,294.783,294.875,293.538,289.778,85.801,100232.853,5.743,289.178,99768.653,288.097,100090.622,
2004-06-01 08:10:00,294.850,294.938,293.760,290.309,83.423,100232.593,5.743,289.299,99768.972,288.235,100090.504,
2004-06-01 08:15:00,294.909,294.989,293.930,289.995,85.165,100232.545,5.743,289.420,99769.292,288.294,100090.421,
2004-06-01 08:20:00,294.983,295.054,294.195,290.543,82.743,100232.278,5.743,289.541,99769.611,288.437,100090.300,
2004-06-01 08:25:00,295.049,295.110,294.393,290.228,84.178,100232.227,5.743,289.663,99769.931,288.498,100090.215,
2004-06-01 08:30:00,295.130,295.183,294.665,290.786,81.798,100231.956,9.703,289.784,99770.250,288.644,100090.092,
2004-06-01 08:35:00,295.202,295.253,294.863,290.478,83.214,100231.889,6.839,289.905,99770.569,288.720,100089.999,
2004-06-01 08:40:00,295.287,295.339,295.137,291.025,80.938,100231.627,13.804,290.026,99770.889,288.858,100089.878,
