Time,CORE_ZN:SEATTLE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:SEATTLE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_ZN:SEATTLE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:SEATTLE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:SEATTLE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:SEATTLE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_1:SEATTLE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:SEATTLE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:SEATTLE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:SEATTLE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_2:SEATTLE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:SEATTLE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:SEATTLE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:SEATTLE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_3:SEATTLE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:SEATTLE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:SEATTLE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:SEATTLE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_4:SEATTLE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:SEATTLE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s]
00:05:00,4.967154E+03,4.921719E+02,2.563276E-01,3.797069E-02,6.357122E+03,1.654214E+02,3.280352E-01,1.276201E-02,4.040089E+03,7.155675E+00,2.084683E-01,5.520735E-04,6.162908E+03,0.000000E+00,3.180140E-01,0.000000E+00,4.044491E+03,1.111217E+02,2.086955E-01,8.572890E-03
00:10:00,4.967161E+03,4.935871E+02,2.563279E-01,3.807989E-02,6.357124E+03,1.630405E+02,3.280353E-01,1.257833E-02,4.040090E+03,8.319146E+00,2.084684E-01,6.418328E-04,6.162909E+03,0.000000E+00,3.180141E-01,0.000000E+00,4.044493E+03,1.103656E+02,2.086956E-01,8.514553E-03
00:15:00,4.967167E+03,4.941929E+02,2.563283E-01,3.812664E-02,6.357127E+03,1.599224E+02,3.280354E-01,1.233778E-02,4.040091E+03,9.374007E+00,2.084684E-01,7.232130E-04,6.162911E+03,0.000000E+00,3.180142E-01,0.000000E+00,4.044494E+03,1.090883E+02,2.086956E-01,8.416014E-03
00:20:00,4.967173E+03,4.940723E+02,2.563286E-01,3.811734E-02,6.357129E+03,1.561623E+02,3.280355E-01,1.204769E-02,4.040092E+03,8.965405E+00,2.084685E-01,6.916616E-04,6.162912E+03,0.000000E+00,3.180142E-01,0.000000E+00,4.044496E+03,1.073540E+02,2.086957E-01,8.282220E-03
00:25:00,4.967180E+03,4.933015E+02,2.563289E-01,3.805788E-02,6.357131E+03,1.518312E+02,3.280357E-01,1.171355E-02,4.040092E+03,7.266293E+00,2.084685E-01,5.605788E-04,6.162914E+03,0.000000E+00,3.180143E-01,0.000000E+00,4.044497E+03,1.052098E+02,2.086958E-01,8.116791E-03
00:30:00,4.967186E+03,4.919507E+02,2.563292E-01,3.795368E-02,6.357134E+03,1.470063E+02,3.280358E-01,1.134132E-02,4.040093E+03,5.198352E+00,2.084686E-01,4.010415E-04,6.162915E+03,0.000000E+00,3.180144E-01,0.000000E+00,4.044498E+03,1.027078E+02,2.086958E-01,7.923763E-03
00:35:00,4.967192E+03,4.926432E+02,2.563296E-01,3.800711E-02,6.357140E+03,1.436367E+02,3.280361E-01,1.108135E-02,4.040097E+03,3.992045E+00,2.084688E-01,3.079775E-04,6.162922E+03,0.000000E+00,3.180147E-01,0.000000E+00,4.044502E+03,1.010036E+02,2.086961E-01,7.792287E-03
00:40:00,4.967199E+03,4.927631E+02,2.563299E-01,3.801637E-02,6.357147E+03,1.397368E+02,3.280365E-01,1.078048E-02,4.040102E+03,2.828573E+00,2.084690E-01,2.182182E-04,6.162928E+03,0.000000E+00,3.180151E-01,0.000000E+00,4.044507E+03,9.891954E+01,2.086963E-01,7.631506E-03
00:45:00,4.967205E+03,4.923445E+02,2.563302E-01,3.798408E-02,6.357153E+03,1.353375E+02,3.280368E-01,1.044108E-02,4.040106E+03,1.773713E+00,2.084692E-01,1.368380E-04,6.162935E+03,0.000000E+00,3.180154E-01,0.000000E+00,4.044511E+03,9.647730E+01,2.086965E-01,7.443090E-03
00:50:00,4.967211E+03,4.914335E+02,2.563305E-01,3.791380E-02,6.357160E+03,1.304861E+02,3.280371E-01,1.006680E-02,4.040110E+03,9.092907E-01,2.084694E-01,7.014976E-05,6.162941E+03,0.000000E+00,3.180157E-01,0.000000E+00,4.044515E+03,9.370993E+01,2.086967E-01,7.229589E-03
