cur_datetime,WallshadeT,WalllitT,RoofT,oat_temp_c,ep_sensWaste_w_m2_per_footprint_area,
2004-06-01 00:05:00,292.676,291.433,290.776,15.156,0.000,
2004-06-01 00:10:00,292.652,291.351,290.676,15.068,0.000,
2004-06-01 00:15:00,292.588,291.301,290.575,14.980,0.000,
2004-06-01 00:20:00,292.529,291.248,290.475,14.891,0.000,
2004-06-01 00:25:00,292.470,291.196,290.374,14.803,0.000,
2004-06-01 00:30:00,292.411,291.146,290.271,14.714,0.000,
2004-06-01 00:35:00,292.353,291.097,290.168,14.626,0.000,
2004-06-01 00:40:00,292.296,291.049,290.065,14.538,0.000,
2004-06-01 00:45:00,292.239,291.001,289.961,14.449,0.000,
2004-06-01 00:50:00,292.183,290.955,289.857,14.361,0.000,
2004-06-01 00:55:00,292.128,290.910,289.752,14.273,0.000,
2004-06-01 01:00:00,292.074,290.866,289.647,14.184,0.000,
2004-06-01 01:05:00,292.038,290.839,289.576,14.184,0.000,
2004-06-01 01:10:00,292.006,290.815,289.507,14.184,0.000,
2004-06-01 01:15:00,291.973,290.790,289.437,14.184,0.000,
2004-06-01 01:20:00,291.945,290.771,289.367,14.184,0.000,
2004-06-01 01:25:00,291.917,290.751,289.297,14.184,0.000,
2004-06-01 01:30:00,291.892,290.734,289.238,14.184,0.000,
2004-06-01 01:35:00,291.868,290.717,289.180,14.183,0.000,
2004-06-01 01:40:00,291.846,290.703,289.120,14.183,0.000,
2004-06-01 01:45:00,291.825,290.689,289.061,14.183,0.000,
2004-06-01 01:50:00,291.806,290.677,289.009,14.183,0.000,
2004-06-01 01:55:00,291.787,290.664,288.957,14.183,0.000,
2004-06-01 02:00:00,291.770,290.654,288.904,14.183,0.000,
2004-06-01 02:05:00,291.754,290.645,288.871,14.192,0.000,
2004-06-01 02:10:00,291.740,290.638,288.847,14.201,0.000,
2004-06-01 02:15:00,291.727,290.631,288.823,14.210,0.000,
2004-06-01 02:20:00,291.715,290.626,288.798,14.219,0.000,
2004-06-01 02:25:00,291.703,290.621,288.774,14.228,0.000,
2004-06-01 02:30:00,291.693,290.618,288.764,14.237,0.000,
2004-06-01 02:35:00,291.683,290.615,288.753,14.246,0.000,
2004-06-01 02:40:00,291.674,290.613,288.743,14.255,0.000,
2004-06-01 02:45:00,291.666,290.611,288.732,14.264,0.000,
2004-06-01 02:50:00,291.659,290.611,288.733,14.273,0.000,
2004-06-01 02:55:00,291.652,290.610,288.733,14.282,0.000,
2004-06-01 03:00:00,291.647,290.611,288.733,14.291,0.000,
2004-06-01 03:05:00,291.632,290.603,288.709,14.294,0.000,
2004-06-01 03:10:00,291.617,290.594,288.692,14.296,0.000,
2004-06-01 03:15:00,291.602,290.585,288.674,14.298,0.000,
2004-06-01 03:20:00,291.586,290.575,288.657,14.300,0.000,
2004-06-01 03:25:00,291.570,290.565,288.639,14.303,0.000,
2004-06-01 03:30:00,291.554,290.555,288.619,14.305,0.000,
2004-06-01 03:35:00,291.538,290.544,288.600,14.307,0.000,
2004-06-01 03:40:00,291.521,290.533,288.580,14.310,0.000,
2004-06-01 03:45:00,291.505,290.523,288.560,14.312,0.000,
2004-06-01 03:50:00,291.488,290.512,288.540,14.314,0.000,
2004-06-01 03:55:00,291.472,290.501,288.520,14.316,0.000,
2004-06-01 04:00:00,291.455,290.489,288.500,14.319,0.000,
2004-06-01 04:05:00,291.433,290.472,288.464,14.318,0.000,
2004-06-01 04:10:00,291.410,290.454,288.427,14.317,0.000,
2004-06-01 04:15:00,291.386,290.436,288.390,14.316,0.000,
2004-06-01 04:20:00,291.362,290.417,288.353,14.315,0.000,
2004-06-01 04:25:00,291.338,290.398,288.316,14.314,0.000,
2004-06-01 04:30:00,291.313,290.377,288.273,14.313,0.000,
2004-06-01 04:35:00,291.287,290.357,288.230,14.312,0.000,
2004-06-01 04:40:00,291.262,290.336,288.187,14.312,0.000,
2004-06-01 04:45:00,291.236,290.315,288.144,14.311,0.000,
2004-06-01 04:50:00,291.209,290.293,288.096,14.310,0.000,
2004-06-01 04:55:00,291.183,290.271,288.049,14.309,0.000,
2004-06-01 05:00:00,291.156,290.249,288.001,14.308,0.000,
2004-06-01 05:05:00,291.132,290.230,287.980,14.317,9.583,
2004-06-01 05:10:00,291.108,290.211,287.957,14.326,9.645,
2004-06-01 05:15:00,291.085,290.193,287.936,14.336,9.707,
2004-06-01 05:20:00,291.062,290.174,287.914,14.345,9.769,
2004-06-01 05:25:00,291.039,290.156,287.893,14.354,9.832,
2004-06-01 05:30:00,290.161,291.038,287.921,14.363,9.895,
2004-06-01 05:35:00,290.165,291.038,287.949,14.373,9.958,
2004-06-01 05:40:00,290.176,291.043,287.977,14.382,10.021,
2004-06-01 05:45:00,290.186,291.049,288.005,14.391,10.084,
2004-06-01 05:50:00,290.201,291.059,288.056,14.400,10.148,
2004-06-01 05:55:00,290.215,291.069,288.107,14.409,10.211,
2004-06-01 06:00:00,290.233,291.083,288.158,14.419,10.275,
2004-06-01 06:05:00,290.253,291.098,288.209,14.435,10.378,
2004-06-01 06:10:00,290.275,291.116,288.276,14.450,10.481,
2004-06-01 06:15:00,290.280,291.156,288.343,14.466,10.585,
2004-06-01 06:20:00,290.305,291.177,288.410,14.482,10.689,
2004-06-01 06:25:00,290.330,291.198,288.477,14.498,10.793,
2004-06-01 06:30:00,290.358,291.220,288.555,14.514,10.898,
2004-06-01 06:35:00,291.266,290.432,288.681,14.530,11.003,
2004-06-01 06:40:00,291.315,290.519,288.806,14.545,11.109,
2004-06-01 06:45:00,291.363,290.604,288.931,14.561,11.215,
2004-06-01 06:50:00,291.417,290.701,289.079,14.577,11.322,
2004-06-01 06:55:00,291.471,290.795,289.228,14.593,11.429,
2004-06-01 07:00:00,291.528,290.901,289.375,14.609,11.537,
2004-06-01 07:05:00,291.613,291.018,289.539,14.655,11.786,
2004-06-01 07:10:00,291.704,291.142,289.729,14.700,12.036,
2004-06-01 07:15:00,291.796,291.266,289.921,14.746,12.286,
2004-06-01 07:20:00,291.896,291.397,290.113,14.792,12.537,
2004-06-01 07:25:00,291.996,291.527,290.307,14.838,12.788,
2004-06-01 07:30:00,292.104,291.663,290.529,14.883,13.040,
2004-06-01 07:35:00,292.215,291.821,290.764,14.929,13.293,
2004-06-01 07:40:00,292.332,291.985,291.002,14.975,13.546,
2004-06-01 07:45:00,292.449,292.148,291.243,15.020,13.800,
