,Urban_MNP_19m_5min_tdb_c,Rural_MNP_1p2m_5min_tdb_c,Rural_MNP_1p2m_5min_Sta_pa,Bypass_RealEPW
2004-06-01 00:00:00,15.674000000000001,14.175999999999998,99744.0,20.540432215349654
2004-06-01 00:05:00,15.703999999999999,14.13,99740.0,15.727808962041365
2004-06-01 00:10:00,15.738,14.148000000000001,99737.99999999999,15.276895865607173
2004-06-01 00:15:00,15.669999999999998,14.12,99733.99999999999,15.356013272673692
2004-06-01 00:20:00,15.64,14.126,99732.0,15.496534528256518
2004-06-01 00:25:00,15.687999999999999,14.174000000000001,99733.99999999999,15.580411953611929
2004-06-01 00:30:00,15.697999999999999,14.203999999999999,99733.99999999999,15.62534821714786
2004-06-01 00:35:00,15.652000000000001,14.23,99733.99999999999,15.627766849397062
2004-06-01 00:40:00,15.64,14.242,99730.0,15.654289571585082
2004-06-01 00:45:00,15.622,14.244,99730.0,15.676349249065026
2004-06-01 00:50:00,15.61,14.225999999999999,99728.0,15.72825053533694
2004-06-01 00:55:00,15.597999999999999,14.190000000000001,99728.0,15.773492069816996
2004-06-01 01:00:00,15.618,14.178,99730.0,15.857523272481046
2004-06-01 01:05:00,15.534,14.193999999999999,99718.0,15.826949220243876
2004-06-01 01:10:00,15.446000000000002,14.191999999999998,99716.00000000001,15.769978310302406
2004-06-01 01:15:00,15.412,14.193999999999999,99710.0,15.688348021788727
2004-06-01 01:20:00,15.388,14.174000000000001,99712.00000000001,15.63456837602871
2004-06-01 01:25:00,15.404,14.154,99708.0,15.572883132183733
2004-06-01 01:30:00,15.408000000000001,14.169999999999998,99706.0,15.533269277124361
2004-06-01 01:35:00,15.4,14.152000000000001,99702.00000000001,15.478743004267074
2004-06-01 01:40:00,15.502,14.15,99694.0,15.443502807144512
2004-06-01 01:45:00,15.504,14.175999999999998,99690.0,15.39263649615674
2004-06-01 01:50:00,15.526,14.203999999999999,99683.99999999999,15.361971338357307
2004-06-01 01:55:00,15.494,14.258,99696.0,15.315439016018786
2004-06-01 02:00:00,15.518,14.288,99704.0,15.31096114546392
2004-06-01 02:05:00,15.516,14.276,99692.0,15.295109844197725
2004-06-01 02:10:00,15.532,14.280000000000001,99690.0,15.310255181430648
2004-06-01 02:15:00,15.506,14.34,99690.0,15.307716129401342
2004-06-01 02:20:00,15.522,14.372,99686.0,15.32232696314486
2004-06-01 02:25:00,15.488,14.330000000000002,99690.0,15.314949899137446
2004-06-01 02:30:00,15.422,14.322,99692.0,15.32770067208861
2004-06-01 02:35:00,15.504,14.324000000000002,99683.99999999999,15.319974206561255
2004-06-01 02:40:00,15.347999999999999,14.302000000000001,99686.0,15.333102511749757
2004-06-01 02:45:00,15.274000000000001,14.241999999999999,99678.0,15.325208683342225
2004-06-01 02:50:00,15.232,14.219999999999999,99678.0,15.339102185322986
2004-06-01 02:55:00,15.248,14.2,99670.0,15.331499906794363
2004-06-01 03:00:00,15.266,14.224,99678.0,15.367178197341559
2004-06-01 03:05:00,15.258000000000001,14.234,99676.0,15.375612439314864
2004-06-01 03:10:00,15.228,14.264,99676.0,15.414862842572575
2004-06-01 03:15:00,15.225999999999999,14.328,99676.0,15.433891376678162
2004-06-01 03:20:00,15.172,14.346,99676.0,15.475158862867147
2004-06-01 03:25:00,15.146,14.36,99676.0,15.49264368431858
2004-06-01 03:30:00,15.166,14.354,99678.0,15.533381428794314
2004-06-01 03:35:00,15.203999999999999,14.362,99676.0,15.551174277004236
2004-06-01 03:40:00,15.069999999999999,14.357999999999999,99676.0,15.59316605654675
2004-06-01 03:45:00,15.068000000000001,14.346,99678.0,15.61207300679581
2004-06-01 03:50:00,15.096,14.341999999999999,99672.0,15.655477541529137
2004-06-01 03:55:00,15.186000000000002,14.306000000000001,99687.99999999999,15.675430848044527
2004-06-01 04:00:00,15.216,14.279999999999998,99690.0,15.71011012304092
2004-06-01 04:05:00,15.254,14.264,99692.0,15.653697265000233
2004-06-01 04:10:00,15.330000000000002,14.246,99694.0,15.590177181736408
2004-06-01 04:15:00,15.297999999999998,14.25,99690.0,15.506261131495535
2004-06-01 04:20:00,15.272,14.264,99682.0,15.464541060253396
2004-06-01 04:25:00,15.262,14.256,99683.99999999999,15.412310400315903
2004-06-01 04:30:00,15.268,14.276,99687.99999999999,15.393001441648664
2004-06-01 04:35:00,15.222,14.313999999999998,99678.0,15.353020780634495
2004-06-01 04:40:00,15.181999999999999,14.34,99687.99999999999,15.342349350368067
2004-06-01 04:45:00,15.168000000000001,14.366,99687.99999999999,15.308202065832688
2004-06-01 04:50:00,15.156,14.406,99687.99999999999,15.303053925970914
2004-06-01 04:55:00,15.041999999999998,14.434000000000001,99690.0,15.272841363381644
2004-06-01 05:00:00,15.006,14.458000000000002,99683.99999999999,15.277043008107796
2004-06-01 05:05:00,15.038,14.486,99683.99999999999,15.766221750228851
2004-06-01 05:10:00,15.016,14.466,99682.0,15.779117842451797
2004-06-01 05:15:00,14.988,14.422,99687.99999999999,15.594119927217776
