last_time_in_seconds,curr_sim_time_in_seconds,vcwg_needed_time_idx_in_seconds,coordiantion.ep_accumulated_waste_heat
0.0,300.0,300.0,0.0
300.0,600.0,600.0,0.0
600.0,900.0,900.0,0.0
900.0,1200.0,1200.0,0.0
1200.0,1499.9999999999998,1500.0,0.0
1499.9999999999998,1800.0,1800.0,0.0
1800.0,2099.9999999999995,2100.0,0.0
2099.9999999999995,2400.0,2400.0,0.0
2400.0,2700.0,2700.0,0.0
2700.0,2999.9999999999995,3000.0,0.0
2999.9999999999995,3300.0,3300.0,0.0
3300.0,3600.0,3600.0,0.0
3600.0,3899.9999999999995,3900.0,0.0
3899.9999999999995,4200.0,4200.0,0.0
4200.0,4500.0,4500.0,0.0
4500.0,4800.0,4800.0,0.0
4800.0,5099.999999999999,5100.0,0.0
5099.999999999999,5400.0,5400.0,0.0
5400.0,5700.0,5700.0,0.0
5700.0,5999.999999999999,6000.0,0.0
5999.999999999999,6300.0,6300.0,0.0
6300.0,6600.0,6600.0,0.0
6600.0,6899.999999999999,6900.0,0.0
6899.999999999999,7200.0,7200.0,0.0
7200.0,7500.000000000001,7500.0,0.0
7500.000000000001,7799.999999999999,7800.0,0.0
7799.999999999999,8100.0,8100.0,0.0
8100.0,8400.0,8400.0,0.0
8400.0,8700.0,8700.0,0.0
8700.0,9000.0,9000.0,0.0
9000.0,9299.999999999998,9300.0,0.0
9299.999999999998,9600.0,9600.0,0.0
9600.0,9900.0,9900.0,0.0
9900.0,10199.999999999998,10200.0,0.0
10199.999999999998,10500.0,10500.0,0.0
10500.0,10800.0,10800.0,0.0
10800.0,11100.0,11100.0,0.0
11100.0,11400.0,11400.0,0.0
11400.0,11700.0,11700.0,0.0
11700.0,12000.0,12000.0,0.0
12000.0,12300.0,12300.0,0.0
12300.0,12600.0,12600.0,0.0
12600.0,12899.999999999998,12900.0,0.0
12899.999999999998,13200.0,13200.0,0.0
13200.0,13500.0,13500.0,0.0
13500.0,13799.999999999998,13800.0,0.0
13799.999999999998,14100.0,14100.0,0.0
14100.0,14400.0,14400.0,0.0
14400.0,14699.999999999998,14700.0,0.0
14699.999999999998,15000.000000000002,15000.0,0.0
15000.000000000002,15300.0,15300.0,0.0
15300.0,15599.999999999998,15600.0,0.0
15599.999999999998,15900.000000000002,15900.0,0.0
15900.000000000002,16200.0,16200.0,0.0
16200.0,16500.0,16500.0,0.0
16500.0,16800.0,16800.0,0.0
16800.0,17100.0,17100.0,0.0
17100.0,17400.0,17400.0,0.0
17400.0,17700.0,17700.0,0.0
17700.0,18000.0,18000.0,0.0
18000.0,18300.0,18300.0,0.0
18300.0,18600.0,18600.0,0.0
18600.0,18900.0,18900.0,0.0
18900.0,19200.0,19200.0,0.0
19200.0,19500.0,19500.0,0.0
19500.0,19800.0,19800.0,0.0
19800.0,20100.0,20100.0,0.0
20100.0,20400.0,20400.0,0.0
20400.0,20700.0,20700.0,0.0
20700.0,21000.0,21000.0,0.0
21000.0,21300.0,21300.0,0.0
21300.0,21600.0,21600.0,0.0
21600.0,21660.0,21900.0,611675.404546144
21660.0,21720.0,21900.0,1105373.9674552758
21720.0,21780.0,21900.0,1540592.6430082705
21780.0,21840.0,21900.0,1932199.8155491604
21840.0,21900.0,21900.0,2237001.313534712
21900.0,22000.0,22200.0,572506.7870329234
22000.0,22100.0,22200.0,995393.6513540179
22100.0,22200.0,22200.0,1378281.679004356
22200.0,22350.000000000004,22500.0,697922.820842691
22350.000000000004,22500.000000000004,22500.0,1172088.4179602684
22500.000000000004,22800.0,22800.0,1021008.7591722058
22800.0,23100.0,23100.0,1032014.8766906541
23100.0,23400.0,23400.0,1061572.2140566485
23400.0,23700.0,23700.0,1059526.4414861156
23700.0,24000.0,24000.0,1080882.6287264389
24000.0,24300.0,24300.0,1094241.3184002873
24300.0,24600.0,24600.0,1108663.863271581
24600.0,24900.0,24900.0,1121512.6904990426
24900.0,25200.0,25200.0,1135047.9423718727
25200.0,25500.0,25500.0,1145682.3884644792
25500.0,25800.0,25800.0,1159216.8506548498
25800.0,26100.0,26100.0,1170690.573186234
26100.0,26400.0,26400.0,1181877.9510751297
26400.0,26700.0,26700.0,1195009.208228976
26700.0,27000.0,27000.0,1209069.9232427545
27000.0,27300.0,27300.0,1222265.9464768565
27300.0,27600.0,27600.0,1235345.305512634
27600.0,27900.0,27900.0,1250309.4576933314
27900.0,28200.0,28200.0,1264963.1352545507
28200.0,28500.0,28500.0,1281160.1480344064
28500.0,28800.0,28800.0,1311934.3877983596
