,(m) canPres_1.5,(m) canPres_2.5,(m) canPres_3.5,(m) canPres_4.5,(m) canPres_5.5,(m) canPres_6.5,(m) canPres_7.5,(m) canPres_8.5,(m) canPres_9.5,(m) canPres_10.5,(m) canPres_11.5,(m) canPres_12.5,(m) canPres_13.5,(m) canPres_14.5
2002-06-10 01:05:00,98080.70281354855,98069.08240773388,98057.46018970737,98045.83605861114,98034.20995229596,98022.58184440137,98010.95174905268,97999.31972586842,97987.68586153394,97976.05024878113,97964.41297401227,97952.77411292361,97941.13373179978,97929.49178183274
2002-06-10 01:10:00,98080.7328530598,98069.11171400275,98057.48871483482,98045.86376606447,98034.23681533795,98022.60784449767,98010.97687428234,97999.34396935636,97987.70922014068,97976.07272211701,97964.43456370552,97952.79482204712,97941.15356436091,97929.51074242764
2002-06-10 01:15:00,98080.77106941133,98069.14812021081,98057.52341147976,98045.89684468412,98034.26835891463,98022.63792811228,98011.00556575997,97999.37132982885,97987.73530470753,97976.09758056428,97964.45824117602,97952.81735959607,97941.17499935516,97929.53111018277
2002-06-10 01:20:00,98080.79939070804,98069.17580792155,98057.55042340042,98045.92314656438,98034.29392346933,98022.66273408291,98011.02959697672,97999.39457419062,97987.75775325038,97976.11922672237,97964.47908023163,97952.83738827081,97941.19421546982,97929.54951228085
2002-06-10 01:25:00,98080.83868955466,98069.21330580881,98057.5862127387,98045.95731139081,98034.3265399475,98022.69387108667,98011.05931667249,97999.42293263892,97987.78480112516,97976.14501006762,97964.50364115168,97952.8607655032,97941.21644482814,97929.57062838011
2002-06-10 01:30:00,98080.86727953402,98069.24121587242,98057.61340646513,98045.98375993392,98034.35222105803,98022.71876816143,98011.08341780651,97999.44622963254,97987.80728860253,97976.16668479356,97964.52450153344,97952.88081122751,97941.23567656994,97929.58904761261
2002-06-10 01:35:00,98080.90354188981,98069.2758735687,98057.64653999936,98046.01544261165,98034.38251938428,98022.74774229116,98011.1111219895,97999.47271269067,97987.83259454813,97976.19085350637,97964.54756938666,97952.9028116092,97941.2566402878,97929.6090043999
2002-06-10 01:40:00,98080.9300791279,98069.3018078618,98057.67183756543,98046.04007642498,98034.40646836664,98022.77099054151,98011.13365796645,97999.49452825116,97987.85368407505,97976.2112132492,97964.56719700336,97952.92170585085,97941.27480074826,97929.62643131209
2002-06-10 01:45:00,98080.96352720873,98069.3338266832,98057.7024985383,98046.06944430148,98034.43460153833,98022.79794140036,98011.15947333144,97999.51924993412,97987.87734956751,97976.23385640448,97964.58884862428,97952.9423941571,97941.29455174074,97929.64527006417
2002-06-10 01:50:00,98080.98881737146,98069.3585494259,98057.72662390422,98046.09294826761,98034.45746529044,98022.82015065313,98011.18101761786,97999.54012177445,97987.89754371201,97976.25336925824,97964.60767784582,97952.96053838277,97941.31201036776,97929.66204306818
2002-06-10 01:55:00,98081.02055375671,98069.38896429604,98057.75578141632,98046.1209066283,98034.4842770589,98022.84586309208,98011.2056730679,97999.56375810374,97987.92019488344,97976.27506592264,97964.62844787403,97952.98040730046,97941.33100169702,97929.68017951031
2002-06-10 02:00:00,98081.04550428096,98069.41335147579,98057.7795786686,98046.14409257384,98034.50683482438,98022.86777966071,98011.22693864914,97999.58436546627,97987.94013875353,97976.29434251272,97964.64705453794,97952.99834228614,97941.34826395301,97929.69676850461
2002-06-10 02:05:00,98081.08861123672,98069.45505905642,98057.81994305944,98046.1831639906,98034.54465786886,98022.9043937265,98011.26237835533,97999.61866115963,97987.9733170945,97976.3264270578,97964.67806624793,97953.0282999369,97941.37718445856,97929.72466780324
